# CVS $Revision: 20472 $ $Author: zaister $ -- Fri Jul 12 11:09:20 2013 -- reformated by prettylst.pl v1.50 (build 20400)
SOURCELONG:Ultimate Campaign	SOURCESHORT:UCA	SOURCEWEB:http://paizo.com/products/btpy8x64?Pathfinder-Roleplaying-Game-Ultimate-Campaign	SOURCEDATE:2013-05
# ORIGINAL ENTRY: Stefan Radermacher
# ORIGINAL ENTRY DATE: 12 July 2013

###Block: Modify default ability
# Ability Name			Bonus to Ability Pool
CATEGORY=Internal|Default.MOD	BONUS:ABILITYPOOL|Traits|1|PRECHARACTERTYPE:1,PC|PREABILITY:1,CATEGORY=Special Ability,TYPE.Drawback

###Block: Drawbacks
# Ability Name	Unique Key				Category of Ability		Type			Multiple Requirements																			Description																			Cost		Source Page		Description of the Benefits
Attached		KEY:Attached ~ Drawback		CATEGORY:Special Ability	TYPE:Drawback	PREMULT:1,[PREABILITY:1,CATEGORY=Special Ability,Attached ~ Drawback],[!PREABILITY:1,CATEGORY=Special Ability,TYPE.Drawback]		DESC:You have a strong emotional attachment to a person or object that you're terrified of losing.				COST:0	SOURCEPAGE:p.64	BENEFIT:You have a strong emotional attachment to a person or object that you're terrified of losing. The GM chooses the object of your attachment. Whenever the object of your attachment is either threatened, in danger, or in someone else's possession, you take a -1 penalty on Will saves and a -2 penalty on saves against fear effects. If the person or object to which you're attached is ever lost, killed, or destroyed, exchange this drawback for the Doubt drawback.
Pride			KEY:Pride ~ Drawback		CATEGORY:Special Ability	TYPE:Drawback	PREMULT:1,[PREABILITY:1,CATEGORY=Special Ability,Pride ~ Drawback],[!PREABILITY:1,CATEGORY=Special Ability,TYPE.Drawback]		DESC:You can't abide challenges to your dignity, authority, or honor.									COST:0	SOURCEPAGE:p.65	BENEFIT:You can't abide challenges to your dignity, authority, or honor. When someone threatens, accuses, or challenges you, you take a -2 penalty on Diplomacy checks and Sense Motive checks involving that creature until the creature apologizes to you.
Provincial		KEY:Provincial ~ Drawback	CATEGORY:Special Ability	TYPE:Drawback	PREMULT:1,[PREABILITY:1,CATEGORY=Special Ability,Provincial ~ Drawback],[!PREABILITY:1,CATEGORY=Special Ability,TYPE.Drawback]	DESC:You have only one way of looking at things: the right way.										COST:0	SOURCEPAGE:p.65	BENEFIT:You have only one way of looking at things: the right way. You take a -2 penalty on Diplomacy checks and Sense Motive checks made against all creatures whose religion or alignment differs from your own.
Sentimental		KEY:Sentimental ~ Drawback	CATEGORY:Special Ability	TYPE:Drawback	PREMULT:1,[PREABILITY:1,CATEGORY=Special Ability,Sentimental ~ Drawback],[!PREABILITY:1,CATEGORY=Special Ability,TYPE.Drawback]	DESC:You are sentimental, and your thoughts often stray to the past at inappropriate times.					COST:0	SOURCEPAGE:p.65	BENEFIT:You are sentimental, and your thoughts often stray to the past at inappropriate times. You take a -2 penalty on Perception checks to avoid being surprised and on Reflex saving throws to avoid traps or hazards.
Vain			KEY:Vain ~ Drawback		CATEGORY:Special Ability	TYPE:Drawback	PREMULT:1,[PREABILITY:1,CATEGORY=Special Ability,Vain ~ Drawback],[!PREABILITY:1,CATEGORY=Special Ability,TYPE.Drawback]		DESC:You are sensitive about the way others perceive you.											COST:0	SOURCEPAGE:p.65	BENEFIT:You are sensitive about the way others perceive you. Whenever you fail an opposed Charisma-based check, you take a -2 penalty on all Charisma-based checks for the next 24 hours.
Xenophobic		KEY:Xenophobic ~ Drawback	CATEGORY:Special Ability	TYPE:Drawback	PREMULT:1,[PREABILITY:1,CATEGORY=Special Ability,Xenophobic ~ Drawback],[!PREABILITY:1,CATEGORY=Special Ability,TYPE.Drawback]	DESC:You have a hard time understanding and trusting those with unfamiliar ways and appearances.				COST:0	SOURCEPAGE:p.65	BENEFIT:You have a hard time understanding and trusting those with unfamiliar ways and appearances. You take a -2 penalty on Diplomacy and Sense Motive checks made against creatures of a different race or from a different culture.
Zealous		KEY:Zealous ~ Drawback		CATEGORY:Special Ability	TYPE:Drawback	PREMULT:1,[PREABILITY:1,CATEGORY=Special Ability,Zealous ~ Drawback],[!PREABILITY:1,CATEGORY=Special Ability,TYPE.Drawback]		DESC:You are fanatical in your beliefs, ruled by emotion over reason.									COST:0	SOURCEPAGE:p.65	BENEFIT:You are fanatical in your beliefs, ruled by emotion over reason. When you attack a creature that you know worships a different religion than you do, you take a -5 penalty on the attack  roll and a +2 trait bonus on the damage roll with your first attack.

#
# End
#
