SOURCELONG:Occult Adventures	SOURCESHORT:OA	SOURCEWEB:http://paizo.com/products/btpy9a0h
Synaptic Scramble			TYPE:Psychic		CLASSES:Mesmerist=3
Synesthesia				TYPE:Psychic		CLASSES:Mesmerist=3
Telempathic Projection		TYPE:Psychic		CLASSES:Mesmerist=1
Thought Echo			TYPE:Psychic		CLASSES:Mesmerist=1


#Mesmerist 0
Bleed.MOD				TYPE:Psychic	CLASSES:Mesmerist=0
Dancing Lights.MOD		TYPE:Psychic	CLASSES:Mesmerist=0
Daze.MOD				TYPE:Psychic	CLASSES:Mesmerist=0
Detect Magic.MOD			TYPE:Psychic	CLASSES:Mesmerist=0
Detect Poison.MOD			TYPE:Psychic	CLASSES:Mesmerist=0
Flare.MOD				TYPE:Psychic	CLASSES:Mesmerist=0
Ghost Sound.MOD			TYPE:Psychic	CLASSES:Mesmerist=0
Light.MOD				TYPE:Psychic	CLASSES:Mesmerist=0
Lullaby.MOD				TYPE:Psychic	CLASSES:Mesmerist=0
Mage Hand.MOD			TYPE:Psychic	CLASSES:Mesmerist=0
Message.MOD				TYPE:Psychic	CLASSES:Mesmerist=0
Open/Close.MOD			TYPE:Psychic	CLASSES:Mesmerist=0
Prestidigitation.MOD		TYPE:Psychic	CLASSES:Mesmerist=0
Read Magic.MOD			TYPE:Psychic	CLASSES:Mesmerist=0
Touch of Fatigue.MOD		TYPE:Psychic	CLASSES:Mesmerist=0
Unwitting Ally.MOD		TYPE:Psychic	CLASSES:Mesmerist=0

#Mesmerist 1
Animate Rope.MOD			TYPE:Psychic	CLASSES:Mesmerist=1
Bane.MOD				TYPE:Psychic	CLASSES:Mesmerist=1
Beguiling Gift.MOD		TYPE:Psychic	CLASSES:Mesmerist=1
Call Animal.MOD			TYPE:Psychic	CLASSES:Mesmerist=1
Cause Fear.MOD			TYPE:Psychic	CLASSES:Mesmerist=1
Charm Person.MOD			TYPE:Psychic	CLASSES:Mesmerist=1
Color Spray.MOD			TYPE:Psychic	CLASSES:Mesmerist=1
Command.MOD				TYPE:Psychic	CLASSES:Mesmerist=1
Comprehend Languages.MOD	TYPE:Psychic	CLASSES:Mesmerist=1
Confusion (Lesser).MOD		TYPE:Psychic	CLASSES:Mesmerist=1
Detect Secret Doors.MOD		TYPE:Psychic	CLASSES:Mesmerist=1
Detect Undead.MOD			TYPE:Psychic	CLASSES:Mesmerist=1
Disguise Self.MOD			TYPE:Psychic	CLASSES:Mesmerist=1
Doom.MOD				TYPE:Psychic	CLASSES:Mesmerist=1
Expeditious Retreat.MOD		TYPE:Psychic	CLASSES:Mesmerist=1
Faerie Fire.MOD			TYPE:Psychic	CLASSES:Mesmerist=1
Grease.MOD				TYPE:Psychic	CLASSES:Mesmerist=1
Hideous Laughter.MOD		TYPE:Psychic	CLASSES:Mesmerist=1
Hypnotism.MOD			TYPE:Psychic	CLASSES:Mesmerist=1
Ill Omen.MOD			TYPE:Psychic	CLASSES:Mesmerist=1
Innocence.MOD			TYPE:Psychic	CLASSES:Mesmerist=1
Invigorate.MOD			TYPE:Psychic	CLASSES:Mesmerist=1
Magic Aura.MOD			TYPE:Psychic	CLASSES:Mesmerist=1
Magic Mouth.MOD			TYPE:Psychic	CLASSES:Mesmerist=1
Memory Lapse.MOD			TYPE:Psychic	CLASSES:Mesmerist=1
Obscure Object.MOD		TYPE:Psychic	CLASSES:Mesmerist=1
Obscuring Mist.MOD		TYPE:Psychic	CLASSES:Mesmerist=1
Ray of Enfeeblement.MOD		TYPE:Psychic	CLASSES:Mesmerist=1
Remove Fear.MOD			TYPE:Psychic	CLASSES:Mesmerist=1
Share Language.MOD		TYPE:Psychic	CLASSES:Mesmerist=1
Silent Image.MOD			TYPE:Psychic	CLASSES:Mesmerist=1
Sleep.MOD				TYPE:Psychic	CLASSES:Mesmerist=1
Touch of Gracelessness.MOD	TYPE:Psychic	CLASSES:Mesmerist=1
Undetectable Alignment.MOD	TYPE:Psychic	CLASSES:Mesmerist=1
Unseen Servant.MOD		TYPE:Psychic	CLASSES:Mesmerist=1
Vanish.MOD				TYPE:Psychic	CLASSES:Mesmerist=1
Ventriloquism.MOD			TYPE:Psychic	CLASSES:Mesmerist=1

#Mesmerist 2
Alter Self.MOD			TYPE:Psychic	CLASSES:Mesmerist=2
Animal Messenger.MOD		TYPE:Psychic	CLASSES:Mesmerist=2
Animal Trance.MOD			TYPE:Psychic	CLASSES:Mesmerist=2
Blindness/Deafness.MOD		TYPE:Psychic	CLASSES:Mesmerist=2
Blur.MOD				TYPE:Psychic	CLASSES:Mesmerist=2
Burning Gaze.MOD			TYPE:Psychic	CLASSES:Mesmerist=2
Calm Emotions.MOD			TYPE:Psychic	CLASSES:Mesmerist=2
Castigate.MOD			TYPE:Psychic	CLASSES:Mesmerist=2
Cat's Grace.MOD			TYPE:Psychic	CLASSES:Mesmerist=2
Confess.MOD				TYPE:Psychic	CLASSES:Mesmerist=2
Daze Monster.MOD			TYPE:Psychic	CLASSES:Mesmerist=2
Delay Poison.MOD			TYPE:Psychic	CLASSES:Mesmerist=2
Detect Thoughts.MOD		TYPE:Psychic	CLASSES:Mesmerist=2
Eagle's Splendor.MOD		TYPE:Psychic	CLASSES:Mesmerist=2
Enter Image.MOD			TYPE:Psychic	CLASSES:Mesmerist=2
Enthrall.MOD			TYPE:Psychic	CLASSES:Mesmerist=2
False Life.MOD			TYPE:Psychic	CLASSES:Mesmerist=2
Glitterdust.MOD			TYPE:Psychic	CLASSES:Mesmerist=2
Hidden Speech.MOD			TYPE:Psychic	CLASSES:Mesmerist=2
Hold Animal.MOD			TYPE:Psychic	CLASSES:Mesmerist=2
Hold Person.MOD			TYPE:Psychic	CLASSES:Mesmerist=2
Honeyed Tongue.MOD		TYPE:Psychic	CLASSES:Mesmerist=2
Hypnotic Pattern.MOD		TYPE:Psychic	CLASSES:Mesmerist=2
Invisibility.MOD			TYPE:Psychic	CLASSES:Mesmerist=2
Knock.MOD				TYPE:Psychic	CLASSES:Mesmerist=2
Levitate.MOD			TYPE:Psychic	CLASSES:Mesmerist=2
Locate Object.MOD			TYPE:Psychic	CLASSES:Mesmerist=2
Minor Image.MOD			TYPE:Psychic	CLASSES:Mesmerist=2
Mirror Image.MOD			TYPE:Psychic	CLASSES:Mesmerist=2
Misdirection.MOD			TYPE:Psychic	CLASSES:Mesmerist=2
Perceive Cues.MOD			TYPE:Psychic	CLASSES:Mesmerist=2
Phantom Trap.MOD			TYPE:Psychic	CLASSES:Mesmerist=2
Pyrotechnics.MOD			TYPE:Psychic	CLASSES:Mesmerist=2
Rage.MOD				TYPE:Psychic	CLASSES:Mesmerist=2
Restoration (Lesser).MOD	TYPE:Psychic	CLASSES:Mesmerist=2
Scare.MOD				TYPE:Psychic	CLASSES:Mesmerist=2
Share Language (Communal)	TYPE:Psychic	CLASSES:Mesmerist=2
Silence.MOD				TYPE:Psychic	CLASSES:Mesmerist=2
Suggestion.MOD			TYPE:Psychic	CLASSES:Mesmerist=2
Tongues.MOD				TYPE:Psychic	CLASSES:Mesmerist=2
Touch of Idiocy.MOD		TYPE:Psychic	CLASSES:Mesmerist=2
Whispering Wind.MOD		TYPE:Psychic	CLASSES:Mesmerist=2

#Mesmerist 3
Bestow Curse.MOD				TYPE:Psychic	CLASSES:Mesmerist=3
Charm Monster.MOD				TYPE:Psychic	CLASSES:Mesmerist=3
Clairaudience/Clairvoyance.MOD	TYPE:Psychic	CLASSES:Mesmerist=3
Confusion.MOD				TYPE:Psychic	CLASSES:Mesmerist=3
Crushing Despair.MOD			TYPE:Psychic	CLASSES:Mesmerist=3
Cup of Dust.MOD				TYPE:Psychic	CLASSES:Mesmerist=3
Deep Slumber.MOD				TYPE:Psychic	CLASSES:Mesmerist=3
Dispel Magic.MOD				TYPE:Psychic	CLASSES:Mesmerist=3
Displacement.MOD				TYPE:Psychic	CLASSES:Mesmerist=3
Dominate Animal.MOD			TYPE:Psychic	CLASSES:Mesmerist=3
Elemental Speech.MOD			TYPE:Psychic	CLASSES:Mesmerist=3
Fear.MOD					TYPE:Psychic	CLASSES:Mesmerist=3
Geas (Lesser).MOD				TYPE:Psychic	CLASSES:Mesmerist=3
Glibness.MOD				TYPE:Psychic	CLASSES:Mesmerist=3
Illusory Script.MOD			TYPE:Psychic	CLASSES:Mesmerist=3
Invigorate (Mass).MOD			TYPE:Psychic	CLASSES:Mesmerist=3
Invisibility Sphere.MOD			TYPE:Psychic	CLASSES:Mesmerist=3
Jester's Jaunt.MOD			TYPE:Psychic	CLASSES:Mesmerist=3
Major Image.MOD				TYPE:Psychic	CLASSES:Mesmerist=3
Nondetection.MOD				TYPE:Psychic	CLASSES:Mesmerist=3
Ray of Exhaustion.MOD			TYPE:Psychic	CLASSES:Mesmerist=3
Remove Blindness/Deafness.MOD		TYPE:Psychic	CLASSES:Mesmerist=3
Remove Curse.MOD				TYPE:Psychic	CLASSES:Mesmerist=3
Scrying.MOD					TYPE:Psychic	CLASSES:Mesmerist=3
Secret Page.MOD				TYPE:Psychic	CLASSES:Mesmerist=3
See Invisibility.MOD			TYPE:Psychic	CLASSES:Mesmerist=3
Seek Thoughts.MOD				TYPE:Psychic	CLASSES:Mesmerist=3
Sending.MOD					TYPE:Psychic	CLASSES:Mesmerist=3
Spite.MOD					TYPE:Psychic	CLASSES:Mesmerist=3
Vampiric Touch.MOD			TYPE:Psychic	CLASSES:Mesmerist=3

