# CVS $Revision: 12254 $ $Author: eddyanthony $ -- Wed Nov 17 11:49:58 2010 -- reformated by prettylst.pl v1.39 (build 11455)
SOURCELONG:Inner Sea Primer	SOURCESHORT:ISP	SOURCEWEB:http://paizo.com/store/byCompany/p/paizoPublishingLLC/pathfinder/companion/pathfinderRPG/v5748btpy8hih	SOURCEDATE:2010-11
# Original Entry by:Stefan Radermacher

###Block: Human Ethnicities
# Template Name			Visible	Source Page		Bonus to Ability Pool			Subrace
Human Ethnicity			VISIBLE:NO				BONUS:ABILITYPOOL|Human Ethnicity|1
Human Ethnicity (Azlanti)	VISIBLE:NO	SOURCEPAGE:p.30							SUBRACE:Azlanti
Human Ethnicity (Chelaxian)	VISIBLE:NO	SOURCEPAGE:p.30							SUBRACE:Chelaxian
Human Ethnicity (Garundi)	VISIBLE:NO	SOURCEPAGE:p.30							SUBRACE:Garundi
Human Ethnicity (Keleshite)	VISIBLE:NO	SOURCEPAGE:p.30							SUBRACE:Keleshite
Human Ethnicity (Kellid)	VISIBLE:NO	SOURCEPAGE:p.31							SUBRACE:Kellid
Human Ethnicity (Mwangi)	VISIBLE:NO	SOURCEPAGE:p.31							SUBRACE:Mwangi
Human Ethnicity (Shoanti)	VISIBLE:NO	SOURCEPAGE:p.31							SUBRACE:Shoanti
Human Ethnicity (Taldan)	VISIBLE:NO	SOURCEPAGE:p.31							SUBRACE:Taldan
Human Ethnicity (Tian)		VISIBLE:NO	SOURCEPAGE:p.31							SUBRACE:Tian
Human Ethnicity (Ulfen)		VISIBLE:NO	SOURCEPAGE:p.31							SUBRACE:Ulfen
Human Ethnicity (Varisian)	VISIBLE:NO	SOURCEPAGE:p.31							SUBRACE:Varisian
Human Ethnicity (Vudrani)	VISIBLE:NO	SOURCEPAGE:p.31							SUBRACE:Vudrani

###Block: Regional Affinities
# Template Name					Visible	Source Page		Bonus Languages					Region
Regional Affinity (Linnorm Kings)		VISIBLE:NO	SOURCEPAGE:p.11	LANGBONUS:Skald					REGION:Lands of the Linnorm Kings
Regional Affinity (Mammoth Lords)		VISIBLE:NO	SOURCEPAGE:p.12	LANGBONUS:Giant,Hallit				REGION:Realm of the Mammoth Lords
Regional Affinity (Mana Wastes)		VISIBLE:NO	SOURCEPAGE:p.12	LANGBONUS:Kelish,Osiriani			REGION:Mana Wastes
Regional Affinity (Mendev)			VISIBLE:NO	SOURCEPAGE:p.13	LANGBONUS:Hallit					REGION:Mendev
Regional Affinity (Molthune)			VISIBLE:NO	SOURCEPAGE:p.13	LANGBONUS:Varisian				REGION:Molthune
Regional Affinity (Mwangi Expanse)		VISIBLE:NO	SOURCEPAGE:p.14	LANGBONUS:Polyglot				REGION:Mwangi Expanse
Regional Affinity (Nex)				VISIBLE:NO	SOURCEPAGE:p.14	LANGBONUS:Kelish,Osiriani,Vudrani		REGION:Nex
Regional Affinity (Nidal)			VISIBLE:NO	SOURCEPAGE:p.15	LANGBONUS:Shadowtongue,Varisian		REGION:Nidal
Regional Affinity (Nirmathas)			VISIBLE:NO	SOURCEPAGE:p.15	LANGBONUS:Varisian				REGION:Nirmathas
Regional Affinity (Numeria)			VISIBLE:NO	SOURCEPAGE:p.16	LANGBONUS:Hallit					REGION:Numeria
Regional Affinity (Osirion)			VISIBLE:NO	SOURCEPAGE:p.16	LANGBONUS:Osiriani				REGION:Osirion
Regional Affinity (Qadira)			VISIBLE:NO	SOURCEPAGE:p.17	LANGBONUS:Kelish					REGION:Qadira
Regional Affinity (Rahadoum)			VISIBLE:NO	SOURCEPAGE:p.17	LANGBONUS:Osiriani				REGION:Rahadoum
Regional Affinity (Razmiran)			VISIBLE:NO	SOURCEPAGE:p.18	LANGBONUS:Hallit					REGION:Razmiran
Regional Affinity (River Kingdoms)		VISIBLE:NO	SOURCEPAGE:p.18	LANGBONUS:Hallit					REGION:The River Kingdoms
Regional Affinity (Sargava)			VISIBLE:NO	SOURCEPAGE:p.19	LANGBONUS:Polyglot				REGION:Sargava
Regional Affinity (Shackles)			VISIBLE:NO	SOURCEPAGE:p.19	LANGBONUS:Polyglot				REGION:The Shackles
Regional Affinity (Sodden Lands)		VISIBLE:NO	SOURCEPAGE:p.20	LANGBONUS:Polyglot				REGION:Sodden Lands
Regional Affinity (Steaming Sea)		VISIBLE:NO	SOURCEPAGE:p.20	LANGBONUS:Azlanti,Elven,Hallit,Skald	REGION:Steaming Sea
Regional Affinity (Taldor)			VISIBLE:NO	SOURCEPAGE:p.21	LANGBONUS:Azlanti,Elven,Hallit,Skald	REGION:Taldor
Regional Affinity (Thuvia)			VISIBLE:NO	SOURCEPAGE:p.21	LANGBONUS:Kelish					REGION:Thuvia
Regional Affinity (Ustalav)			VISIBLE:NO	SOURCEPAGE:p.22	LANGBONUS:Skald,Varisian			REGION:Ustalav
Regional Affinity (Varisia)			VISIBLE:NO	SOURCEPAGE:p.22	LANGBONUS:Shoanti,Varisian			REGION:Varisia

#
# End
#
