# Ability Name	CATEGORY	TYPE	DESC	SOURCEPAGE
# --- Assassin ---
Sneak Attack	CATEGORY:Special Ability	TYPE:ClassFeature.Rogue	DESC:On a successful attack while Cloaked or with an ally in Melee, add d6s equal to tier to damage.	SOURCEPAGE:p.22
Vanish	CATEGORY:Special Ability	TYPE:HopeFeature.Rogue	DESC:Spend 3 Hope to become immediately Cloaked and move to Close range.	SOURCEPAGE:p.22
Shadow Syndicate	CATEGORY:Special Ability	TYPE:SubclassFoundation.Syndicate	DESC:Gain contacts in every major settlement and advantage on black-market transactions.	SOURCEPAGE:p.23
Sleight of Hand	CATEGORY:Special Ability	TYPE:SubclassFoundation.Thief	DESC:Advantage on Finesse rolls to pick pockets, bypass locks, and disarm mundane traps.	SOURCEPAGE:p.23

# --- Seraph ---
Spirit Weapon	CATEGORY:Special Ability	TYPE:ClassFeature.Seraph	DESC:Equipped Melee/Very Close weapon flies up to Close range to attack and returns.	SOURCEPAGE:p.24
Divine Intervention	CATEGORY:Special Ability	TYPE:HopeFeature.Seraph	DESC:Spend 3 Hope to clear 1 HP from all allies within Close range.	SOURCEPAGE:p.24
Radiant Blade	CATEGORY:Special Ability	TYPE:SubclassFoundation.DivineWielder	DESC:Primary weapon attacks deal radiant magic damage and illuminate areas within Close range.	SOURCEPAGE:p.24
Angelic Aegis	CATEGORY:Special Ability	TYPE:SubclassFoundation.WingedSentinel	DESC:Fly at normal speed and grant adjacent allies +1 to their Armor Score.	SOURCEPAGE:p.25

# --- Sorcerer ---
Channel Raw Power	CATEGORY:Special Ability	TYPE:ClassFeature.Sorcerer	DESC:Mark 1 Stress to add +1d8 magic damage to any spellcast attack.	SOURCEPAGE:p.25
Arcane Surge	CATEGORY:Special Ability	TYPE:HopeFeature.Sorcerer	DESC:Spend 3 Hope to cast a domain card spell without expending its normal resource cost.	SOURCEPAGE:p.25
Elemental Affinity	CATEGORY:Special Ability	TYPE:SubclassFoundation.ElementalOrigin	DESC:Choose fire, frost, or lightning; gain resistance to that element and +2 bonus damage with its spells.	SOURCEPAGE:p.25
Primal Surge	CATEGORY:Special Ability	TYPE:SubclassFoundation.PrimalOrigin	DESC:When rolling with Hope on a spellcast roll, recover 1 marked Stress.	SOURCEPAGE:p.26

# --- Warlock ---
Eldritch Pact	CATEGORY:Special Ability	TYPE:ClassFeature.Warlock	DESC:Make a pact with an entity; sacrifice HP or Stress to gain immediate Hope or bonus damage.	SOURCEPAGE:p.26
Dark Bargain	CATEGORY:Special Ability	TYPE:HopeFeature.Warlock	DESC:Spend 3 Hope to force an adversary within Far range to mark 2 Stress.	SOURCEPAGE:p.26
Pact Weapon	CATEGORY:Special Ability	TYPE:SubclassFoundation.PactOfTheBlade	DESC:Summon a magical pact weapon in any form using Presence for attack and damage rolls.	SOURCEPAGE:p.27
Familiar Bond	CATEGORY:Special Ability	TYPE:SubclassFoundation.PactOfTheChain	DESC:Summon an otherworldly familiar that can scout, deliver touch spells, and grant sensory feedback.	SOURCEPAGE:p.27

# --- Warrior ---
Battle Prowess	CATEGORY:Special Ability	TYPE:ClassFeature.Warrior	DESC:Add your Strength score directly to your physical weapon damage thresholds.	SOURCEPAGE:p.28
Second Wind	CATEGORY:Special Ability	TYPE:HopeFeature.Warrior	DESC:Spend 3 Hope to clear 2 Hit Points during combat.	SOURCEPAGE:p.28
Master of Arms	CATEGORY:Special Ability	TYPE:SubclassFoundation.WeaponMaster	DESC:Gain +1 to attack rolls with weapons matching your chosen fighting style.	SOURCEPAGE:p.28
Battlefield Commander	CATEGORY:Special Ability	TYPE:SubclassFoundation.Tactician	DESC:Spend a Hope to allow an ally within Far range to reposition to Close range immediately.	SOURCEPAGE:p.29

# --- Witch ---
Coven Magic	CATEGORY:Special Ability	TYPE:ClassFeature.Witch	DESC:Cast rituals and curses by expending components or marking Stress.	SOURCEPAGE:p.29
Hex Weave	CATEGORY:Special Ability	TYPE:HopeFeature.Witch	DESC:Spend 3 Hope to apply a Hex to up to two targets within Far range simultaneously.	SOURCEPAGE:p.29
Lunar Guidance	CATEGORY:Special Ability	TYPE:SubclassFoundation.CovenOfTheMoon	DESC:Gain advantage on Knowledge and Instinct rolls at night or under open moonlight.	SOURCEPAGE:p.29
Sanguine Rite	CATEGORY:Special Ability	TYPE:SubclassFoundation.CovenOfBlood	DESC:Mark 1 HP to deal 2d8 unavoidable necrotic damage to a target within Close range.	SOURCEPAGE:p.30

# --- Wizard ---
Spellbook Mastery	CATEGORY:Special Ability	TYPE:ClassFeature.Wizard	DESC:Prepare and swap domain cards from your Spellbook during short rests.	SOURCEPAGE:p.30
Overchannel	CATEGORY:Special Ability	TYPE:HopeFeature.Wizard	DESC:Spend 3 Hope to maximize the damage dice on any Codex or Splendor spell.	SOURCEPAGE:p.30
Arcane Scholar	CATEGORY:Special Ability	TYPE:SubclassFoundation.SchoolOfKnowledge	DESC:Advantage on all Knowledge checks and identification of magical relics.	SOURCEPAGE:p.31
Warmage Tactics	CATEGORY:Special Ability	TYPE:SubclassFoundation.SchoolOfWar	DESC:Gain +1 to Evasion and +1 to spell attack rolls while wearing armor.	SOURCEPAGE:p.31
