None	SORTKEY:a_none	GROUP:Unselected	RACETYPE:None	TYPE:None	MOVE:Walk,0
Skeleton Warrior	KEY:Skeleton Warrior (Adversary)	TYPE:Adversary.Tier1.Standard	DESC:Tier 1 Standard | Difficulty: 11 | Thresholds: 5/10	ABILITY:Special Ability|AUTOMATIC|Brittle Bones ~ Adversary|Relentless Advance ~ Adversary	SOURCEPAGE:p.95
Zombie Shambler	KEY:Zombie Shambler (Adversary)	TYPE:Adversary.Tier1.Bruiser	DESC:Tier 1 Bruiser | Difficulty: 10 | Thresholds: 6/14	ABILITY:Special Ability|AUTOMATIC|Undead Fortitude ~ Adversary|Grasping Claws ~ Adversary	SOURCEPAGE:p.95
Young Owlbear	KEY:Young Owlbear (Adversary)	TYPE:Adversary.Tier1.Solo	DESC:Tier 1 Solo | Difficulty: 13 | Thresholds: 8/16	ABILITY:Special Ability|AUTOMATIC|Terrifying Roar ~ Adversary|Beak and Claw ~ Adversary	SOURCEPAGE:p.96
Animated Armor	KEY:Animated Armor (Adversary)	TYPE:Adversary.Tier1.Support	DESC:Tier 1 Support | Difficulty: 12 | Thresholds: 8/16	ABILITY:Special Ability|AUTOMATIC|Constructed Resilience ~ Adversary|Shield Ally ~ Adversary	SOURCEPAGE:p.97

# --- Tier 2 (Levels 5–7) ---
Ogre Bruiser	KEY:Ogre Bruiser (Adversary)	TYPE:Adversary.Tier2.Bruiser	DESC:Tier 2 Bruiser | Difficulty: 13 | Thresholds: 12/24	ABILITY:Special Ability|AUTOMATIC|Sweeping Club ~ Adversary|Ground Slam ~ Adversary	SOURCEPAGE:p.98
Bandit Captain	KEY:Bandit Captain (Adversary)	TYPE:Adversary.Tier2.Leader	DESC:Tier 2 Leader | Difficulty: 14 | Thresholds: 10/20	ABILITY:Special Ability|AUTOMATIC|Rally the Scoundrels ~ Adversary|Dirty Parry ~ Adversary	SOURCEPAGE:p.99
Shadow Stalker	KEY:Shadow Stalker (Adversary)	TYPE:Adversary.Tier2.Skirmisher	DESC:Tier 2 Skirmisher | Difficulty: 15 | Thresholds: 9/18	ABILITY:Special Ability|AUTOMATIC|Shadow Meld ~ Adversary|Draining Strike ~ Adversary	SOURCEPAGE:p.100
Cave Troll	KEY:Cave Troll (Adversary)	TYPE:Adversary.Tier2.Solo	DESC:Tier 2 Solo | Difficulty: 15 | Thresholds: 14/28	ABILITY:Special Ability|AUTOMATIC|Regeneration ~ Adversary|Rend ~ Adversary	SOURCEPAGE:p.101
Manticore	KEY:Manticore (Adversary)	TYPE:Adversary.Tier2.Solo	DESC:Tier 2 Solo | Difficulty: 14 | Thresholds: 12/25	ABILITY:Special Ability|AUTOMATIC|Spike Volley ~ Adversary|Toxic Sting ~ Adversary	SOURCEPAGE:p.102

# --- Tier 3 (Levels 8–9) ---
Adult Forest Drake	KEY:Adult Forest Drake (Adversary)	TYPE:Adversary.Tier3.Solo	DESC:Tier 3 Solo | Difficulty: 16 | Thresholds: 18/36	ABILITY:Special Ability|AUTOMATIC|Tail Swipe ~ Adversary|Acid Breath ~ Adversary|Draconic Flight ~ Adversary	SOURCEPAGE:p.104
Vampire Noble	KEY:Vampire Noble (Adversary)	TYPE:Adversary.Tier3.Leader	DESC:Tier 3 Leader | Difficulty: 17 | Thresholds: 16/32	ABILITY:Special Ability|AUTOMATIC|Dominate Mind ~ Adversary|Blood Drain ~ Adversary|Mist Escape ~ Adversary	SOURCEPAGE:p.105
Stone Golem	KEY:Stone Golem (Adversary)	TYPE:Adversary.Tier3.Bruiser	DESC:Tier 3 Bruiser | Difficulty: 16 | Thresholds: 22/44	ABILITY:Special Ability|AUTOMATIC|Magic Immunity ~ Adversary|Slow Field ~ Adversary|Crushing Fist ~ Adversary	SOURCEPAGE:p.106
Hydra	KEY:Hydra (Adversary)	TYPE:Adversary.Tier3.Solo	DESC:Tier 3 Solo | Difficulty: 17 | Thresholds: 20/40	ABILITY:Special Ability|AUTOMATIC|Multiple Heads ~ Adversary|Reactive Snapping ~ Adversary	SOURCEPAGE:p.107

# --- Tier 4 (Apex / Level 10) ---
Ancient Cinder Wyrm	KEY:Ancient Cinder Wyrm (Adversary)	TYPE:Adversary.Tier4.Solo	DESC:Tier 4 Apex Solo | Difficulty: 19 | Thresholds: 28/56	ABILITY:Special Ability|AUTOMATIC|Cataclysmic Breath ~ Adversary|Infernal Aura ~ Adversary|Wing Buffet ~ Adversary	SOURCEPAGE:p.110
Arch-Lich	KEY:Arch-Lich (Adversary)	TYPE:Adversary.Tier4.Solo	DESC:Tier 4 Apex Solo | Difficulty: 20 | Thresholds: 24/48	ABILITY:Special Ability|AUTOMATIC|Disintegrate Ray ~ Adversary|Soul Cage ~ Adversary|Paralyzing Touch ~ Adversary	SOURCEPAGE:p.112
