# CVS $Revision: 1.1 $ $Author: eddyanthony $ -- Mon Jul  7 16:59:30 2008 -- reformated by prettylst.pl v1.38 (build 6887)
SOURCELONG:Curse of the Crimson Throne: Skeletons of Scarwall	SOURCESHORT:CotCT:SoS	SOURCEWEB:http://paizo.com/pathfinder/v5748btpy83yw	SOURCEDATE:2008-08

###Block: Chained Spirit
# Ability Name			Output Name					Category of Ability		Type								Visible		Description																																												Source Page
Lifesense				OUTPUTNAME:Lifesense (Su)		CATEGORY:Special Ability	TYPE:SpecialAttack.Extraordinary		VISIBLE:YES	DESC:Any creature hit by a chained spirit’s chains or incorporeal touch attack must succeed on a DC 25 Will save or take 1d6 points of Charisma drain.		SOURCEPAGE:p. 81
Unholy Fortitude DM		OUTPUTNAME:Unholy Fortitude (Ex)	CATEGORY:Special Ability	TYPE:SpecialAttack.Extraordinary		VISIBLE:YES	DESC:A danse macabre gains bonus hit points equal to its Charisma modifier times its Hit Dice, and a bonus to its Fortitude saves equal to its Charisma.		SOURCEPAGE:p. 81

###Block: Gug
# Ability Name			Output Name					Category of Ability		Type								Visible		Description																										Source Page
Rend					OUTPUTNAME:Rend (Ex)			CATEGORY:Special Ability	TYPE:SpecialAttack.Extraordinary		VISIBLE:YES	DESC:A gug that hits with two or more claw attacks latches onto the opponent’s body and tears the flesh.								SOURCEPAGE:p. 82
Tunnel Mobility		OUTPUTNAME:Tunnel Mobility (Ex)	CATEGORY:Special Ability	TYPE:SpecialAttack.Extraordinary		VISIBLE:YES	DESC:Strangely flexible, gugs are capable of moving through spaces only half as wide as their normal space without squeezing penalties.	SOURCEPAGE:p. 82
Skills				OUTPUTNAME:Skills				CATEGORY:Special Ability	TYPE:SpecialAttack.Extraordinary		VISIBLE:YES	DESC:Can always choose to take 10 on a Climb check, even if rushed or threatened.												SOURCEPAGE:p. 82

###Block: The Prince in Chains
# Ability Name			Output Name					Category of Ability		Type								Visible		Description																																						Source Page
Chainstorm			OUTPUTNAME:Chainstorm (Ex)		CATEGORY:Special Ability	TYPE:SpecialAttack.Extraordinary		VISIBLE:YES	DESC:The area within 15 feet of the Prince in Chains is constantly assaulted with lashing chains and tendrils spontaneously grown from its tormented form.										SOURCEPAGE:p. 84
Exaction				OUTPUTNAME:Exaction (Su)			CATEGORY:Special Ability	TYPE:SpecialAttack.Extraordinary		VISIBLE:YES	DESC:The Prince in Chains is treated as having fast healing 10 any round it deals damage, regardless of how much damage it deals in that round after.											SOURCEPAGE:p. 84
Howl of Despair		OUTPUTNAME:Howl of Despair (Su)	CATEGORY:Special Ability	TYPE:SpecialAttack.Extraordinary		VISIBLE:YES	DESC:The Prince in Chains can loose a howl of immortal agony once every 1d4 rounds.																								SOURCEPAGE:p. 85
No Breath				OUTPUTNAME:No Breath (Ex)		CATEGORY:Special Ability	TYPE:SpecialAttack.Extraordinary		VISIBLE:YES	DESC:The Prince in Chains does not breathe and is immune to inhaled toxins and diseases.																							SOURCEPAGE:p. 85
Pass Without Trace		OUTPUTNAME:Pass Without Trace (Su)	CATEGORY:Special Ability	TYPE:SpecialAttack.Extraordinary		VISIBLE:YES	DESC:The Prince in Chains is constantly affected by the spell pass without trace.																								SOURCEPAGE:p. 85
Trip					OUTPUTNAME:Trip (Ex)			CATEGORY:Special Ability	TYPE:SpecialAttack.Extraordinary		VISIBLE:YES	DESC:If the Prince in Chains hits with its bite attack it can attempt to trip the opponent (+5 check modifier) as a free action without making a touch attack or provoking an attack of opportunity.	SOURCEPAGE:p. 85
Vicious				OUTPUTNAME:Vicious (Ex)			CATEGORY:Special Ability	TYPE:SpecialAttack.Extraordinary		VISIBLE:YES	DESC:Any time the Prince in Chains confirms a critical hit, in addition to increased damage it also deals 2 points of Constitution damage.													SOURCEPAGE:p. 85

###Block: The Prince in Chains
# Ability Name								Output Name											Category of Ability			Type								Visible		Description																														Source Page
Breath Weapon								OUTPUTNAME:Breath Weapon (Su)								CATEGORY:Special Ability		TYPE:SpecialAttack.Extraordinary		VISIBLE:YES	DESC:An umbral dragon has two types of breath weapon: a cone of negative energy and a cone of Strength draining shadows.								SOURCEPAGE:p. 86
Ghost Bane								OUTPUTNAME:Ghost Bane (Su)								CATEGORY:Special Ability		TYPE:SpecialAttack.Extraordinary		VISIBLE:YES	DESC:An umbral dragon’s physical attacks deal damage to incorporeal creatures normally, as if they possessed the ghost touch magic weapon ability.			SOURCEPAGE:p. 86
Immunity to Death Effects and Negative Energy	OUTPUTNAME:Immunity to Death Effects and Negative Energy (Su)	CATEGORY:Special Ability		TYPE:SpecialAttack.Extraordinary		VISIBLE:YES	DESC:Umbral dragons are immune to negative energy damage, death effects, and energy drain.														SOURCEPAGE:p. 86
Hide in Plain Sight							OUTPUTNAME:Hide in Plain Sight (Su)						CATEGORY:Special Ability		TYPE:SpecialAttack.Extraordinary		VISIBLE:YES	DESC:An umbral dragon can use the Hide skill even when being observed.																		SOURCEPAGE:p. 86
Crush									OUTPUTNAME:Crush (Ex)									CATEGORY:Special Ability		TYPE:SpecialAttack.Extraordinary		VISIBLE:YES	DESC:Area 15 ft. by 15 ft.																											SOURCEPAGE:p. 89

#
# End
#
