# Original Entry By: Andrew Maitland
# Entry Date: Feb 2013

# COMMENT: Bite Secondary?
Adaro	SOURCEPAGE:p.7
	AUTO:LANG|Common|Giant

Giant Ant Lion	KEY:Ant Lion (Giant)	SORTKEY:Ant Lion (Giant)	SOURCEPAGE:p.17
	CR:5
	XP:1,600
	KIT:1|TN
	SIZE:L
	RACETYPE:Vermin
	VISION:Darkvision (60')|Tremorsense (60')
	BONUS:COMBAT|AC|10|TYPE=NaturalArmor
	MONSTERCLASS:Vermin:8
	MOVE:Walk,30,Burrow,10
	NATURALATTACKS:Bite,Melee.Weapon.Natural,*1,2d8
	FACE:10
	REACH:5
	BONUS:STAT|STR|10
	BONUS:STAT|DEX|0
	BONUS:STAT|CON|6
	BONUS:STAT|INT|0
	BONUS:STAT|WIS|0
	BONUS:STAT|CHA|0
	ABILITY:Internal|AUTOMATIC|Default Traits ~ Giant Ant Lion

Giant Adult Ant Lion	KEY:Ant Lion (Adult)	SORTKEY:Ant Lion (Giant Adult)	SOURCEPAGE:p.17
	CR:6
	XP:2,400
	KIT:1|TN
	SIZE:H
	RACETYPE:Vermin
	VISION:Darkvision (60')
	BONUS:COMBAT|AC|8|TYPE=Armor
	MONSTERCLASS:Vermin:10
	MOVE:Walk,30,Fly,60
	(good)
	BONUS:STAT|STR|14
	BONUS:STAT|DEX|6
	BONUS:STAT|CON|8
	BONUS:STAT|INT|0
	BONUS:STAT|WIS|0
	BONUS:STAT|CHA|0
	ABILITY:Internal|AUTOMATIC|Default Traits ~ Giant Adult Ant Lion
	NATURALATTACKS:Bite,Melee.Weapon.Natural,*1,2d8
	FACE:15
	REACH:10

Harbinger Archon	KEY:Archon (Harbinger)	SORTKEY:Archon	SOURCEPAGE:p.18
	CR:2
	XP:600
	KIT:1|LG
	SIZE:T
	RACETYPE:Outsider
	RACESUBTYPE:Archon|Extraplanar|Good|Lawful
	VISION:Darkvision (60')|Low-Light Vision
	BONUS:COMBAT|AC|1|TYPE=Dodge
	BONUS:COMBAT|AC|1|TYPE=NaturalArmor
	MONSTERCLASS:Outsider:3
	DR:5/evil
	MOVE:Fly,50
	(perfect)
	BONUS:STAT|STR|-4
	BONUS:STAT|DEX|4
	BONUS:STAT|CON|0
	BONUS:STAT|INT|0
	BONUS:STAT|WIS|2
	BONUS:STAT|CHA|2
	ABILITY:Internal|AUTOMATIC|Default Traits ~ Harbinger Archon
	NATURALATTACKS:Blades,Melee.Natural.Weapon,*3,1d4
	FACE:2.5
	REACH:0
	AUTO:LANG|Celestial|Draconic|Infernal|Truespeech

Legion Archon	KEY:Archon (Legion)	SORTKEY:Archon	SOURCEPAGE:p.19
	CR:7
	XP:3,200
	KIT:1|LG
	SIZE:M
	RACETYPE:Outsider
	RACESUBTYPE:Archon|Extraplanar|Good|Lawful
	VISION:Darkvision (60')|Low-Light Vision
	BONUS:COMBAT|AC|9|TYPE=Armor
	BONUS:COMBAT|AC|3|TYPE=NaturalArmor
	MONSTERCLASS:Outsider:8
	DR:10/evil
	SR:18
	MOVE:Walk,40,Fly,90
	(average)
	BONUS:STAT|STR|6
	BONUS:STAT|DEX|2
	BONUS:STAT|CON|8
	BONUS:STAT|INT|0
	BONUS:STAT|WIS|4
	BONUS:STAT|CHA|6
	ABILITY:Internal|AUTOMATIC|Default Traits ~ Legion Archon
	VFEAT:Whirlwind Attack
	AUTO:LANG|Celestial|Draconic|Infernal

Ascomoid	SOURCEPAGE:p.20
	CR:5
	XP:1,600
	KIT:1|TN
	SIZE:L
	RACETYPE:Plant
	VISION:Tremorsense (60')
	BONUS:COMBAT|AC|7|TYPE=NaturalArmor
	MONSTERCLASS:Plant:7
	DR:10/piercing
	MOVE:Walk,40
	NATURALATTACKS:Slam,Melee.Weapon.Natural,*1,2d8
	FACE:10
	REACH:5
	VFEAT:Improved Overrun
	BONUS:STAT|STR|8
	BONUS:STAT|DEX|2
	BONUS:STAT|CON|6
	BONUS:STAT|INT|0
	BONUS:STAT|WIS|0
	BONUS:STAT|CHA|-10
	ABILITY:Internal|AUTOMATIC|Default Traits ~ Ascomoid

Adhukait	KEY:Asura (Adhukait)	SORTKEY:Asura	SOURCEPAGE:p.22
	CR:7
	XP:3,200
	KIT:1|LE
	SIZE:M
	RACETYPE:Outsider
	RACESUBTYPE:Asura|Evil|Extraplanar|Lawful
	VISION:All-Around Vision|Darkvision (60')
	BONUS:COMBAT|AC|1|TYPE=Dodge
	BONUS:COMBAT|AC|6|TYPE=NaturalArmor
	MONSTERCLASS:Outsider:9
	DR:5/good
	SR:18
	MOVE:Walk,40
	BONUS:STAT|STR|10
	BONUS:STAT|DEX|6
	BONUS:STAT|CON|6
	BONUS:STAT|INT|2
	BONUS:STAT|WIS|6
	BONUS:STAT|CHA|6
	ABILITY:Internal|AUTOMATIC|Default Traits ~ Adhukait
	NATURALATTACKS:Claws,Melee.Weapon.Natural,*2,1d4
	AUTO:LANG|Common|Infernal

Aghasura	KEY:Asura (Aghasura)	SORTKEY:Asura	SOURCEPAGE:p.23
	CR:11
	XP:12,800
	KIT:1|LE
	SIZE:H
	RACETYPE:Outsider
	RACESUBTYPE:Asura|Evil|Extraplanar|Lawful
	VISION:Darkvision (60')
	BONUS:COMBAT|AC|6|TYPE=Armor
	BONUS:COMBAT|AC|6|TYPE=NaturalArmor
	MONSTERCLASS:Outsider:14
	DR:10/good
	SR:22
	MOVE:Walk,35,Swim,20
	NATURALATTACKS:,Natural.Melee.Weapon,*,
	NATURALATTACKS:Bite,Melee.Weapon.Natural,*1,2d8
	FACE:15
	REACH:15
	BONUS:STAT|STR|24
	BONUS:STAT|DEX|6
	BONUS:STAT|CON|12
	BONUS:STAT|INT|0
	BONUS:STAT|WIS|4
	BONUS:STAT|CHA|8
	ABILITY:Internal|AUTOMATIC|Default Traits ~ Aghasura
	AUTO:LANG|Common|Infernal

Asurendra	KEY:Asura (Asurendra)	SORTKEY:Asura	SOURCEPAGE:p.24-25
	CR:20
	XP:307,200
	KIT:1|LE
	SIZE:H
	RACETYPE:Outsider
	RACESUBTYPE:Asura|Evil|Extraplanar|Lawful
	VISION:All-Around Vision|Darkvision (60')|Low-Light Vision|True Seeing
	BONUS:COMBAT|AC|5|TYPE=Deflection
	BONUS:COMBAT|AC|3|TYPE=Insight
	BONUS:COMBAT|AC|10|TYPE=NaturalArmor
	MONSTERCLASS:Outsider:22
	DR:15/chaotic and good
	SR:31
	MOVE:Walk,50,Climb,50,Fly,50,Swim,50
	(perfect)
	NATURALATTACKS:Claws,Melee.Weapon.Natural,*6,2d6|Bite,Melee.Weapon.Natural,*1,2d6
	FACE:15
	REACH:15
	BONUS:STAT|STR|26
	BONUS:STAT|DEX|16
	BONUS:STAT|CON|24
	BONUS:STAT|INT|14
	BONUS:STAT|WIS|14
	BONUS:STAT|CHA|20
	ABILITY:Internal|AUTOMATIC|Default Traits ~ Asurendra
	VFEAT:Combat Reflexes|Deflect Arrows|Dodge|Mobility
	AUTO:LANG|Common|Infernal

Tripurasura	KEY:Asura (Tripurasura)	SORTKEY:Asura	SOURCEPAGE:p.26
	CR:2
	XP:600
	KIT:1|LE
	SIZE:T
	RACETYPE:Outsider
	RACESUBTYPE:Asura|Evil|Extraplanar|Lawful
	VISION:Darkvision (60')
	BONUS:COMBAT|AC|1|TYPE=Insight
	MONSTERCLASS:Outsider:3
	DR:5/cold iron or good
	MOVE:Walk,20
	NATURALATTACKS:Sting,Melee.Weapon.Natural,*1,1d4
	BONUS:STAT|STR|-2
	BONUS:STAT|DEX|4
	BONUS:STAT|CON|2
	BONUS:STAT|INT|2
	BONUS:STAT|WIS|4
	BONUS:STAT|CHA|2
	ABILITY:Internal|AUTOMATIC|Default Traits ~ Tripurasura
	AUTO:LANG|Common|Infernal

Upasunda	KEY:Asura (Upasunda)	SORTKEY:Asura	SOURCEPAGE:p.27
	CR:9
	XP:6,400
	KIT:1|LE
	SIZE:M
	RACETYPE:Outsider
	RACESUBTYPE:Asura|Evil|Extraplanar|Lawful
	VISION:All-Around Vision|Darkvision (60')
	BONUS:COMBAT|AC|3|TYPE=Insight
	BONUS:COMBAT|AC||TYPE=NaturalArmor
	MONSTERCLASS:Outsider:12
	SR:20
	MOVE:Walk,50
	NATURALATTACKS:Slam,Melee.Weapon.Natural,*6,1d4
	BONUS:STAT|STR|12
	BONUS:STAT|DEX|14
	BONUS:STAT|CON|8
	BONUS:STAT|INT|4
	BONUS:STAT|WIS|14
	BONUS:STAT|CHA|8
	ABILITY:Internal|AUTOMATIC|Default Traits ~ Upasunda
	VFEAT:Combat Reflexes|Deflect Arrows|Improved Grapple
	AUTO:LANG|Common|Infernal

Atomie	SOURCEPAGE:p.28
	CR:1
	XP:400
	KIT:1|CN
	SIZE:D
	RACETYPE:Fey
	VISION:Low-Light Vision
	MONSTERCLASS:Fey:2
	DR:2/cold iron
	MOVE:Walk,20,Fly,50
	(good)
	FACE:1
	REACH:0
	BONUS:STAT|STR|-4
	BONUS:STAT|DEX|6
	BONUS:STAT|CON|2
	BONUS:STAT|INT|0
	BONUS:STAT|WIS|4
	BONUS:STAT|CHA|8
	ABILITY:Internal|AUTOMATIC|Default Traits ~ Atomie
	VFEAT:Improved Initiative
	AUTO:LANG|Common|Sylvan

Axe Beak		SOURCEPAGE:p.29
	CR:2
	XP:600
	KIT:1|TN
	SIZE:L
	RACETYPE:Animal
	VISION:Low-Light Vision
	BONUS:COMBAT|AC|2|TYPE=NaturalArmor
	MONSTERCLASS:Animal:3
	MOVE:Walk,50
	NATURALATTACKS:Bite,Melee.Weapon.Natural,*1,1d8
	FACE:10
	REACH:10
	BONUS:STAT|STR|8
	BONUS:STAT|DEX|6
	BONUS:STAT|CON|6
	BONUS:STAT|INT|-8
	BONUS:STAT|WIS|0
	BONUS:STAT|CHA|0
	ABILITY:Internal|AUTOMATIC|Default Traits ~ Axe Beak

Azruverda	SOURCEPAGE:p.30
	CR:13
	XP:25,600
	KIT:1|CG	SIZE:H
	RACETYPE:Aberration
	VISION:Darkvision (60')|Tremorsense (100')
	BONUS:COMBAT|AC|15|TYPE=NaturalArmor
	MONSTERCLASS:Aberration:16
	DR:10/magic and slashing
	MOVE:Walk,50,Climb,30
	NATURALATTACKS:Bite,Natural.Melee.Weapon,*1,2d6
	NATURALATTACKS:Claws,Natural.Melee.Weapon,*2,1d10
	NATURALATTACKS:Ranged Acid Spit Touch,Natural.Melee.Weapon,*1,10d6
	FACE:15
	REACH:15
	BONUS:STAT|STR|22
	BONUS:STAT|DEX|4
	BONUS:STAT|CON|12
	BONUS:STAT|INT|4
	BONUS:STAT|WIS|6
	BONUS:STAT|CHA|14
	ABILITY:Internal|AUTOMATIC|Default Traits ~ 
	AUTO:LANG|Aklo|Common|Undercommon

Baku	SOURCEPAGE:p.31
	CR:8
	XP:4,800
	KIT:1|TN
	SIZE:M
	RACETYPE:Magical Beast
	VISION:Darkvision (60')|Low-Light Vision
	MONSTERCLASS::10
	DR:10/cold iron
	SR:19
	MOVE:Walk,30,Fly,60
	(perfect)
	NATURALATTACKS:Claws,Natural.Melee.Weapon,*2,1d4
	NATURALATTACKS:Gore,Natural.Melee.Weapon,*1,1d6
	BONUS:STAT|STR|4
	BONUS:STAT|DEX|10
	BONUS:STAT|CON|8
	BONUS:STAT|INT|4
	BONUS:STAT|WIS|6
	BONUS:STAT|CHA|14
	ABILITY:Internal|AUTOMATIC|Default Traits ~ Baku
	AUTO:LANG|Aklo|Celestial|Common

Bandersnatch	SOURCEPAGE:p.31
	CR:17
	XP:102,400
	KIT:1|TN
	SIZE:G
	RACETYPE:Magical Beast
	VISION:Blindsense (120')|Darkvision (120')|Low-Light Vision
	BONUS:COMBAT|AC|20|TYPE=NaturalArmor
	MONSTERCLASS:Magical Beast:23
	MOVE:Walk,60,Climb,20
Bite +32 (2d8+13 plus grab), 2 Claws +32 (2d6+13/19-20),
tail slap +27 (2d8+19/3 plus pain)
Ranged 4 quills +26 (1d10+13/19-20)
	FACE:20
	REACH:15 (20 ft. with tail slap)
	BONUS:STAT|STR|26
	BONUS:STAT|DEX|14
	BONUS:STAT|CON|16
	BONUS:STAT|INT|-8
	BONUS:STAT|WIS|4
	BONUS:STAT|CHA|8
	ABILITY:Internal|AUTOMATIC|Default Traits ~ 

32


VARIANT BANDERSNATCHES
Though no bandersnatch is ordinary, some are
rarer than others. The most famous
is the frumious bandersnatch,
brimming with rage so fierce it
burns. Variant bandersnatches
may combine two or more
of the abilities below.
Confounding Bandersnatch (+1 CR): Confounding
bandersnatches drip infectious madness from their
quills and Claws. Poison (Ex) Claws and quills-injury;
save Fort DC 29
frequency 1/minute for 6 minutes
effect
confused for 1 minute
cure 2 consecutive saves. The save
DC is Constitution-based.
Frumious Bandersnatch (+2 CR): A frumious
bandersnatch seethes with barely repressed rage and anger.
If it misses with its Bite attack or falls below half of its hit
points, it succumbs to such uncontrollable fury that it bursts
into f lame. While engulfed in these f lames, a frumious
bandersnatch is affected as by a haste spell (this effect
cannot be dispelled) and causes an additional 2d6 points
of fire damage with each of its melee attacks and its quill
defense ability. The fury lasts for 5 rounds, after which the
bandersnatch cannot enter a fury again for another 5 rounds.
A frumious bandersnatch has fire resistance 30.
Lesser Bandersnatch (-4 CR): Smaller or younger
bandersnatches are still fearsome predators in their
own right. A lesser bandersnatch is Huge, with 4 fewer
Hit Dice than a typical bandersnatch. Reduce its physical
ability scores by 4 each and its Wisdom and Charisma by
2 each. A lesser bandersnatch lacks quick recovery and
deals 1d8+4 points of damage with its quill defense and
pain abilities. Lesser bandersnatches never have any
additional variant powers.
Magicbane Bandersnatch (+3 CR): These bandersnatches
radiate an antimagic aura in a 20-foot radius. Should
the aura be brought down, it returns automatically as a
free action on the bandersnatch's next turn. Magicbane
bandersnatches lack gaze and quick recovery.
Primal Bandersnatch (+2 CR): Primal bandersnatches
have kept their ties to the ancient world of the fey.
They have the extraplanar subtype,
SR equal to 11 plus their CR, 
	DR:10/
cold iron, and the advanced creature
simple template.


Baregara	SOURCEPAGE:p.33
	CR:12
	XP:19,200
	KIT:1|CE
	SIZE:L
	RACETYPE:Outsider
	RACESUBTYPE:Chaotic|Evil|Extraplanar
	VISION:Darkvision (60')
	BONUS:COMBAT|AC|12|TYPE=NaturalArmor
	MONSTERCLASS:Outsider:16
	DR:10/good
	SR:23
	MOVE:Walk,30,Climb,40
	NATURALATTACKS:,Natural.Melee.Weapon,*,
Bite +23 (1d8+4), 2 Claws +23 (1d10+8 plus grab), Gore +18 (1d8+8)
	FACE:10
	REACH:10
	BONUS:STAT|STR|16
	BONUS:STAT|DEX|8
	BONUS:STAT|CON|10
	BONUS:STAT|INT|4
	BONUS:STAT|WIS|6
	BONUS:STAT|CHA|6
	ABILITY:Internal|AUTOMATIC|Default Traits ~ 
	AUTO:LANG|Abyssal|Celestial|Common|Draconic



Baykok	SOURCEPAGE:p.34
	CR:9
	XP:6,400
	KIT:1|NE
	SIZE:M
	RACETYPE:Undead
	VISION:Darkvision (60')
	COMBAT|AC|7|TYPE=NaturalArmor
	MONSTERCLASS::15d
	MOVE:Walk,30,Fly,60
	(good)
2 Claws +14 (1d6+3)
	BONUS:STAT|STR|6
	BONUS:STAT|DEX|12
	BONUS:STAT|CON|0
	BONUS:STAT|INT|0
	BONUS:STAT|WIS|0
	BONUS:STAT|CHA|4
	ABILITY:Internal|AUTOMATIC|Default Traits ~ 
	AUTO:LANG|Common

Tempest Behemoth	KEY:Behemoth (Tempest)	SORTKEY:Behemoth	SOURCEPAGE:p.36
	CR:22
	XP:614,400
	KIT:1|TN
	SIZE:C
	RACETYPE:Magical Beast
	 (air, behemoth)
	VISION:Blindsense (60')|Darkvision (60')
	BONUS:COMBAT|AC|32|TYPE=NaturalArmor
	MONSTERCLASS::33
regeneration 20
	DR:15/epic
	SR:33
	MOVE:Walk,40,Fly,200
	(good)
Bite +41 (4d6+16/19-20 plus bleed), 2 talons (2d8+16
plus bleed), wings +36 (8d8+8)
Ranged 6 scales +31 (1d10+16/19-20 plus bleed)
	FACE:30
	REACH:30
	BONUS:STAT|STR|32
	BONUS:STAT|DEX|10
	BONUS:STAT|CON|16
	BONUS:STAT|INT|-8
	BONUS:STAT|WIS|6
	BONUS:STAT|CHA|4
	ABILITY:Internal|AUTOMATIC|Default Traits ~ 

Thalassic Behemoth	KEY:Behemoth (Thalassic)	SORTKEY:Behemoth	SOURCEPAGE:p.37
	CR:20
	XP:307,200
	KIT:1|TN
	SIZE:C
	
	RACETYPE:Magical Beast
	 (aquatic, behemoth, water)
	VISION:Blindsense (60')|Darkvision (60')

	BONUS:COMBAT|AC|36|TYPE=NaturalArmor
	MONSTERCLASS::29
regeneration 20 (fire)
	DR:15/epic
	SR:31
	MOVE:Walk,20,Swim,200
Bite +39 (6d6+18/19-20 plus grab), 2 Claws +39 (3d6+18),
tail slap +34 (4d6+9 plus trip)
Ranged water jet +20 (4d8+18/19-20 plus stun and push)
	FACE:30
	REACH:20
	BONUS:STAT|STR|36
	BONUS:STAT|DEX|-2
	BONUS:STAT|CON|16
	BONUS:STAT|INT|-8
	BONUS:STAT|WIS|6
	BONUS:STAT|CHA|4
	ABILITY:Internal|AUTOMATIC|Default Traits ~ 
	AUTO:LANG|Aklo (cannot speak)

Thunder Behemoth	KEY:Behemoth (Thunder)	SORTKEY:Behemoth	SOURCEPAGE:p.38
	CR:18
	XP:153,600
	KIT:1|TN
	SIZE:C
	RACETYPE:Magical Beast
	RACESUBTYPE:Behemoth|Earth
	VISION:Blindsense (60')|Darkvision (60')|Tremorsense (60')
	BONUS:COMBAT|AC|35|TYPE=NaturalArmor
	MONSTERCLASS:Magical Beast:25
	regeneration 20
	DR:15/epic
	SR:29
	MOVE:Walk,30,Burrow,30
Bite +33 (4d6+16 plus grab), Gore +33 (4d6+16), 2 stomps
+28 (2d8+8 plus trip)
Ranged 4 rocks +15 (3d6+24 plus stun)
	FACE:30
	REACH:20
	BONUS:STAT|STR|32
	BONUS:STAT|DEX|-4
	BONUS:STAT|CON|16
	BONUS:STAT|INT|-8
	BONUS:STAT|WIS|4
	BONUS:STAT|CHA|4
	ABILITY:Internal|AUTOMATIC|Default Traits ~ 
	AUTO:LANG|Aklo (cannot speak)

Berbalang	SOURCEPAGE:p.39
	CR:6
	XP:2,400
	KIT:1|CE
	SIZE:M
	RACETYPE:Undead
	VISION:Darkvision (60')
	BONUS:COMBAT|AC|1|TYPE=Dodge
	BONUS:COMBAT|AC|5|TYPE=NaturalArmor
	MONSTERCLASS:Undead:8
	DR:10/good or silver
	MOVE:Walk,40,Fly,60
	(good)
1 Bite +10 (1d6+3 plus paralysis), 2 Claws +9 (1d6+3
plus paralysis) or
incorporeal touch +10 (1d4 Con damage)

	BONUS:STAT|STR|6
	BONUS:STAT|DEX|8
	BONUS:STAT|CON|0
	BONUS:STAT|INT|2
	BONUS:STAT|WIS|6
	BONUS:STAT|CHA|8
	ABILITY:Internal|AUTOMATIC|Default Traits ~ 
	AUTO:LANG|Common

Bhuta	SOURCEPAGE:p.40
	CR:11
	XP:12,800
	KIT:1|NE
	SIZE:M
	RACETYPE:Undead
	RACESUBTYPE:Incorporeal
	VISION:Darkvision (60')
	BONUS:COMBAT|AC|1|TYPE=Dodge
	MONSTERCLASS:Undead:14
	MOVE:Fly,30
	(perfect)
2 incorporeal Claws +17 (5d8 plus bleed)
	BONUS:STAT|DEX|14
	BONUS:STAT|INT|0
	BONUS:STAT|WIS|-2
	BONUS:STAT|CHA|12
	ABILITY:Internal|AUTOMATIC|Default Traits ~ 
	AUTO:LANG|Common

Bogeyman	SOURCEPAGE:p.41
	CR:10
	XP:9,600
	KIT:1|NE
	SIZE:M
	fey
	VISION:Low-Light Vision
		BONUS:COMBAT|AC|
23, touch 23, flat-footed 17 (+7 deflection, +5 Dex, +1 dodge)
	MONSTERCLASS::17
terrible rejuvenation 5
	DR:15/cold iron
	SR:21
	MOVE:Walk,30
2 Claws +13 (1d8+8/19-20)
	BONUS:STAT|STR|2
	BONUS:STAT|DEX|10
	BONUS:STAT|CON|4
	BONUS:STAT|INT|4
	BONUS:STAT|WIS|6
	BONUS:STAT|CHA|14
	ABILITY:Internal|AUTOMATIC|Default Traits ~ 
	AUTO:LANG|Aklo|Common

Brain Ooze	SOURCEPAGE:p.42
	CR:7
	XP:3,200
	KIT:1|NE
	SIZE:T
	RACETYPE:Ooze
	VISION:blindsight (60')
		BONUS:COMBAT|AC|
23, touch 19, flatfooted 18 (+4 armor, +4 Dex, +1 dodge, +2 insight, +2 size)
	MONSTERCLASS::10
	MOVE:Walk,5,Fly,60
	(good)
2 tentacles +13 touch (1d6 electricity plus neural pulse)
	FACE:2.5
	REACH:0
	BONUS:STAT|STR|-6
	BONUS:STAT|DEX|8
	BONUS:STAT|CON|6
