#  Sun Aug  5 21:24:58 2018 -- reformated by PCGen PrettyLST v6.06.00
# CVS $Revision: $ $Author: $ -- Fri Jun 17 21:51:56 2016 -- reformated by PCGen PrettyLST v6.06.00
# Created January, 2015 Tom Parker
# This file represents a conversion mechanism for items that were previously
# stand-alone tokens, but are now handled internally as FACT or FACTSET.
#
# This file does not need to be referenced by a set of data or game mode
# unless that data uses a data control file (DATACONTROL: in a PCC file)
#
# Once a dataset takes on the responsibility of a DATACONTROL file, then it
# MUST include these entries (or something near equivalent [additional
# SELECT-ability would be legal]) in one of the DATACONTROL files.

# This MUST be included if you enable the datacontrol file....
# Name				Dataformat			Required	Selectable		Visible	Displayname		Explanation
FACTDEF:SPELL|CompMaterial	DATAFORMAT:String							VISIBLE:YES
#	FACTDEF:RACE|Construct							DATAFORMAT:BOOLEAN	VISIBLE:YES	SELECTABLE:NO	REQUIRED:NO	DISPLAYNAME:Construct							EXPLANATION:Determines whether the race started as - Construct
#	FACTDEF:RACE|Dragon								DATAFORMAT:BOOLEAN	VISIBLE:YES	SELECTABLE:NO	REQUIRED:NO	DISPLAYNAME:Dragon							EXPLANATION:Determines whether the race started as - Dragon
#	FACTDEF:RACE|Fey								DATAFORMAT:BOOLEAN	VISIBLE:YES	SELECTABLE:NO	REQUIRED:NO	DISPLAYNAME:Fey								EXPLANATION:Determines whether the race started as - Fey
#	FACTDEF:RACE|Humanoid							DATAFORMAT:BOOLEAN	VISIBLE:YES	SELECTABLE:NO	REQUIRED:NO	DISPLAYNAME:Humanoid							EXPLANATION:Determines whether the race started as - Humanoid
#	FACTDEF:RACE|Magical_Beast						DATAFORMAT:BOOLEAN	VISIBLE:YES	SELECTABLE:NO	REQUIRED:NO	DISPLAYNAME:Magical_Beast						EXPLANATION:Determines whether the race started as - Magical_Beast
#	FACTDEF:RACE|Monstrous_Humanoid						DATAFORMAT:BOOLEAN	VISIBLE:YES	SELECTABLE:NO	REQUIRED:NO	DISPLAYNAME:Monstrous_Humanoid					EXPLANATION:Determines whether the race started as - Monstrous_Humanoid
#	FACTDEF:RACE|Ooze								DATAFORMAT:BOOLEAN	VISIBLE:YES	SELECTABLE:NO	REQUIRED:NO	DISPLAYNAME:Ooze								EXPLANATION:Determines whether the race started as - Ooze
#	FACTDEF:RACE|Outsider							DATAFORMAT:BOOLEAN	VISIBLE:YES	SELECTABLE:NO	REQUIRED:NO	DISPLAYNAME:Outsider							EXPLANATION:Determines whether the race started as - Outsider
#	FACTDEF:RACE|Plant								DATAFORMAT:BOOLEAN	VISIBLE:YES	SELECTABLE:NO	REQUIRED:NO	DISPLAYNAME:Plant								EXPLANATION:Determines whether the race started as - Plant
#	FACTDEF:RACE|Undead								DATAFORMAT:BOOLEAN	VISIBLE:YES	SELECTABLE:NO	REQUIRED:NO	DISPLAYNAME:Undead							EXPLANATION:Determines whether the race started as - Undead
#	FACTDEF:RACE|Vermin								DATAFORMAT:BOOLEAN	VISIBLE:YES	SELECTABLE:NO	REQUIRED:NO	DISPLAYNAME:Vermin							EXPLANATION:Determines whether the race started as - Vermin
#FACTDEF:RACETYPE|Aberration								DATAFORMAT:BOOLEAN	VISIBLE:YES	SELECTABLE:NO	REQUIRED:NO	DISPLAYNAME:RACETYPE					EXPLANATION:Determines whether the race started as - Rage




###Block: Saves File
# Name						Dataformat				Required	Selectable		Visible	Displayname			Explanation
FACTDEF:CHECK|MainStat				DATAFORMAT:STRING								VISIBLE:YES					EXPLANATION:Output the Stat a save uses to the OS


#############################
#	Formula Parser
############################
#COMMENT: Formula System Defaults
DEFAULTVARIABLEVALUE:ORDEREDPAIR|0,0
DEFAULTVARIABLEVALUE:NUMBER|0
DEFAULTVARIABLEVALUE:DICE|0
DEFAULTVARIABLEVALUE:BOOLEAN|False
DEFAULTVARIABLEVALUE:STRING|
DEFAULTVARIABLEVALUE:ALIGNMENT|None

FACTDEF:RACE|BaseSize				DATAFORMAT:SIZEADJUSTMENT	REQUIRED:NO				VISIBLE:YES					EXPLANATION:All Races must have a Size - in the case of multiple sizes, use the SMALLEST allowed.

FACTDEF:RACE|Speed				DATAFORMAT:STRING			REQUIRED:NO				VISIBLE:YES					EXPLANATION:All Races have a speed.


# Subdomain / Domain Support

FACTDEF:DOMAIN|Domain				DATAFORMAT:STRING			REQUIRED:NO	SELECTABLE:NO	VISIBLE:NO	DISPLAYNAME:Domain	EXPLANATION:Makes referencing the domain easier




#############################
#	NEW PF 2 Specific Rules
###############################

FACTDEF:ABILITY|AltAbilityGeneration	DATAFORMAT:BOOLEAN		REQUIRED:NO	SELECTABLE:NO	VISIBLE:YES	DISPLAYNAME:IsPC		EXPLANATION:Determines whether to use alternative rules
