#  Sun Aug  5 21:24:58 2018 -- reformated by PCGen PrettyLST v6.06.00

Fist

# Equipment Traits
# Modifier Name	Bonus to skill		Special Property																																																																																																																															Ability
Clumsy						SPROP:This armor's Dexterity modifier cap also applies to Reflex saves and to all Dexterity-based skill and ability checks that don't have the attack trait.																																																																																																							ABILITY:Trait|AUTOMATIC|Armor Trait ~ Clumsy
Fragile						SPROP:If fragile armor takes a Dent, it's automatically broken.
Two-hand d12					SPROP:This weapon can be wielded with two hands. Doing so changes its weapon damage die to d12. If this trait applies to a magic weapon, the extra weapon damage dice from it being a magic weapon also increase in size while it's being wielded with two hands.


Unarmed						SPROP:An unarmed attack uses your body rather than a manufactured weapon. An unarmed attack isn't a weapon, though it's categorized with weapons for weapon tables and weapon groups, and it might have weapon traits. Because it's a part of your body, an unarmed attack can't be Disarmed. It also doesn't take up a hand, though a fist or other grasping appendage follows the same rules as a free-hand weapon.
Versatile						SPROP:A versatile weapon can be used to deal a different type of damage than the type listed in the damage entry. This trait indicates the alternate damage type. For instance, a piercing weapon that has versatile S can be used to deal piercing or slashing damage. You choose the damage type each time you make an attack.
Versatile B						SPROP:A versatile weapon can be used to deal a different type of damage than the type listed in the damage entry. This trait indicates the alternate damage type. For instance, a piercing weapon that has versatile S can be used to deal piercing or slashing damage. You choose the damage type each time you make an attack.
Versatile P						SPROP:A versatile weapon can be used to deal a different type of damage than the type listed in the damage entry. This trait indicates the alternate damage type. For instance, a piercing weapon that has versatile S can be used to deal piercing or slashing damage. You choose the damage type each time you make an attack.
Versatile S						SPROP:A versatile weapon can be used to deal a different type of damage than the type listed in the damage entry. This trait indicates the alternate damage type. For instance, a piercing weapon that has versatile S can be used to deal piercing or slashing damage. You choose the damage type each time you make an attack.
Volley						SPROP:This ranged weapon is less effective at close distances. Your attacks against targets that are at a distance within the number of feet listed take a -2 penalty.

# Critical Specialization Effects
Axe							SPROP:Critical Specialization Effect: Choose one creature adjacent to the initial target and within reach. If its AC is lower than your attack roll for the critical hit, you deal damage to that creature equal to a roll of your weapon's damage die (including extra dice for its potency rune, if any). No bonuses or other additional dice apply to this damage.
Bow							SPROP:Critical Specialization Effect: If the target of the critical hit is adjacent to a surface, it gets stuck to that surface by the missile. The target is immobile and must spend an Interact action to attempt a DC 10 Athletics check to pull the missile free before it can move from its space. The creature doesn't become stuck if it's incorporeal, liquid (like a water elemental or some oozes), or could otherwise escape without effort.
Brawling						SPROP:Critical Specialization Effect: The target must succeed at a Fortitude save or be slowed 1 until the end of your next turn.
Club							SPROP:Critical Specialization Effect: You knock the target back from you 5 or 10 feet (you choose the distance).
Dart							SPROP:Critical Specialization Effect: The target takes 1d4 persistent bleed damage. You gain an item bonus to this bleed damage equal to the weapon's item bonus to attack rolls.
Flail							SPROP:Critical Specialization Effect: The target is knocked prone.
Hammer						SPROP:Critical Specialization Effect: The target is knocked prone.
Knife							SPROP:Critical Specialization Effect: The target takes 1d4 persistent bleed damage. You gain an item bonus to this bleed damage equal to the weapon's item bonus to attack rolls.
Pick							SPROP:Critical Specialization Effect: The weapon viciously pierces the target. The target takes 1 additional damage per weapon damage die (including the extra dice from a critical hit).
Polearm						SPROP:Critical Specialization Effect: The target is moved 5 feet in a direction of your choice.
Shield						SPROP:Critical Specialization Effect: You knock the target back from you 5 feet.
Sling							SPROP:Critical Specialization Effect: The target must succeed at a Fortitude save or become slowed 1 for 1 round.
Spear							SPROP:Critical Specialization Effect: The weapon pierces the target, weakening its attacks. The target is enfeebled 1 for 1 round.
Sword							SPROP:Critical Specialization Effect: The target is made off-balance by your attack, becoming flat-footed for 1 round.
