SOURCELONG:Eclipse - The Codex Persona	SOURCESHORT:Eclipse	SOURCEWEB:http://www.lulu.com/content/435647
Make CSKILL ~ Perform (Sing)						CATEGORY:Internal	CSKILL:Perform (Sing)
Make CSKILL ~ Perform (String Instruments)				CATEGORY:Internal	CSKILL:Perform (String Instruments)
Make CSKILL ~ Perform (Wind Instruments)				CATEGORY:Internal	CSKILL:Perform (Wind Instruments)
Make CSKILL ~ Profession (Hunter)						CATEGORY:Internal	CSKILL:Profession (Hunter)
Make CSKILL ~ Profession (Miner)						CATEGORY:Internal	CSKILL:Profession (Miner)
Make CSKILL ~ Profession (Siege Engineer)				CATEGORY:Internal	CSKILL:Profession (Siege Engineer)
Make CSKILL ~ Ride								CATEGORY:Internal	CSKILL:Ride
Make CSKILL ~ Search								CATEGORY:Internal	CSKILL:Search
Make CSKILL ~ Sense Motive							CATEGORY:Internal	CSKILL:Sense Motive
Make CSKILL ~ Sleight of Hand						CATEGORY:Internal	CSKILL:Sleight of Hand
Make CSKILL ~ Speak Language						CATEGORY:Internal	CSKILL:Speak Language
Make CSKILL ~ Spellcraft							CATEGORY:Internal	CSKILL:Spellcraft
Make CSKILL ~ Spot								CATEGORY:Internal	CSKILL:Spot
Make CSKILL ~ Survival							CATEGORY:Internal	CSKILL:Survival
Make CSKILL ~ Swim								CATEGORY:Internal	CSKILL:Swim
Make CSKILL ~ Tumble								CATEGORY:Internal	CSKILL:Tumble
Make CSKILL ~ Use Magic Device						CATEGORY:Internal	CSKILL:Use Magic Device
Make CSKILL ~ Use Rope								CATEGORY:Internal		CSKILL:Use Rope


#
Make CSKILL ~ Alchemy	CATEGORY:Internal	CSKILL:Alchemy
Make CSKILL ~ Animal Empathy	CATEGORY:Internal	CSKILL:Animal Empathy
Make CSKILL ~ Craft (Basketweaving)	CATEGORY:Internal	CSKILL:Craft (Basketweaving)
Make CSKILL ~ Craft (Bookbinding)	CATEGORY:Internal	CSKILL:Craft (Bookbinding)
Make CSKILL ~ Craft (Calligraphy)	CATEGORY:Internal	CSKILL:Craft (Calligraphy)
Make CSKILL ~ Craft (Cobbling)	CATEGORY:Internal	CSKILL:Craft (Cobbling)
Make CSKILL ~ Craft (Gemcutting)	CATEGORY:Internal	CSKILL:Craft (Gemcutting)
Make CSKILL ~ Craft (Locksmithing)	CATEGORY:Internal	CSKILL:Craft (Locksmithing)
Make CSKILL ~ Craft (Weaving)	CATEGORY:Internal	CSKILL:Craft (Weaving)
Make CSKILL ~ Innuendo	CATEGORY:Internal	CSKILL:Innuendo
Make CSKILL ~ Intuit Direction	CATEGORY:Internal	CSKILL:Intuit Direction
Make CSKILL ~ Perform	CATEGORY:Internal	CSKILL:Perform
Make CSKILL ~ Pick Pocket	CATEGORY:Internal	CSKILL:Pick Pocket
Make CSKILL ~ Profession (Apothecary)	CATEGORY:Internal	CSKILL:Profession (Apothecary)
Make CSKILL ~ Profession (Boater)	CATEGORY:Internal	CSKILL:Profession (Boater)
Make CSKILL ~ Profession (Bookkeeper)	CATEGORY:Internal	CSKILL:Profession (Bookkeeper)
Make CSKILL ~ Profession (Brewer)	CATEGORY:Internal	CSKILL:Profession (Brewer)
Make CSKILL ~ Profession (Cook)	CATEGORY:Internal	CSKILL:Profession (Cook)
Make CSKILL ~ Profession (Driver)	CATEGORY:Internal	CSKILL:Profession (Driver)
Make CSKILL ~ Profession (Farmer)	CATEGORY:Internal	CSKILL:Profession (Farmer)
Make CSKILL ~ Profession (Fisher)	CATEGORY:Internal	CSKILL:Profession (Fisher)
Make CSKILL ~ Profession (Guide)	CATEGORY:Internal	CSKILL:Profession (Guide)
Make CSKILL ~ Profession (Herbalist)	CATEGORY:Internal	CSKILL:Profession (Herbalist)
Make CSKILL ~ Profession (Herdsman)	CATEGORY:Internal	CSKILL:Profession (Herdsman)
Make CSKILL ~ Profession (Innkeeper)	CATEGORY:Internal	CSKILL:Profession (Innkeeper)
Make CSKILL ~ Profession (Lumberjack)	CATEGORY:Internal	CSKILL:Profession (Lumberjack)
Make CSKILL ~ Profession (Miller)	CATEGORY:Internal	CSKILL:Profession (Miller)
Make CSKILL ~ Profession (Porter)	CATEGORY:Internal	CSKILL:Profession (Porter)
Make CSKILL ~ Profession (Rancher)	CATEGORY:Internal	CSKILL:Profession (Rancher)
Make CSKILL ~ Profession (Sailor)	CATEGORY:Internal	CSKILL:Profession (Sailor)
Make CSKILL ~ Profession (Scribe)	CATEGORY:Internal	CSKILL:Profession (Scribe)
Make CSKILL ~ Profession (Stablehand)	CATEGORY:Internal	CSKILL:Profession (Stablehand)
Make CSKILL ~ Profession (Tanner)	CATEGORY:Internal	CSKILL:Profession (Tanner)
Make CSKILL ~ Profession (Teamster)	CATEGORY:Internal	CSKILL:Profession (Teamster)
Make CSKILL ~ Profession (Woodcutter)	CATEGORY:Internal	CSKILL:Profession (Woodcutter)
Make CSKILL ~ Read Lips	CATEGORY:Internal	CSKILL:Read Lips
Make CSKILL ~ Scry	CATEGORY:Internal	CSKILL:Scry
Make CSKILL ~ Wilderness Lore	CATEGORY:Internal	CSKILL:Ride

Make CSKILL ~ Knowledge (Undead)	CATEGORY:Internal	CSKILL:Knowledge (Undead)
Make CSKILL ~ Knowledge (Underdark)	CATEGORY:Internal	CSKILL:Knowledge (Underdark)
Make CSKILL ~ Literacy	CATEGORY:Internal	CSKILL:Literacy


#Survival	CATEGORY:Internal	CSKILL:Survival



#.MOD					TYPE:AdeptChoice.NormalSkill	CATEGORY:Internal	CSKILL:x1	|PREABILITY:6,CATEGORY=Skill Buy,Adept Skill Buy(x1),Full Skill Buy(x1)



###Block: MM skills
# Skill Name			Key Stat	Untrained?		Exclusive?		Type					Source Page
Make CSKILL ~ Control Shape	CATEGORY:Internal	CSKILL:Control Shape
Make CSKILL ~ Craft (Metalworking)	CATEGORY:Internal	CSKILL:Craft (Metalworking)
Make CSKILL ~ Knowledge (Geology)	CATEGORY:Internal	CSKILL:Knowledge (Geology)
Make CSKILL ~ Knowledge (Minerals)	CATEGORY:Internal	CSKILL:Knowledge (Minerals)
Make CSKILL ~ Knowledge (Plane of Air)	CATEGORY:Internal	CSKILL:Knowledge (Plane of Air)
Make CSKILL ~ Knowledge (Plane of Water)	CATEGORY:Internal	CSKILL:Knowledge (Plane of Water)
Make CSKILL ~ Profession (Hunt)	CATEGORY:Internal	CSKILL:Profession (Hunt)
