# CVS $Revision: 21789 $ $Author: amaitland $ -- Thu Feb 22 13:04:59 2007 -- reformated by prettylst.pl v1.36 (build 2045)
#SOURCELONG:Pathfinder Society Chronicle Sheets	SOURCESHORT:PFSCS	SOURCEWEB:http://www.mywebsite.com	SOURCEDATE:2008-01

ABILITYCATEGORY:Ocher Rhomboid Feat		VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:FEAT		TYPE:Combat								PLURAL:Ocher Rhomboid Feats		DISPLAYLOCATION:Feats

# This ability pool hold the list of chronicle sheets
ABILITYCATEGORY:PFS Chronicle		VISIBLE:NO		EDITABLE:YES	EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:PFS Chronicle
ABILITYCATEGORY:Chronicle_S00-11	DISPLAYNAME:PFS Scenario #11: The Third Riddle											CATEGORY:Special Ability	EDITABLE:YES	TYPE:Chronicle_S00-11	DISPLAYLOCATION:Background	VISIBLE:QUALIFY	
ABILITYCATEGORY:Chronicle_S00-12	DISPLAYNAME:PFS Scenario #12: Stay of Execution											CATEGORY:Special Ability	EDITABLE:YES	TYPE:Chronicle_S00-12	DISPLAYLOCATION:Background	VISIBLE:QUALIFY	
ABILITYCATEGORY:Chronicle_S00-13	DISPLAYNAME:PFS Scenario #13: The Prince of Augustana										CATEGORY:Special Ability	EDITABLE:YES	TYPE:Chronicle_S00-13	DISPLAYLOCATION:Background	VISIBLE:QUALIFY	
ABILITYCATEGORY:Chronicle_S00-14	DISPLAYNAME:PFS Scenario #14: The Many Fortunes of Grandmaster Torch							CATEGORY:Special Ability	EDITABLE:YES	TYPE:Chronicle_S00-14	DISPLAYLOCATION:Background	VISIBLE:QUALIFY	
ABILITYCATEGORY:Chronicle_S00-15	DISPLAYNAME:PFS Scenario #15: The Asmodeus Mirage										CATEGORY:Special Ability	EDITABLE:YES	TYPE:Chronicle_S00-15	DISPLAYLOCATION:Background	VISIBLE:QUALIFY	
ABILITYCATEGORY:Chronicle_S00-16	DISPLAYNAME:PFS Scenario #16: To Scale the Dragon										CATEGORY:Special Ability	EDITABLE:YES	TYPE:Chronicle_S00-16	DISPLAYLOCATION:Background	VISIBLE:QUALIFY	
ABILITYCATEGORY:Chronicle_S00-17	DISPLAYNAME:PFS Scenario #17: Perils of the Pirate Pact									CATEGORY:Special Ability	EDITABLE:YES	TYPE:Chronicle_S00-17	DISPLAYLOCATION:Background	VISIBLE:QUALIFY	
ABILITYCATEGORY:Chronicle_S00-18	DISPLAYNAME:PFS Scenario #18: The Trouble with Secrets									CATEGORY:Special Ability	EDITABLE:YES	TYPE:Chronicle_S00-18	DISPLAYLOCATION:Background	VISIBLE:QUALIFY	
ABILITYCATEGORY:Chronicle_S00-19	DISPLAYNAME:PFS Scenario #19: Skeleton Moon											CATEGORY:Special Ability	EDITABLE:YES	TYPE:Chronicle_S00-19	DISPLAYLOCATION:Background	VISIBLE:QUALIFY	
ABILITYCATEGORY:Chronicle_S00-20	DISPLAYNAME:PFS Scenario #20: King Xeros of Old Azlant									CATEGORY:Special Ability	EDITABLE:YES	TYPE:Chronicle_S00-20	DISPLAYLOCATION:Background	VISIBLE:QUALIFY	
ABILITYCATEGORY:Chronicle_S00-21	DISPLAYNAME:PFS Scenario #21: The Eternal Obelisk										CATEGORY:Special Ability	EDITABLE:YES	TYPE:Chronicle_S00-21	DISPLAYLOCATION:Background	VISIBLE:QUALIFY	
ABILITYCATEGORY:Chronicle_S00-22	DISPLAYNAME:PFS Scenario #22: Fingerprints of the Fiend									CATEGORY:Special Ability	EDITABLE:YES	TYPE:Chronicle_S00-22	DISPLAYLOCATION:Background	VISIBLE:QUALIFY	
ABILITYCATEGORY:Chronicle_S00-23	DISPLAYNAME:PFS Scenario #23: Tide of Morning											CATEGORY:Special Ability	EDITABLE:YES	TYPE:Chronicle_S00-23	DISPLAYLOCATION:Background	VISIBLE:QUALIFY	
ABILITYCATEGORY:Chronicle_S00-24	DISPLAYNAME:PFS Scenario #24: Decline of Glory											CATEGORY:Special Ability	EDITABLE:YES	TYPE:Chronicle_S00-24	DISPLAYLOCATION:Background	VISIBLE:QUALIFY	
ABILITYCATEGORY:Chronicle_S00-25	DISPLAYNAME:PFS Scenario #25: Hands of the Muted God										CATEGORY:Special Ability	EDITABLE:YES	TYPE:Chronicle_S00-25	DISPLAYLOCATION:Background	VISIBLE:QUALIFY	
ABILITYCATEGORY:Chronicle_S00-26	DISPLAYNAME:PFS Scenario #26: Lost at Bitter End										CATEGORY:Special Ability	EDITABLE:YES	TYPE:Chronicle_S00-26	DISPLAYLOCATION:Background	VISIBLE:QUALIFY	
ABILITYCATEGORY:Chronicle_S00-27	DISPLAYNAME:PFS Scenario #27: Our Lady of Silver										CATEGORY:Special Ability	EDITABLE:YES	TYPE:Chronicle_S00-27	DISPLAYLOCATION:Background	VISIBLE:QUALIFY	
ABILITYCATEGORY:Chronicle_S00-28	DISPLAYNAME:PFS Scenario #28: Lyrics of Extinction										CATEGORY:Special Ability	EDITABLE:YES	TYPE:Chronicle_S00-28	DISPLAYLOCATION:Background	VISIBLE:QUALIFY	

ABILITYCATEGORY:Chronicle_S01-29	DISPLAYNAME:PFS Scenario #29: The Devil We Know, Part I: Shipyard Rats							CATEGORY:Special Ability	EDITABLE:YES	TYPE:Chronicle_S01-29	DISPLAYLOCATION:Background	VISIBLE:QUALIFY	
ABILITYCATEGORY:Chronicle_S01-30	DISPLAYNAME:PFS Scenario #30: The Devil We Know, Part II: Cassomir's Locker						CATEGORY:Special Ability	EDITABLE:YES	TYPE:Chronicle_S01-30	DISPLAYLOCATION:Background	VISIBLE:QUALIFY
ABILITYCATEGORY:Chronicle_S01-31	DISPLAYNAME:PFS Scenario #31: Sniper in the Deep										CATEGORY:Special Ability	EDITABLE:YES	TYPE:Chronicle_S01-31	DISPLAYLOCATION:Background	VISIBLE:QUALIFY	
ABILITYCATEGORY:Chronicle_S01-32	DISPLAYNAME:PFS Scenario #32: Drow of the Darklands Pyramid									CATEGORY:Special Ability	EDITABLE:YES	TYPE:Chronicle_S01-32	DISPLAYLOCATION:Background	VISIBLE:QUALIFY	
ABILITYCATEGORY:Chronicle_S01-33	DISPLAYNAME:PFS Scenario #33: Assault on the Kingdom of the Impossible							CATEGORY:Special Ability	EDITABLE:YES	TYPE:Chronicle_S01-33	DISPLAYLOCATION:Background	VISIBLE:QUALIFY	
ABILITYCATEGORY:Chronicle_S01-34	DISPLAYNAME:PFS Scenario #34: Encounter at the Drowning Stones								CATEGORY:Special Ability	EDITABLE:YES	TYPE:Chronicle_S01-34	DISPLAYLOCATION:Background	VISIBLE:QUALIFY	
ABILITYCATEGORY:Chronicle_S01-35	DISPLAYNAME:PFS Scenario #35: Voice in the Void											CATEGORY:Special Ability	EDITABLE:YES	TYPE:Chronicle_S01-35	DISPLAYLOCATION:Background	VISIBLE:QUALIFY	
ABILITYCATEGORY:Chronicle_S01-36	DISPLAYNAME:PFS Scenario #36: Echoes of the Everwar, Part I: The Prisoner of Skull					CATEGORY:Special Ability	EDITABLE:YES	TYPE:Chronicle_S01-36	DISPLAYLOCATION:Background	VISIBLE:QUALIFY	
ABILITYCATEGORY:Chronicle_S01-37	DISPLAYNAME:PFS Scenario #37: The Beggar's Pearl										CATEGORY:Special Ability	EDITABLE:YES	TYPE:Chronicle_S01-37	DISPLAYLOCATION:Background	VISIBLE:QUALIFY	
ABILITYCATEGORY:Chronicle_S01-38	DISPLAYNAME:PFS Scenario #38: No Plunder, No Pay										CATEGORY:Special Ability	EDITABLE:YES	TYPE:Chronicle_S01-38	DISPLAYLOCATION:Background	VISIBLE:QUALIFY	
ABILITYCATEGORY:Chronicle_S01-39	DISPLAYNAME:PFS Scenario #39: The Citadel of Flame										CATEGORY:Special Ability	EDITABLE:YES	TYPE:Chronicle_S01-39	DISPLAYLOCATION:Background	VISIBLE:QUALIFY	
ABILITYCATEGORY:Chronicle_S01-40	DISPLAYNAME:PFS Scenario #40: Hall of Drunken Heroes										CATEGORY:Special Ability	EDITABLE:YES	TYPE:Chronicle_S01-40	DISPLAYLOCATION:Background	VISIBLE:QUALIFY	
ABILITYCATEGORY:Chronicle_S01-41	DISPLAYNAME:PFS Scenario #41: The Devil We Know, Part III: Crypt of Fools						CATEGORY:Special Ability	EDITABLE:YES	TYPE:Chronicle_S01-41	DISPLAYLOCATION:Background	VISIBLE:QUALIFY	
ABILITYCATEGORY:Chronicle_S01-42	DISPLAYNAME:PFS Scenario #42: Echoes of the Everwar, Part II: The Watcher of Ages					CATEGORY:Special Ability	EDITABLE:YES	TYPE:Chronicle_S01-42	DISPLAYLOCATION:Background	VISIBLE:QUALIFY	
ABILITYCATEGORY:Chronicle_S01-43	DISPLAYNAME:PFS Scenario #43: The Pallid Plague											CATEGORY:Special Ability	EDITABLE:YES	TYPE:Chronicle_S01-43	DISPLAYLOCATION:Background	VISIBLE:QUALIFY	
ABILITYCATEGORY:Chronicle_S01-44	DISPLAYNAME:PFS Scenario #44: Echoes of the Everwar, Part III: Terror at Whistledown				CATEGORY:Special Ability	EDITABLE:YES	TYPE:Chronicle_S01-44	DISPLAYLOCATION:Background	VISIBLE:QUALIFY	
ABILITYCATEGORY:Chronicle_S01-45	DISPLAYNAME:PFS Scenario #45: Delirium's Tangle											CATEGORY:Special Ability	EDITABLE:YES	TYPE:Chronicle_S01-45	DISPLAYLOCATION:Background	VISIBLE:QUALIFY	
ABILITYCATEGORY:Chronicle_S01-46	DISPLAYNAME:PFS Scenario #46: Eyes of the Ten, Part I: Requiem for the Red Raven					CATEGORY:Special Ability	EDITABLE:YES	TYPE:Chronicle_S01-46	DISPLAYLOCATION:Background	VISIBLE:QUALIFY	
ABILITYCATEGORY:Chronicle_S01-47	DISPLAYNAME:PFS Scenario #47: The Darkest Vengeance										CATEGORY:Special Ability	EDITABLE:YES	TYPE:Chronicle_S01-47	DISPLAYLOCATION:Background	VISIBLE:QUALIFY	
ABILITYCATEGORY:Chronicle_S01-48	DISPLAYNAME:PFS Scenario #48: The Devil We Know, Part IV: Rules of the Swift						CATEGORY:Special Ability	EDITABLE:YES	TYPE:Chronicle_S01-48	DISPLAYLOCATION:Background	VISIBLE:QUALIFY	
ABILITYCATEGORY:Chronicle_S01-49	DISPLAYNAME:PFS Scenario #49: Among the Dead											CATEGORY:Special Ability	EDITABLE:YES	TYPE:Chronicle_S01-49	DISPLAYLOCATION:Background	VISIBLE:QUALIFY	
ABILITYCATEGORY:Chronicle_S01-50	DISPLAYNAME:PFS Scenario #50: Fortune's Blight											CATEGORY:Special Ability	EDITABLE:YES	TYPE:Chronicle_S01-50	DISPLAYLOCATION:Background	VISIBLE:QUALIFY	
ABILITYCATEGORY:Chronicle_S01-51	DISPLAYNAME:PFS Scenario #51: The City of Strangers, Part I: The Shadow Gambit					CATEGORY:Special Ability	EDITABLE:YES	TYPE:Chronicle_S01-51	DISPLAYLOCATION:Background	VISIBLE:QUALIFY	
ABILITYCATEGORY:Chronicle_S01-52	DISPLAYNAME:PFS Scenario #52: The City of Strangers, Part II: The Twofold Demise					CATEGORY:Special Ability	EDITABLE:YES	TYPE:Chronicle_S01-52	DISPLAYLOCATION:Background	VISIBLE:QUALIFY	
ABILITYCATEGORY:Chronicle_S01-53	DISPLAYNAME:PFS Scenario #53: Echoes of the Everwar, Part IV: The Faithless Dead					CATEGORY:Special Ability	EDITABLE:YES	TYPE:Chronicle_S01-53	DISPLAYLOCATION:Background	VISIBLE:QUALIFY	
ABILITYCATEGORY:Chronicle_S01-54	DISPLAYNAME:PFS Scenario #54: Eyes of the Ten, Part II: The Maze of the Open Road					CATEGORY:Special Ability	EDITABLE:YES	TYPE:Chronicle_S01-54	DISPLAYLOCATION:Background	VISIBLE:QUALIFY	
ABILITYCATEGORY:Chronicle_S01-55	DISPLAYNAME:PFS Scenario #55: The Infernal Vault										CATEGORY:Special Ability	EDITABLE:YES	TYPE:Chronicle_S01-55	DISPLAYLOCATION:Background	VISIBLE:QUALIFY	
ABILITYCATEGORY:Chronicle_S01-56	DISPLAYNAME:PFS Scenario #56: The Jester's Fraud										CATEGORY:Special Ability	EDITABLE:YES	TYPE:Chronicle_S01-56	DISPLAYLOCATION:Background	VISIBLE:QUALIFY	

ABILITYCATEGORY:Chronicle_S02-01	DISPLAYNAME:PFS Scenario #2-01: Before the Dawn, Part I: The Bloodcove Disguise					CATEGORY:Special Ability	EDITABLE:YES	TYPE:Chronicle_S02-01	DISPLAYLOCATION:Background	VISIBLE:QUALIFY	
ABILITYCATEGORY:Chronicle_S02-02	DISPLAYNAME:PFS Scenario #2-02: Before the Dawn, Part II: Rescue at Azlant Ridge					CATEGORY:Special Ability	EDITABLE:YES	TYPE:Chronicle_S02-02	DISPLAYLOCATION:Background	VISIBLE:QUALIFY
ABILITYCATEGORY:Chronicle_S02-03	DISPLAYNAME:PFS Scenario #2-03: The Rebel's Ransom										CATEGORY:Special Ability	EDITABLE:YES	TYPE:Chronicle_S02-03	DISPLAYLOCATION:Background	VISIBLE:QUALIFY	
ABILITYCATEGORY:Chronicle_S02-04	DISPLAYNAME:PFS Scenario #2-04: Shadows Fall on Absalom									CATEGORY:Special Ability	EDITABLE:YES	TYPE:Chronicle_S02-04	DISPLAYLOCATION:Background	VISIBLE:QUALIFY	
ABILITYCATEGORY:Chronicle_S02-05	DISPLAYNAME:PFS Scenario #2-05: Eyes of the Ten, Part III: Red Revolution						CATEGORY:Special Ability	EDITABLE:YES	TYPE:Chronicle_S02-05	DISPLAYLOCATION:Background	VISIBLE:QUALIFY	
ABILITYCATEGORY:Chronicle_S02-06	DISPLAYNAME:PFS Scenario #2-06: The Heresy of Man, Part I: The First Heresy						CATEGORY:Special Ability	EDITABLE:YES	TYPE:Chronicle_S02-06	DISPLAYLOCATION:Background	VISIBLE:QUALIFY	
ABILITYCATEGORY:Chronicle_S02-07	DISPLAYNAME:PFS Scenario #2-07: The Heresy of Man, Part II: Where Dark Things Sleep					CATEGORY:Special Ability	EDITABLE:YES	TYPE:Chronicle_S02-07	DISPLAYLOCATION:Background	VISIBLE:QUALIFY	
ABILITYCATEGORY:Chronicle_S02-08	DISPLAYNAME:PFS Scenario #2-08: The Sarkorian Prophecy									CATEGORY:Special Ability	EDITABLE:YES	TYPE:Chronicle_S02-08	DISPLAYLOCATION:Background	VISIBLE:QUALIFY	
ABILITYCATEGORY:Chronicle_S02-09	DISPLAYNAME:PFS Scenario #2-09: The Heresy of Man, Part III: Beneath Forgotten Sands				CATEGORY:Special Ability	EDITABLE:YES	TYPE:Chronicle_S02-09	DISPLAYLOCATION:Background	VISIBLE:QUALIFY	
ABILITYCATEGORY:Chronicle_S02-10	DISPLAYNAME:PFS Scenario #2-10: Fury of the Fiend										CATEGORY:Special Ability	EDITABLE:YES	TYPE:Chronicle_S02-10	DISPLAYLOCATION:Background	VISIBLE:QUALIFY	
ABILITYCATEGORY:Chronicle_S02-11	DISPLAYNAME:PFS Scenario #2-11: The Penumbral Accords										CATEGORY:Special Ability	EDITABLE:YES	TYPE:Chronicle_S02-11	DISPLAYLOCATION:Background	VISIBLE:QUALIFY	
ABILITYCATEGORY:Chronicle_S02-12	DISPLAYNAME:PFS Scenario #2-12: Below the Silver Tarn										CATEGORY:Special Ability	EDITABLE:YES	TYPE:Chronicle_S02-12	DISPLAYLOCATION:Background	VISIBLE:QUALIFY	
ABILITYCATEGORY:Chronicle_S02-13	DISPLAYNAME:PFS Scenario #2-13: Murder on the Throaty Mermaid								CATEGORY:Special Ability	EDITABLE:YES	TYPE:Chronicle_S02-13	DISPLAYLOCATION:Background	VISIBLE:QUALIFY	
ABILITYCATEGORY:Chronicle_S02-14	DISPLAYNAME:PFS Scenario #2-14: The Chasm of Screams										CATEGORY:Special Ability	EDITABLE:YES	TYPE:Chronicle_S02-14	DISPLAYLOCATION:Background	VISIBLE:QUALIFY	
ABILITYCATEGORY:Chronicle_S02-15	DISPLAYNAME:PFS Scenario #2-15: Shades of Ice, Part I: Written in Blood							CATEGORY:Special Ability	EDITABLE:YES	TYPE:Chronicle_S02-15	DISPLAYLOCATION:Background	VISIBLE:QUALIFY	
ABILITYCATEGORY:Chronicle_S02-16	DISPLAYNAME:PFS Scenario #2-16: The Flesh Collector										CATEGORY:Special Ability	EDITABLE:YES	TYPE:Chronicle_S02-16	DISPLAYLOCATION:Background	VISIBLE:QUALIFY	
ABILITYCATEGORY:Chronicle_S02-17	DISPLAYNAME:PFS Scenario #2-17: Shades of Ice, Part II: Exiles of Winter						CATEGORY:Special Ability	EDITABLE:YES	TYPE:Chronicle_S02-17	DISPLAYLOCATION:Background	VISIBLE:QUALIFY	
ABILITYCATEGORY:Chronicle_S02-18	DISPLAYNAME:PFS Scenario #2-18: The Forbidden Furnace of Forgotten Koor							CATEGORY:Special Ability	EDITABLE:YES	TYPE:Chronicle_S02-18	DISPLAYLOCATION:Background	VISIBLE:QUALIFY	
ABILITYCATEGORY:Chronicle_S02-19	DISPLAYNAME:PFS Scenario #2-19: Shades of Ice, Part III: Keep of the Huskarl King					CATEGORY:Special Ability	EDITABLE:YES	TYPE:Chronicle_S02-19	DISPLAYLOCATION:Background	VISIBLE:QUALIFY	
ABILITYCATEGORY:Chronicle_S02-20	DISPLAYNAME:PFS Scenario #2-20: Wrath of the Accursed										CATEGORY:Special Ability	EDITABLE:YES	TYPE:Chronicle_S02-20	DISPLAYLOCATION:Background	VISIBLE:QUALIFY	
ABILITYCATEGORY:Chronicle_S02-21	DISPLAYNAME:PFS Scenario #2-21: The Dalsine Affair										CATEGORY:Special Ability	EDITABLE:YES	TYPE:Chronicle_S02-21	DISPLAYLOCATION:Background	VISIBLE:QUALIFY	
ABILITYCATEGORY:Chronicle_S02-22	DISPLAYNAME:PFS Scenario #2-22: Eyes of the Ten, Part IV: Nothing Ventured, Nothing Gained			CATEGORY:Special Ability	EDITABLE:YES	TYPE:Chronicle_S02-22	DISPLAYLOCATION:Background	VISIBLE:QUALIFY	
ABILITYCATEGORY:Chronicle_S02-23	DISPLAYNAME:PFS Scenario #2-23: Shadow's Last Stand, Part I: At Shadow's Door						CATEGORY:Special Ability	EDITABLE:YES	TYPE:Chronicle_S02-23	DISPLAYLOCATION:Background	VISIBLE:QUALIFY	
ABILITYCATEGORY:Chronicle_S02-24	DISPLAYNAME:PFS Scenario #2-24: Shadow's Last Stand, Part II: Web of Corruption					CATEGORY:Special Ability	EDITABLE:YES	TYPE:Chronicle_S02-24	DISPLAYLOCATION:Background	VISIBLE:QUALIFY	
ABILITYCATEGORY:Chronicle_S02-25	DISPLAYNAME:PFS Scenario #2-25: You Only Die Twice										CATEGORY:Special Ability	EDITABLE:YES	TYPE:Chronicle_S02-25	DISPLAYLOCATION:Background	VISIBLE:QUALIFY	
ABILITYCATEGORY:Chronicle_S02-26	DISPLAYNAME:PFS Scenario #2-26: The Mantis's Prey										CATEGORY:Special Ability	EDITABLE:YES	TYPE:Chronicle_S02-26	DISPLAYLOCATION:Background	VISIBLE:QUALIFY	
ABILITYCATEGORY:Chronicle_S02-EX	DISPLAYNAME:PFS Scenario #2-EX: The Midnight Mauler										CATEGORY:Special Ability	EDITABLE:YES	TYPE:Chronicle_S02-EX	DISPLAYLOCATION:Background	VISIBLE:QUALIFY	
ABILITYCATEGORY:Chronicle_S02-SP	DISPLAYNAME:PFS Scenario #2-SP: Year of the Shadow Lodge									CATEGORY:Special Ability	EDITABLE:YES	TYPE:Chronicle_S02-SP	DISPLAYLOCATION:Background	VISIBLE:QUALIFY	

ABILITYCATEGORY:Chronicle_S03-01	DISPLAYNAME:PFS Scenario #3-01: The Frostfur Captives										CATEGORY:Special Ability	EDITABLE:YES	TYPE:Chronicle_S03-01	DISPLAYLOCATION:Background	VISIBLE:QUALIFY	
ABILITYCATEGORY:Chronicle_S03-02	DISPLAYNAME:PFS Scenario #3-02: Sewer Dragons of Absalom									CATEGORY:Special Ability	EDITABLE:YES	TYPE:Chronicle_S03-02	DISPLAYLOCATION:Background	VISIBLE:QUALIFY
ABILITYCATEGORY:Chronicle_S03-03	DISPLAYNAME:PFS Scenario #3-03: The Ghenett Manor Gauntlet									CATEGORY:Special Ability	EDITABLE:YES	TYPE:Chronicle_S03-03	DISPLAYLOCATION:Background	VISIBLE:QUALIFY	
ABILITYCATEGORY:Chronicle_S03-04	DISPLAYNAME:PFS Scenario #3-04: The Kortos Envoy										CATEGORY:Special Ability	EDITABLE:YES	TYPE:Chronicle_S03-04	DISPLAYLOCATION:Background	VISIBLE:QUALIFY	
ABILITYCATEGORY:Chronicle_S03-05	DISPLAYNAME:PFS Scenario #3-05: Tide of Twilight										CATEGORY:Special Ability	EDITABLE:YES	TYPE:Chronicle_S03-05	DISPLAYLOCATION:Background	VISIBLE:QUALIFY	
ABILITYCATEGORY:Chronicle_S03-06	DISPLAYNAME:PFS Scenario #3-06: Song of the Sea Witch										CATEGORY:Special Ability	EDITABLE:YES	TYPE:Chronicle_S03-06	DISPLAYLOCATION:Background	VISIBLE:QUALIFY	
ABILITYCATEGORY:Chronicle_S03-07	DISPLAYNAME:PFS Scenario #3-07: Echoes of the Overwatched									CATEGORY:Special Ability	EDITABLE:YES	TYPE:Chronicle_S03-07	DISPLAYLOCATION:Background	VISIBLE:QUALIFY	
ABILITYCATEGORY:Chronicle_S03-08	DISPLAYNAME:PFS Scenario #3-08: Among the Gods											CATEGORY:Special Ability	EDITABLE:YES	TYPE:Chronicle_S03-08	DISPLAYLOCATION:Background	VISIBLE:QUALIFY	
ABILITYCATEGORY:Chronicle_S03-09	DISPLAYNAME:PFS Scenario #3-09: The Quest for Perfection, Part I: The Edge of Heaven				CATEGORY:Special Ability	EDITABLE:YES	TYPE:Chronicle_S03-09	DISPLAYLOCATION:Background	VISIBLE:QUALIFY	
ABILITYCATEGORY:Chronicle_S03-10	DISPLAYNAME:PFS Scenario #3-10: The Immortal Conundrum									CATEGORY:Special Ability	EDITABLE:YES	TYPE:Chronicle_S03-10	DISPLAYLOCATION:Background	VISIBLE:QUALIFY	
ABILITYCATEGORY:Chronicle_S03-11	DISPLAYNAME:PFS Scenario #3-11: The Quest for Perfection, Part II: On Hostile Waters				CATEGORY:Special Ability	EDITABLE:YES	TYPE:Chronicle_S03-11	DISPLAYLOCATION:Background	VISIBLE:QUALIFY	
ABILITYCATEGORY:Chronicle_S03-12	DISPLAYNAME:PFS Scenario #3-12: Wonders in the Weave, Part I: The Dog Pharaoh's Tomb				CATEGORY:Special Ability	EDITABLE:YES	TYPE:Chronicle_S03-12	DISPLAYLOCATION:Background	VISIBLE:QUALIFY	
ABILITYCATEGORY:Chronicle_S03-13	DISPLAYNAME:PFS Scenario #3-13: The Quest for Perfection, Part III: Defenders of Nesting Swallow		CATEGORY:Special Ability	EDITABLE:YES	TYPE:Chronicle_S03-13	DISPLAYLOCATION:Background	VISIBLE:QUALIFY	
ABILITYCATEGORY:Chronicle_S03-14	DISPLAYNAME:PFS Scenario #3-14: Wonders in the Weave, Part II: Snakes in the Fold					CATEGORY:Special Ability	EDITABLE:YES	TYPE:Chronicle_S03-14	DISPLAYLOCATION:Background	VISIBLE:QUALIFY	
ABILITYCATEGORY:Chronicle_S03-15	DISPLAYNAME:PFS Scenario #3-15: The Haunting of Hinojai									CATEGORY:Special Ability	EDITABLE:YES	TYPE:Chronicle_S03-15	DISPLAYLOCATION:Background	VISIBLE:QUALIFY	
ABILITYCATEGORY:Chronicle_S03-16	DISPLAYNAME:PFS Scenario #3-16: The Midnight Mauler										CATEGORY:Special Ability	EDITABLE:YES	TYPE:Chronicle_S03-16	DISPLAYLOCATION:Background	VISIBLE:QUALIFY	
ABILITYCATEGORY:Chronicle_S03-17	DISPLAYNAME:PFS Scenario #3-17: Red Harvest											CATEGORY:Special Ability	EDITABLE:YES	TYPE:Chronicle_S03-17	DISPLAYLOCATION:Background	VISIBLE:QUALIFY	
