# CVS $Revision$ $Author$ -- Wed Aug 26 13:12:25 2009 -- reformated by prettylst.pl v1.39 (build 10232)
SOURCELONG:Gaslight - Players Guide	SOURCESHORT:Gaslight	SOURCEWEB:www.battlefieldpress.com	SOURCEDATE:2008-05
#Original Entry: Andrew Maitland

# Language				Type					Source Page
Iroquois			TYPE:Spoken.Iroquoian
Tuscarora			TYPE:Spoken.Iroquoian
#Muskogean:
Alabama			TYPE:Spoken.Muskogean
Chickasaw			TYPE:Spoken.Muskogean
Choctaw			TYPE:Spoken.Muskogean
Creek				TYPE:Spoken.Muskogean
Seminole			TYPE:Spoken.Muskogean
#Sahaptian:
Nez Perce			TYPE:Spoken.Sahaptian
Sahaptin (Yakima)		TYPE:Spoken.Sahaptian
Sahaptin (Umatilla)	TYPE:Spoken.Sahaptian
#Siouian:
Crow				TYPE:Spoken.Siouian
Dakota			TYPE:Spoken.Siouian
Ho-Chunk			TYPE:Spoken.Siouian
Iowa				TYPE:Spoken.Siouian
Lakota			TYPE:Spoken.Siouian
Mandan			TYPE:Spoken.Siouian
Nakota			TYPE:Spoken.Siouian
Osage				TYPE:Spoken.Siouian
#Uto-Aztecan:
Comanche			TYPE:Spoken.Uto-Aztecan
Kiowa				TYPE:Spoken.Uto-Aztecan
Shoshone			TYPE:Spoken.Uto-Aztecan
Ute				TYPE:Spoken.Uto-Aztecan


###Block: Written Section
#Caddoan:
# Language			Type
Caddo				TYPE:Written.Braile.Caddoan
Pawnee			TYPE:Written.Braile.Caddoan
Wichita			TYPE:Written.Braile.Caddoan
#Celestial:
Celestial			TYPE:Written.Braile.Celestial
Abysmal			TYPE:Written.Braile.Celestial
Infernal			TYPE:Written.Braile.Celestial
#Draconic:
Draconic			TYPE:Written.Braile.Draconic
Ignan				TYPE:Written.Braile.Draconic
#Druidic:
Auran				TYPE:Written.Braile.Druidic
Aquan				TYPE:Written.Braile.Druidic
Druidic			TYPE:Written.Braile.Druidic
Xorn				TYPE:Written.Braile.Druidic
#Iroquoian:
Cherokee			TYPE:Written.Braile.Iroquoian
Iroquois			TYPE:Written.Braile.Iroquoian
Tuscarora			TYPE:Written.Braile.Iroquoian
#Muskogean:
Alabama			TYPE:Written.Braile.Muskogean
Chickasaw			TYPE:Written.Braile.Muskogean
Choctaw			TYPE:Written.Braile.Muskogean
Creek				TYPE:Written.Braile.Muskogean
Seminole			TYPE:Written.Braile.Muskogean
#Sahaptian:
Nez Perce			TYPE:Written.Braile.Sahaptian
Sahaptin (Yakima)		TYPE:Written.Braile.Sahaptian
Sahaptin (Umatilla)	TYPE:Written.Braile.Sahaptian
#Siouian:
Crow				TYPE:Written.Braile.Siouian
Dakota			TYPE:Written.Braile.Siouian
Ho-Chunk			TYPE:Written.Braile.Siouian
Iowa				TYPE:Written.Braile.Siouian
Lakota			TYPE:Written.Braile.Siouian
Mandan			TYPE:Written.Braile.Siouian
Nakota			TYPE:Written.Braile.Siouian
Osage				TYPE:Written.Braile.Siouian
#Uto-Aztecan:
Comanche			TYPE:Written.Braile.Uto-Aztecan
Kiowa				TYPE:Written.Braile.Uto-Aztecan
Shoshone			TYPE:Written.Braile.Uto-Aztecan
Ute				TYPE:Written.Braile.Uto-Aztecan

#
# End
#

