# CVS $Revision$ $Author$ -- Wed Aug 26 16:19:26 2009 -- reformated by prettylst.pl v1.39 (build 10232)
SOURCELONG:Gaslight - Players Guide	SOURCESHORT:Gaslight	SOURCEWEB:www.battlefieldpress.com	SOURCEDATE:2008-05
#Original Entry: Andrew Maitland



###Block: Pulp Fantasy RPG Feats SOURCEPAGE MOD
# Feat Name				Source Page
Advanced Combat Martial Arts.MOD
Advanced Firearms Proficiency.MOD	TYPE:Soldier.Officer
Advanced Two-Weapon Fighting.MOD
Agile Riposte.MOD																			PRE:.CLEAR				PREFEAT:1,Dodge,Fancy Footwork										PRESTAT:1,DEX=13
Aircraft Operation.MOD																																																																							MULT:YES	CHOOSE:STRING|Heavy Aircraft|Autogyro|Airship
Alertness.MOD				TYPE:Relic_Hunter
Animal Affinity.MOD			TYPE:Acolyte
Archaic Weapons Proficiency.MOD	TYPE:Adventurer.Athlete.Circus_Performer.Soldier.Acolyte.Officer
Armor Proficiency (Heavy).MOD		TYPE:Soldier.Officer
Armor Proficiency (Light).MOD		TYPE:Daredevil.Soldier.Acolyte.Officer
Armor Proficiency (Medium).MOD	TYPE:Daredevil.Soldier.Acolyte.Officer
Athletic.MOD				TYPE:Circus_Performer.Daredevil
Attentive.MOD				TYPE:Antiques_Dealer.Fortuneteller.World_Traveller.PsychicInvestigator.Acolyte
Blind-Fight.MOD				TYPE:Officer
Brawl.MOD					TYPE:Adventurer.Athlete.Criminal.Investigative.Military.Rural.Daredevil.Soldier.Officer
Builder.MOD					TYPE:Craftsperson.Scholar
Cautious.MOD				TYPE:Daredevil.Acolyte.Scholar
Cleave.MOD					TYPE:Soldier.Officer
Combat Expertise.MOD			TYPE:Relic_Hunter.Acolyte.Scholar.Rogue
Combat Reflexes.MOD			TYPE:Soldier.Officer
Combat Throw.MOD				TYPE:Rogue
Confident.MOD				TYPE:World_Traveller
Creative.MOD				TYPE:Craftsperson
Dead Aim.MOD				TYPE:Hunter.Officer
Deceptive.MOD				TYPE:Escape_Artist.Fortuneteller.Stage_Magician
Dodge.MOD					TYPE:Daredevil.Relic_Hunter.Acolyte
Double Tap.MOD				TYPE:Officer.Rogue
Educated.MOD				TYPE:Bureaucrat.World_Traveller.Relic_Hunter.Acolyte.Scholar.Educated
Elusive Target.MOD			TYPE:Rogue
Exotic Firearms Proficiency.MOD	TYPE:Soldier.Officer
Exotic Melee Weapon Proficiency.MOD	TYPE:Soldier.Officer
Far Shot.MOD				TYPE:Hunter.Soldier.Officer
Frightful Presence.MOD			TYPE:Acolyte
Gearhead.MOD				TYPE:Craftsperson.Scholar
Great Cleave.MOD				TYPE:Soldier.Officer
Guide.MOD					TYPE:Hunter.World_Traveller.Relic_Hunter
Heroic Surge.MOD				TYPE:Scholar
Improved Brawl.MOD			TYPE:Law_Enforcement.Military.Daredevil.Soldier.Officer
Improved Damage Threshold.MOD		TYPE:Daredevil
Improved Disarm.MOD			TYPE:Scholar.Rogue
Improved Initiative.MOD			TYPE:Acolyte.Scholar
Improved Knockout Punch.MOD		TYPE:Daredevil.Soldier.Officer
Improved Trip.MOD				TYPE:Scholar
Knockout Punch.MOD			TYPE:Daredevil.Soldier.Officer
Lightning Reflexes.MOD			TYPE:Scholar
Medical Expert.MOD			TYPE:Acolyte
Meticulous.MOD				TYPE:Scholar
Mobility.MOD				TYPE:Daredevil.Relic_Hunter.Rogue										PRE:.CLEAR				PREFEAT:1,Dodge,Fancy Footwork										PRESTAT:1,DEX=13
Nimble.MOD					TYPE:Escape_Artist.Stage_Magician.Daredevil
Personal Firearms Proficiency.MOD	TYPE:Adventurer.Criminal.Investigative.Law_Enforcement.Military.Rural.Acolyte.Rogue
Point Blank Shot.MOD			TYPE:Hunter.Rogue
Power Attack.MOD				TYPE:Soldier.Officer
Quick Reload.MOD				TYPE:Officer
Renown.MOD					TYPE:Bureaucrat.Fortuneteller.Politician.World_Traveller.Relic_Hunter
Shot on the Run.MOD																		PRE:.CLEAR				PREFEAT:2,Point Blank Shot,Mobility	PREFEAT:1,Dodge,Fancy Footwork				PRESTAT:1,DEX=13
Spring Attack.MOD				TYPE:Daredevil													PRE:.CLEAR		PREATT:4	PREFEAT:1,Mobility	PREFEAT:1,Dodge,Fancy Footwork						PRESTAT:1,DEX=13
Stealthy.MOD				TYPE:Hunter.Relic_Hunter.Rogue																																																			DESC:.CLEAR		DESC:The character gets a +4 bonus on Stealth checks.											BONUS:SKILL|Stealth|4
Streetfighting.MOD			TYPE:Daredevil																																					SAB:Streetfighting damage bonus +1d4+%|StreetfightingDamageBonus	DEFINE:StreetfightingDamageBonus|0
Studious.MOD				TYPE:Antiques_Dealer.Acolyte.Scholar.PsychicInvestigator
Surface Vehicle Operation.MOD		TYPE:Daredevil
Toughness.MOD				TYPE:Daredevil.Outcast.Acolyte
Trustworthy.MOD				TYPE:Politician.World_Traveller.Acolyte
Weapon Finesse.MOD			TYPE:Rogue
Weapon Focus.MOD				TYPE:Scholar
Whirlwind Attack.MOD																		PRE:.CLEAR		PREATT:4	PREFEAT:3,Mobility,Spring Attack,Combat Expertise	PREFEAT:1,Dodge,Fancy Footwork	PRESTAT:2,DEX=13|INT=13
Windfall.MOD				TYPE:Politician.Relic_Hunter



###Block: Acolyte Bonus Feats
# Feat Name					Type
Animal Affinity.MOD			TYPE:Acolyte
Archaic Weapons Proficiency.MOD	TYPE:Acolyte
Armor Proficiency (light).MOD		TYPE:Acolyte
Armor Proficiency (medium).MOD	TYPE:Acolyte
Attentive.MOD				TYPE:Acolyte
Combat Expertise.MOD			TYPE:Acolyte
Cautious.MOD				TYPE:Acolyte
Defensive Martial Arts.MOD		TYPE:Acolyte
Dodge.MOD					TYPE:Acolyte
Educated.MOD				TYPE:Acolyte
Frightful Presence.MOD			TYPE:Acolyte
Improved Initiative.MOD			TYPE:Acolyte
Iron Will.MOD				TYPE:Acolyte
Medical Expert.MOD			TYPE:Acolyte
Personal Firearms Proficiency.MOD	TYPE:Acolyte
Studious.MOD				TYPE:Acolyte
Toughness.MOD				TYPE:Acolyte
Trustworthy.MOD				TYPE:Acolyte

###Block: Apprentive
#item creation feats, metamagic feats,
# Feat Name			Type


#Everyman Bonus Feats
Agile Riposte.MOD		TYPE:Everyman
Creative.MOD		TYPE:Everyman
Deceptive.MOD		TYPE:Everyman
Dodge.MOD			TYPE:Everyman
Frightful Presence.MOD	TYPE:Everyman
Improved Initiative.MOD	TYPE:Everyman
Iron Will.MOD		TYPE:Everyman
Lightning Reflexes.MOD	TYPE:Everyman
Low Profile.MOD		TYPE:Everyman
Point Blank Shot.MOD	TYPE:Everyman
Renown.MOD			TYPE:Everyman
Trustworthy.MOD		TYPE:Everyman
Windfall.MOD		TYPE:Everyman

###Block: Investigator
# Feat Name					Type
Armor Proficiency (light).MOD		TYPE:Investigator
Armor Proficiency (medium).MOD	TYPE:Investigator
Brawl.MOD					TYPE:Investigator
Defensive Martial Arts.MOD		TYPE:Investigator
Dodge.MOD					TYPE:Investigator
Double Tap.MOD				TYPE:Investigator
Educated.MOD				TYPE:Investigator
Improved Initiative.MOD			TYPE:Investigator
Knockout Punch.MOD			TYPE:Investigator
Personal Firearms Proficiency.MOD	TYPE:Investigator
Point Blank Shot.MOD			TYPE:Investigator

###Block: Officer
# Feat Name					Type			Bonus to Ability Pool
Armor Proficiency (light).MOD		TYPE:Officer
Armor Proficiency (medium).MOD	TYPE:Officer
Armor Proficiency (heavy).MOD		TYPE:Officer
Blaze of Glory.MOD			TYPE:Officer
Blind-Fight.MOD				TYPE:Officer
Brawl.MOD					TYPE:Officer
Cleave.MOD					TYPE:Officer
Combat Reflexes.MOD			TYPE:Officer
Dead Aim.MOD				TYPE:Officer
Double Tap.MOD				TYPE:Officer
Exotic Firearms Proficiency.MOD	TYPE:Officer
Exotic Melee Weapon Proficiency.MOD	TYPE:Officer
Far Shot.MOD				TYPE:Officer
Great Cleave.MOD				TYPE:Officer
Improved Brawl.MOD			TYPE:Officer
Improved Knockout Punch.MOD		TYPE:Officer
Knockout Punch.MOD			TYPE:Officer
Power Attack.MOD				TYPE:Officer
Quick Reload.MOD				TYPE:Officer
#
Officer Bonus Talent			TYPE:Officer	BONUS:ABILITYPOOL|Officer Talent|1


###Block: Rogue
# Feat Name					Type
Acrobatic.MOD				TYPE:Rogue
Combat Expertise.MOD			TYPE:Rogue
Combat Throw.MOD				TYPE:Rogue
Defensive Martial Arts.MOD		TYPE:Rogue
Double Tap.MOD				TYPE:Rogue
Elusive Target.MOD			TYPE:Rogue
Focused.MOD					TYPE:Rogue
Improved Disarm.MOD			TYPE:Rogue
Mobility.MOD				TYPE:Rogue
Personal Firearms Proficiency.MOD	TYPE:Rogue
Point Blank Shot.MOD			TYPE:Rogue
Stealthy.MOD				TYPE:Rogue
Weapon Finesse.MOD			TYPE:Rogue
#Feat: A rogue may gain a bonus feat in place of a special ability.


###Block: Scholar
# Feat Name			Type
Builder.MOD			TYPE:Scholar
Cautious.MOD		TYPE:Scholar
Combat Expertise.MOD	TYPE:Scholar
Educated.MOD		TYPE:Scholar
Gearhead.MOD		TYPE:Scholar
Heroic Surge.MOD		TYPE:Scholar
Improved Disarm.MOD	TYPE:Scholar
Improved Initiative.MOD	TYPE:Scholar
Improved Trip.MOD		TYPE:Scholar
Iron Will.MOD		TYPE:Scholar
Lightning Reflexes.MOD	TYPE:Scholar
Meticulous.MOD		TYPE:Scholar
Studious.MOD		TYPE:Scholar
Weapon Focus.MOD		TYPE:Scholar

###Block: Feat MOD for Creature Type Proficiency Bonus Feat Pools
# Feat Name					Type
Simple Weapons Proficiency.MOD	TYPE:AberrationProficiency.FeyProficiency.GiantProficiency.HumanoidProficiency.MonstrousHumanoidProficiency.OutsiderProficiency.UndeadProficiency
Archaic Weapons Proficiency.MOD	TYPE:AberrationProficiency.FeyProficiency.GiantProficiency.HumanoidProficiency.MonstrousHumanoidProficiency.OutsiderProficiency.UndeadProficiency
Armor Proficiency (Light).MOD		TYPE:HumanoidProficiency

###Block: Imported from Future to use in Arcana and elsewhere
# Feat Name			Type						Required Lvl	Description											Source Page
Jack of All Trades.MOD	TYPE:General.Explorer.SpaceMonkey	PRELEVEL:MIN=8	DESC:You've picked up a smattering of even the most obscure skills	SOURCEPAGE:FutureOccupationsSkillsFeats.rtf




