# CVS $Revision$ $Author$ -- Wed Feb 24 22:20:49 2010 -- reformated by prettylst.pl v1.39 (build 11455)
#SOURCELONG:Gaslight - Players Guide	SOURCESHORT:Gaslight	SOURCEWEB:www.battlefieldpress.com	SOURCEDATE:2008-05

###Block: Master Categories
# Ability Category			Visible	Editable or Static?	Change Pool?	Fractional values?	Category of Object
ABILITYCATEGORY:Talent			VISIBLE:NO	EDITABLE:NO			EDITPOOL:NO		FRACTIONALPOOL:NO		CATEGORY:Talent
ABILITYCATEGORY:Special Ability	VISIBLE:NO	EDITABLE:NO			EDITPOOL:NO		FRACTIONALPOOL:NO		CATEGORY:Special Ability
ABILITYCATEGORY:Starting Occupation	VISIBLE:NO	EDITABLE:NO			EDITPOOL:NO		FRACTIONALPOOL:NO		CATEGORY:Starting Occupation
ABILITYCATEGORY:Wealth			VISIBLE:NO	EDITABLE:NO			EDITPOOL:NO		FRACTIONALPOOL:NO		CATEGORY:Wealth

###Block: Background Abilities
# Ability Category		Visible		Editable or Static?	Change Pool?	Fractional values?	Category of Object		Type of Object	Plural description for UI	Display Location
ABILITYCATEGORY:Wildling Talent	VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Talent			TYPE:WildlingTalent.MultiRacial	PLURAL:Wildling Talents		DISPLAYLOCATION:Talents

###Block: Occupation Skills
# Ability Category							Visible		Editable or Static?	Change Pool?	Fractional values?	Category of Object		Type of Object				Plural description for UI				Display Location
ABILITYCATEGORY:Academic Occupation Skills			VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Starting Occupation	TYPE:Academic_Skills			PLURAL:Academic Occupation Skills			DISPLAYLOCATION:Background
ABILITYCATEGORY:Adventurer Occupation Skills			VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Starting Occupation	TYPE:Adventurer_Skills			PLURAL:Adventurer Occupation Skills			DISPLAYLOCATION:Background
ABILITYCATEGORY:Athlete Occupation Skills				VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Starting Occupation	TYPE:Athlete_Skills			PLURAL:Athlete Occupation Skills			DISPLAYLOCATION:Background
ABILITYCATEGORY:Artist Occupation Skills				VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Starting Occupation	TYPE:Artist_Skills			PLURAL:Artist Occupation Skills			DISPLAYLOCATION:Background
ABILITYCATEGORY:Bohemian Occupation Skills			VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Starting Occupation	TYPE:Bohemian_Skills			PLURAL:Bohemian Occupation Skills			DISPLAYLOCATION:Background
ABILITYCATEGORY:Bureaucrat Occupation Skills			VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Starting Occupation	TYPE:Bureaucrat_Skills			PLURAL:Bureaucrat Occupation Skills			DISPLAYLOCATION:Background
ABILITYCATEGORY:Circus Performer Occupation Skills		VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Starting Occupation	TYPE:Circus_Performer_Skills		PLURAL:Circus Performer Occupation Skills		DISPLAYLOCATION:Background
ABILITYCATEGORY:Craftsperson Occupation Skills			VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Starting Occupation	TYPE:Craftsperson_Skills		PLURAL:Craftsperson Occupation Skills		DISPLAYLOCATION:Background
ABILITYCATEGORY:Creative Occupation Skills			VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Starting Occupation	TYPE:Creative_Skills			PLURAL:Creative Occupation Skills			DISPLAYLOCATION:Background
ABILITYCATEGORY:Criminal Occupation Skills			VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Starting Occupation	TYPE:Criminal_Skills			PLURAL:Criminal Occupation Skills			DISPLAYLOCATION:Background
ABILITYCATEGORY:Dilettante Occupation Skills			VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Starting Occupation	TYPE:Dilettante_Skills			PLURAL:Dilettante Occupation Skills			DISPLAYLOCATION:Background
ABILITYCATEGORY:Doctor Occupation Skills				VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Starting Occupation	TYPE:Doctor_Skills			PLURAL:Doctor Occupation Skills			DISPLAYLOCATION:Background
ABILITYCATEGORY:Domestic Occupation Skills			VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Starting Occupation	TYPE:Domestic_Skills			PLURAL:Domestic Occupation Skills			DISPLAYLOCATION:Background
ABILITYCATEGORY:Drifter Occupation Skills				VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Starting Occupation	TYPE:Drifter_Skills			PLURAL:Drifter Occupation Skills			DISPLAYLOCATION:Background
ABILITYCATEGORY:Engineer Occupation Skills			VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Starting Occupation	TYPE:Engineer_Skills			PLURAL:Engineer Occupation Skills			DISPLAYLOCATION:Background
ABILITYCATEGORY:Escape Artist Occupation Skills			VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Starting Occupation	TYPE:Escape_Artist_Skills		PLURAL:Escape Artist Occupation Skills		DISPLAYLOCATION:Background
ABILITYCATEGORY:Fortuneteller Occupation Skills			VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Starting Occupation	TYPE:Fortuneteller_Skills		PLURAL:Fortuneteller Occupation Skills		DISPLAYLOCATION:Background
ABILITYCATEGORY:Gentry Occupation Skills				VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Starting Occupation	TYPE:Gentry_Skills			PLURAL:Gentry Occupation Skills			DISPLAYLOCATION:Background
ABILITYCATEGORY:Heir Occupation Skills				VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Starting Occupation	TYPE:Heir_Skills				PLURAL:Heir Occupation Skills				DISPLAYLOCATION:Background
ABILITYCATEGORY:Hunter Occupation Skills				VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Starting Occupation	TYPE:Hunter_Skills			PLURAL:Hunter Occupation Skills			DISPLAYLOCATION:Background
ABILITYCATEGORY:Investigative Occupation Skills			VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Starting Occupation	TYPE:Investigative_Skills		PLURAL:Investigative Occupation Skills		DISPLAYLOCATION:Background
ABILITYCATEGORY:Laborer Occupation Skills				VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Starting Occupation	TYPE:Laborer_Skills			PLURAL:Laborer Occupation Skills			DISPLAYLOCATION:Background
ABILITYCATEGORY:Law Enforcement Occupation Skills		VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Starting Occupation	TYPE:Law_Enforcement_Skills		PLURAL:Law Enforcement Occupation Skills		DISPLAYLOCATION:Background
ABILITYCATEGORY:Magus Assistant Occupation Skills		VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Starting Occupation	TYPE:Magus_Assistant_Skills		PLURAL:Magus Assistant Occupation Skills		DISPLAYLOCATION:Background
ABILITYCATEGORY:Military Occupation Skills			VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Starting Occupation	TYPE:Military_Skills			PLURAL:Military Occupation Skills			DISPLAYLOCATION:Background
ABILITYCATEGORY:Politician Occupation Skills			VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Starting Occupation	TYPE:Politician_Skills			PLURAL:Politician Occupation Skills			DISPLAYLOCATION:Background
ABILITYCATEGORY:Psychic Investigator Occupation Skills	VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Starting Occupation	TYPE:Psychic_Investigator_Skills	PLURAL:Psychic Investigator Occupation Skills	DISPLAYLOCATION:Background
ABILITYCATEGORY:Religious Occupation Skills			VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Starting Occupation	TYPE:Religious_Skills			PLURAL:Religious Occupation Skills			DISPLAYLOCATION:Background
ABILITYCATEGORY:Rural Occupation Skills				VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Starting Occupation	TYPE:Rural_Skills				PLURAL:Rural Occupation Skills			DISPLAYLOCATION:Background
ABILITYCATEGORY:Stage Magician Occupation Skills		VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Starting Occupation	TYPE:Stage_Magician_Skills		PLURAL:Stage Magician Occupation Skills		DISPLAYLOCATION:Background
ABILITYCATEGORY:Student Occupation Skills				VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Starting Occupation	TYPE:Student_Skills			PLURAL:Student Occupation Skills			DISPLAYLOCATION:Background
ABILITYCATEGORY:White Collar Occupation Skills			VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Starting Occupation	TYPE:White_Collar_Skills		PLURAL:White Collar Occupation Skills		DISPLAYLOCATION:Background
ABILITYCATEGORY:World Traveller Occupation Skills		VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Starting Occupation	TYPE:World_Traveller_Skills		PLURAL:World Traveller Occupation Skills		DISPLAYLOCATION:Background

###Block: Occupation Feats
# Ability Category				Visible		Editable or Static?	Change Pool?	Fractional values?	Category of Object	Type of Object			Plural description for UI		Display Location
ABILITYCATEGORY:Adventurer Feat		VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:FEAT		TYPE:Adventurer			PLURAL:Adventurer Feats			DISPLAYLOCATION:Feats
ABILITYCATEGORY:Athlete Feat			VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:FEAT		TYPE:Athlete			PLURAL:Athlete Feats			DISPLAYLOCATION:Feats
ABILITYCATEGORY:Bureaucrat Feat		VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:FEAT		TYPE:Bureaucrat			PLURAL:Bureaucrat Feats			DISPLAYLOCATION:Feats
ABILITYCATEGORY:Circus Performer Feat	VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:FEAT		TYPE:Circus_Performer		PLURAL:Circus Performer Feats		DISPLAYLOCATION:Feats
ABILITYCATEGORY:Craftsperson Feat		VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:FEAT		TYPE:Craftsperson			PLURAL:Craftsperson Feats		DISPLAYLOCATION:Feats
ABILITYCATEGORY:Criminal Feat			VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:FEAT		TYPE:Criminal			PLURAL:Criminal Feats			DISPLAYLOCATION:Feats
ABILITYCATEGORY:Escape Artist Feat		VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:FEAT		TYPE:Escape_Artist		PLURAL:Escape Artist Feats		DISPLAYLOCATION:Feats
ABILITYCATEGORY:Fortuneteller Feat		VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:FEAT		TYPE:Fortuneteller		PLURAL:Fortuneteller Feats		DISPLAYLOCATION:Feats
ABILITYCATEGORY:Hunter Feat			VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:FEAT		TYPE:Hunter				PLURAL:Hunter Feats			DISPLAYLOCATION:Feats
ABILITYCATEGORY:Investigative Feat		VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:FEAT		TYPE:Investigative		PLURAL:Investigative Feats		DISPLAYLOCATION:Feats
ABILITYCATEGORY:Law Enforcement Feat	VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:FEAT		TYPE:Law_Enforcement		PLURAL:Law Enforcement Feats		DISPLAYLOCATION:Feats
ABILITYCATEGORY:Military Feat			VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:FEAT		TYPE:Military			PLURAL:Military Feats			DISPLAYLOCATION:Feats
ABILITYCATEGORY:Politician Feat		VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:FEAT		TYPE:Politician			PLURAL:Politician Feats			DISPLAYLOCATION:Feats
ABILITYCATEGORY:Psychic Investigator Feat	VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:FEAT		TYPE:PsychicInvestigator	PLURAL:Psychic Investigator Feats	DISPLAYLOCATION:Feats
ABILITYCATEGORY:Rural Feat			VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:FEAT		TYPE:Rural				PLURAL:Rural Feats			DISPLAYLOCATION:Feats
ABILITYCATEGORY:Stage Magician Feat		VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:FEAT		TYPE:Stage_Magician		PLURAL:Stage Magician Feats		DISPLAYLOCATION:Feats
ABILITYCATEGORY:World Traveller Feat	VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:FEAT		TYPE:World_Traveller		PLURAL:World Traveller Feats		DISPLAYLOCATION:Feats

###Block: Heir's Wealth
# Ability Category		Visible		Editable or Static?	Change Pool?	Fractional values?	Category of Object	Type of Object	Plural description for UI	Display Location
ABILITYCATEGORY:Heir's Wealth	VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Wealth		TYPE:Heirs_Wealth	PLURAL:Heir's Wealth		DISPLAYLOCATION:Background

###Block: Everyman Class Skills
# Ability Category				Visible		Editable or Static?	Change Pool?	Fractional values?	Category of Object		Type of Object			Plural description for UI	Display Location
ABILITYCATEGORY:Everyman Class Skills	VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Special Ability	TYPE:EverymanClassSkills	PLURAL:Everyman Class Skills	DISPLAYLOCATION:Class Abilities

###Block: Class Bonus Feats
# Ability Category				Visible		Editable or Static?	Change Pool?	Fractional values?	Category of Object	Type of Object			Plural description for UI	Display Location
ABILITYCATEGORY:Acolyte Feat			VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:FEAT		TYPE:Acolyte			PLURAL:Acolyte Feats		DISPLAYLOCATION:Feats
ABILITYCATEGORY:Apprentice Feat		VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:FEAT		TYPE:Metamagic.ItemCreation	PLURAL:Apprentice Feats		DISPLAYLOCATION:Feats
ABILITYCATEGORY:Everyman Feat			VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:FEAT		TYPE:Everyman			PLURAL:Everyman Feats		DISPLAYLOCATION:Feats
ABILITYCATEGORY:Investigator Feat		VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:FEAT		TYPE:Investigator			PLURAL:Investigator Feats	DISPLAYLOCATION:Feats
ABILITYCATEGORY:Officer Feat			VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:FEAT		TYPE:Officer			PLURAL:Officer Feats		DISPLAYLOCATION:Feats
ABILITYCATEGORY:Rogue Feat			VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:FEAT		TYPE:Rogue				PLURAL:Rogue Feats		DISPLAYLOCATION:Feats
ABILITYCATEGORY:Scholar Feat			VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:FEAT		TYPE:Scholar			PLURAL:Scholar Feats		DISPLAYLOCATION:Feats
#
ABILITYCATEGORY:Gunslinger Weapon Focus	VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Talent		TYPE:GunslingerWF								DISPLAYLOCATION:Talents

###Block: Class Talents
# Ability Category				Visible		Editable or Static?	Change Pool?	Fractional values?	Category of Object	Type of Object							Plural description for UI		Display Location
ABILITYCATEGORY:Acolyte Talent		VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Talent		TYPE:AcolyteTalent						PLURAL:Acolyte Talents			DISPLAYLOCATION:Talents
ABILITYCATEGORY:Apprentice Talent		VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Talent		TYPE:MageTalent.ApprenticeTalent				PLURAL:Apprentice Talents		DISPLAYLOCATION:Talents
ABILITYCATEGORY:Everyman Talent		VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Talent		TYPE:EverymanTalent						PLURAL:Everyman Talents			DISPLAYLOCATION:Talents
ABILITYCATEGORY:Gunslinger Talent		VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Talent		TYPE:GunslingerTalent						PLURAL:Gunslinger Talents		DISPLAYLOCATION:Talents
ABILITYCATEGORY:Investigator Talent		VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Talent		TYPE:ConsultingDetectiveTalent.InvestigatorTalent	PLURAL:Investigator Talents		DISPLAYLOCATION:Talents
ABILITYCATEGORY:Explorer Talent		VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Talent		TYPE:ExplorerTalent						PLURAL:Explorer Talents			DISPLAYLOCATION:Talents
ABILITYCATEGORY:Martial Artist Talent	VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Talent		TYPE:MartialArtistTalent					PLURAL:Martial Artist Talents		DISPLAYLOCATION:Talents
ABILITYCATEGORY:Officer Talent		VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Talent		TYPE:OfficerTalent						PLURAL:Officer Talents			DISPLAYLOCATION:Talents
ABILITYCATEGORY:Rogue Talent			VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Talent		TYPE:RogueTalent							PLURAL:Rogue Talents			DISPLAYLOCATION:Talents
ABILITYCATEGORY:Scholar Talent		VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Talent		TYPE:ScholarTalent						PLURAL:Scholar Talents			DISPLAYLOCATION:Talents

ABILITYCATEGORY:Undead Turning		VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Talent		TYPE:TurnUndead							PLURAL:Undead Turning			DISPLAYLOCATION:Talents
#ABILITYCATEGORY:Magical Beast Turning		VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Talent	TYPE:TurnMagicalBeast			PLURAL:Magical Beast Turning		DISPLAYLOCATION:Talents
#ABILITYCATEGORY:Outsider Turning			VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Talent	TYPE:TurnOutsider				PLURAL:Outsider Turning			DISPLAYLOCATION:Talents

ABILITYCATEGORY:Skill Mastery			VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Talent		TYPE:SkillMastery							PLURAL:Skill Mastery			DISPLAYLOCATION:Talents
ABILITYCATEGORY:Favored Terrain		VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Talent		TYPE:FavoredTerrain						PLURAL:Favored Terrains			DISPLAYLOCATION:Talents
ABILITYCATEGORY:Spell Mastery			VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Talent		TYPE:SpellMastery							PLURAL:Spell Mastery			DISPLAYLOCATION:Talents
ABILITYCATEGORY:Rogue Special Ability	VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Talent		TYPE:RogueAbilities						PLURAL:Rogue Special Abilities	DISPLAYLOCATION:Talents
ABILITYCATEGORY:Educated			VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:FEAT		TYPE:Educated							PLURAL:Educated				DISPLAYLOCATION:Feats




###Block: Single Ability Class Features
# Ability Category					Visible		Editable or Static?	Change Pool?	Fractional values?	Category of Object		Type of Object				Plural description for UI			Display Location
ABILITYCATEGORY:Weapon Focus				VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:FEAT			TYPE:WeaponFocus				PLURAL:Weapon Focus				DISPLAYLOCATION:Feats
ABILITYCATEGORY:Greater Weapon Focus		VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Special Ability	TYPE:GreaterWeaponFocus			PLURAL:Greater Weapon Focus			DISPLAYLOCATION:Class Abilities
ABILITYCATEGORY:Weapon Specialization		VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Special Ability	TYPE:WeaponSpecialization		PLURAL:Weapon Specialization			DISPLAYLOCATION:Class Abilities
ABILITYCATEGORY:Greater Weapon Specialization	VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Special Ability	TYPE:GreaterWeaponSpecialization	PLURAL:Greater Weapon Specialization	DISPLAYLOCATION:Class Abilities
ABILITYCATEGORY:Improved Critical			VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Special Ability	TYPE:ImprovedCritical			PLURAL:Improved Critical			DISPLAYLOCATION:Class Abilities
ABILITYCATEGORY:Spell Mastery				VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Special Ability	TYPE:SpellMastery				PLURAL:Spell Mastery				DISPLAYLOCATION:Class Abilities
ABILITYCATEGORY:Builder					VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:FEAT			TYPE:Builder				PLURAL:Builder					DISPLAYLOCATION:Feats


#
# End
#
