# CVS $Revision: $ $Author: $ -- Sun Mar 23 02:20:06 2008 -- reformated by prettylst.pl v1.38 (build 5580)
SOURCELONG:Forged in Magic	SOURCESHORT:FiM	SOURCEWEB:http://www.paradigmconcepts.com
Eyes of Arcane Sight Greater				TYPE:x	COST:120000
Eyes of Arcane Sight Improved				TYPE:x	COST:98280
Fan of the Courtesan					TYPE:x	COST:21000
Fan of Voice Throwing					TYPE:x	COST:3600
Figurine of Wondrous Power Adamantine Ants	TYPE:x	COST:15000
Figurine of Wondrous Power Bone Leviathan		TYPE:x	COST:17000
Figurine of Wondrous Power Brass Monkey		TYPE:x	COST:25000
Figurine of Wondrous Power Emerald Hedgehog	TYPE:x	COST:5000
Figurine of Wondrous Power Jade Scorpion		TYPE:x	COST:16500
Figurine of Wondrous Power Mithral Spider		TYPE:x	COST:36000
Figurine of Wondrous Power Obsidian Monkey	TYPE:x	COST:25000
Figurine of Wondrous Power Sapphire Serpent	TYPE:x	COST:16500
Figurine of Wondrous Power Slate Monkey		TYPE:x	COST:20000
Fins of Yarris						TYPE:x	COST:65000
Fire Beads							TYPE:x	COST:2000
Fire Gloves							TYPE:x	COST:5400
Fire Gloves Greater					TYPE:x	COST:51000
Fire Gloves Improved					TYPE:x	COST:16800
Flagon of Conviviality					TYPE:x	COST:45000
Flask of Verdant Glory					TYPE:x	COST:7500
Flask of Verdant Glory Greater			TYPE:x	COST:15000

###Block: G -------------------------------------------------------------------------------------------------
# Equipment Name					Type		Cost
Garment of the Hidden Gift			TYPE:x	COST:15000
Gauntlet of Immaculate Defense		TYPE:x	COST:16500
Gauntlet of Yh'gi					TYPE:x	COST:7200
Gauntlets of Force				TYPE:x	COST:23760
Gem of Sarish's Oath				TYPE:x	COST:10000
Gerrard's Luxurious Pavilion			TYPE:x	COST:90000
Girdle of Marok					TYPE:x	COST:138000
Girdle of the Grand Gladiator			TYPE:x	COST:72000
Gloves of Draining				TYPE:x	COST:6480
Gloves of Skillful Manipulation		TYPE:x	COST:10000
Gloves of the Diplomat				TYPE:x	COST:7500
Gloves of the Scoundrel				TYPE:x	COST:20000
Goggles of the Homeland Protector		TYPE:x	COST:11340
Grimm's Armband of Ever-Ready Blades	TYPE:x	COST:55000
Gris-Gris Bag					TYPE:x	COST:14000


###Block: H ---------------------------------------------------------------------------------------------
# Equipment Name				Type		Cost
Hairpins of Prehensile Coiffure	TYPE:x	COST:18682
Harness of Carrying			TYPE:x	COST:8000
Hauberk of the Spirits			TYPE:x	COST:51450
Headband of Delusion			TYPE:x	COST:11000
Headdress of Osalian			TYPE:x	COST:131000
Headdress of the Phoenix		TYPE:x	COST:330000
Headdress of the Phoenix Lesser	TYPE:x	COST:72540
Helm of Disguise Greater		TYPE:x	COST:4500
Helm of Protection +1			TYPE:x	COST:2100
Helm of Protection +2			TYPE:x	COST:8400
Helm of Protection +3			TYPE:x	COST:18900
Helm of Protection +4			TYPE:x	COST:33600
Helm of Protection +5			TYPE:x	COST:52500
Holiday Hat					TYPE:x	COST:12600
Holy Symbol of Rage's Fury		TYPE:x	COST:14000
Hood of the Cat's Meow			TYPE:x	COST:2000
Horn of Saluwe's Plenty			TYPE:x	COST:5400
Horn of Saluwe's Plenty Greater	TYPE:x	COST:24000
Horn of Sohbuk				TYPE:x	COST:684000
Horn of Terror				TYPE:x	COST:47520
Horn of War					TYPE:x	COST:35000
Horn of Winter				TYPE:x	COST:18000

###Block: I, J, L, M ----------------------------------------------------------------------------
# Equipment Name					Type		Cost
Icon of Spirit Storing				TYPE:x	COST:152000
Incense of Infernal Summoning			TYPE:x	COST:9000
Jar of Preservation				TYPE:x	COST:560000
Kirtle of Keepsakes				TYPE:x	COST:6000
Lantern of Restless Warding			TYPE:x	COST:55500
Larissa's Coin					TYPE:x	COST:20000
Librium of Martial Prowess +1			TYPE:x	COST:27500
Librium of Martial Prowess +2			TYPE:x	COST:55000
Librium of Martial Prowess +3			TYPE:x	COST:82500
Librium of Martial Prowess +4			TYPE:x	COST:110000
Librium of Martial Prowess +5			TYPE:x	COST:137500
Locker of the Lost Mariner			TYPE:x	COST:323100
Maliar's Magnificent Laboratory		TYPE:x	COST:45000
Manacles of Ymandragore				TYPE:x	COST:180000
Mask of Ancient Yhassremore			TYPE:x	COST:71680
Mask of Death					TYPE:x	COST:51840
Mask of Larissa's Blessing			TYPE:x	COST:26500
Mask of Steely Countenance			TYPE:x	COST:42267
Mask of the Voei Witchdoctor			TYPE:x	COST:63360
Mirror of Minions					TYPE:x	COST:12000
Mockingbird Collar				TYPE:x	COST:13300
Monkey Gloves					TYPE:x	COST:24000
Monster Whistle (Azure Lizard)		TYPE:x	COST:15000
Monster Whistle (Bird of Omens)		TYPE:x	COST:30000
Monster Whistle (Blood Wing)			TYPE:x	COST:15000
Monster Whistle (Glistening Crawler)	TYPE:x	COST:19000
Monster Whistle (Grim Hound)			TYPE:x	COST:19000
Monster Whistle (Iron Eater)			TYPE:x	COST:25000
Monster Whistle (Marrow Man)			TYPE:x	COST:19000
Monster Whistle (Scaly Dog)			TYPE:x	COST:19000
Monster Whistle (Silken Spinner)		TYPE:x	COST:19000


###Block: N, O, P --------------------------------------------------------------------------------------------
# Equipment Name				Type		Cost
Necklace of Beroe				TYPE:x	COST:117000
Necklace of Elements			TYPE:x	COST:1000
Necromantic Shroud			TYPE:x	COST:60500
Needle of Mending				TYPE:x	COST:1300
Night Robe					TYPE:x	COST:13900
Ocular of Vision				TYPE:x	COST:160000
Orb of Lore					TYPE:x	COST:10150
Orb of Opalescence			TYPE:x	COST:306000
Orb of the Hidden Flame			TYPE:x	COST:110400
Orb of Y'rion Sul				TYPE:x	COST:112000
Ordainer Circlet				TYPE:x	COST:90000
Overlooked Pestle				TYPE:x	COST:10000
Pengik Memory Beads			TYPE:x	COST:26100
Periapt of Proof Against Perfidy	TYPE:x	COST:24360
Pipes of the Madcap Minstrel		TYPE:x	COST:47500
Pipes of the Underworld			TYPE:x	COST:25000
Pistoleer's/Rifleman's Bandoleer	TYPE:x	COST:4000
Pomander of Purity			TYPE:x	COST:13333


###Block: R, S -------------------------------------------------------------------------------------------------
# Equipment Name				Type		Cost
Raiment of Illiir				TYPE:x	COST:14400
Red Howler Mask				TYPE:x	COST:42200
Robe of Shadowshaping			TYPE:x	COST:44000
Rope of Compelling			TYPE:x	COST:30000
Rope of Hiding				TYPE:x	COST:3750
Saraph's Spanning Rug			TYPE:x	COST:15000
Sarishan Seal				TYPE:x	COST:3000
Sash of Keleos				TYPE:x	COST:160000
Scabbard of the Blessed			TYPE:x	COST:19100
Scarab of the Bronze Catacombs	TYPE:x	COST:43200
Sentinel Necklace				TYPE:x	COST:15000
Serpent Boots				TYPE:x	COST:68080
Shawl of Starry Witchcraft		TYPE:x	COST:22000
Shroud of the Initiate			TYPE:x	COST:63000
Skeleton Key				TYPE:x	COST:10800
Slave Bracelets of Larissa		TYPE:x	COST:27500
Sphere of Dark Heritage			TYPE:x	COST:60000
Spiderhook					TYPE:x	COST:8750
Starfire Pendant of Nol Dappa		TYPE:x	COST:50000
Stone of Althares' Foresight		TYPE:x	COST:20500
Stone of Glib Discourse			TYPE:x	COST:75000
Stone of Gravity				TYPE:x	COST:40000
Stone of the Dead				TYPE:x	COST:10800
Symbol of the Devoted			TYPE:x	COST:16450


###Block: T - Z -----------------------------------------------------------------------------------------------------
# Equipment Name				Type		Cost
Talisman of Lost Love's Despair	TYPE:x	COST:50000
Tapestry of Tomb Guarding		TYPE:x	COST:70000
Thurible of Guarding and Warding	TYPE:x	COST:12960
Tiara of the White Prophetess		TYPE:x	COST:102000
Timepiece of Hazanko Daergral		TYPE:x	COST:43050
Titan-Bone Altar				TYPE:x	COST:242000
Toga of Office				TYPE:x	COST:85400
Torc of the Troglodyte			TYPE:x	COST:32400
Urn of Fool's Booty			TYPE:x	COST:22500
Valor Guards +1				TYPE:x	COST:1000
Valor Guards +2				TYPE:x	COST:2000
Valor Guards +3				TYPE:x	COST:4000
Valor Guards +4				TYPE:x	COST:8000
Valor Guards +5				TYPE:x	COST:16000
Veil of the Silt Sea			TYPE:x	COST:10000
Vestment of the Defender		TYPE:x	COST:26950
Vestment of the Hunter			TYPE:x	COST:54500
Voei Wolf Fetish				TYPE:x	COST:25000
Ymandrake Coif of Shadow		TYPE:x	COST:84000
#
##EOF
#
