# CVS $Revision$ $Author$ -- Wed Apr 16 20:18:37 2008 -- reformated by prettylst.pl v1.38 (build 5580)
SOURCELONG:Forged in Magic	SOURCESHORT:FiM	SOURCEWEB:http://www.paradigmconcepts.com	SOURCEDATE:2006-06
#Original Entry:E. C. Smith (Maredudd) 2007; Andrew Maitland

#Wondrous Items
# Equipment Name					Type					Cost
Bracers of Arrow Deflection Greater		TYPE:Magic.Wondrous.Bracer	COST:54400
Bracers of Obfuscation				TYPE:Magic.Wondrous.Bracer	COST:44950
Bracers of Reverberation			TYPE:Magic.Wondrous.Bracer	COST:20160
Bracers of Shattering Silence			TYPE:Magic.Wondrous.Bracer	COST:30160
Bracers of Shattering Silence Greater	TYPE:Magic.Wondrous.Bracer	COST:123550
Bracers of Spell Deflection			TYPE:Magic.Wondrous.Bracer	COST:75000
Bracers of the Thunderer			TYPE:Magic.Wondrous.Bracer	COST:50400
Bracers of Yeomanry				TYPE:Magic.Wondrous.Bracer	COST:7000
Bracers of Yeomanry Greater			TYPE:Magic.Wondrous.Bracer	COST:22000
Brigade Bucket					TYPE:Magic.Wondrous		COST:900
Brooch of the Golden Boughs' of Saluwe	TYPE:Magic.Wondrous		COST:13640

###Block: C -------------------------------------------------------------------------------------------
# Equipment Name				Type					Cost
Candle of Revealing Presence		TYPE:Magic.Wondrous		COST:364000
Cape of Glory				TYPE:Magic.Wondrous.Cape	COST:18000
Cape of the Feline Form			TYPE:Magic.Wondrous.Cape	COST:8750
Cat's Cloak					TYPE:Magic.Wondrous.Cape	COST:51300
Cauldron of Combining			TYPE:Magic.Wondrous		COST:200000
Censor of the Raven			TYPE:Magic.Wondrous		COST:5000
Circlet of Darkness			TYPE:Magic.Wondrous		COST:10080
Circlet of Sagacity			TYPE:Magic.Wondrous		COST:12000
Cloak of the Green Lurker		TYPE:Magic.Wondrous.Cape	COST:21000
Cloak of the Invincible Warrior	TYPE:Magic.Wondrous.Cape	COST:22500
Clock of Chaos Confinement		TYPE:Magic.Wondrous.Cape	COST:365000
Cloud Cape					TYPE:Magic.Wondrous.Cape	COST:26200
Collar of Kinship				TYPE:Magic.Wondrous		COST:18750
Collar of Submission			TYPE:Magic.Wondrous		COST:106200
Corsair's Cloak				TYPE:Magic.Wondrous.Cape	COST:16500
Corsair's Cloak Greater			TYPE:Magic.Wondrous.Cape	COST:96000
Corsair's Cloak Improved		TYPE:Magic.Wondrous.Cape	COST:44500
Cosmetics of Comeliness			TYPE:Magic.Wondrous		COST:3300
Cramor's Catalogue of Creatures	TYPE:Magic.Wondrous		COST:306000
Crotalus Gauntlet				TYPE:Magic.Wondrous		COST:251100
Crown of Darkness				TYPE:Magic.Wondrous		COST:17640
Cup of the Mendicant			TYPE:Magic.Wondrous		COST:2700


###Block: D --------------------------------------------------------------------------------------------
# Equipment Name				Product Identity?	Type					Cost
Decanter of Copious Libations					TYPE:Magic.Wondrous		COST:20000
Demon-Hide Cloak							TYPE:Magic.Wondrous.Cape	COST:176000
Devilskin Knot							TYPE:Magic.Wondrous		COST:72000
#Duplicates of Psion Items
#Diadem of the Mental Clarity +1	TYPE:Magic.Wondrous	COST:667
#Diadem of the Mental Clarity +2	TYPE:Magic.Wondrous	COST:2667
#Diadem of the Mental Clarity +3	TYPE:Magic.Wondrous	COST:6000
#Diadem of the Mental Clarity +4	TYPE:Magic.Wondrous	COST:10667
#Diadem of the Mental Clarity +5	TYPE:Magic.Wondrous	COST:16667
Dimitri's Dimensional Doorknob				TYPE:Magic.Wondrous		COST:45000
Doom Bell of Canceri			NAMEISPI:YES	TYPE:Magic.Wondrous		COST:55080
Dust of Ephemeral Allies					TYPE:Magic.Wondrous		COST:2250
Dust of Mirages							TYPE:Magic.Wondrous		COST:9000
Dust of Shrinking and Enlargement				TYPE:Magic.Wondrous		COST:1000
Dust of Warding							TYPE:Magic.Wondrous		COST:9000

###Block: E & F -------------------------------------------------------------------------------------------
# Equipment Name						Type					Cost
Earring of Perception					TYPE:Magic.Wondrous		COST:2500
Eelskin Cloak						TYPE:Magic.Wondrous.Cape	COST:54120
Eelskin Cloak Lesser					TYPE:Magic.Wondrous.Cape	COST:15060
Eloisa's Dancing Shoes					TYPE:Magic.Wondrous.Boot	COST:7500
Everburning Coal						TYPE:Magic.Wondrous		COST:5000
Eyepatch of the Corsair					TYPE:Magic.Wondrous		COST:100700
Eyes of Arcane Sight					TYPE:Magic.Wondrous		COST:16200
Eyes of Arcane Sight Greater				TYPE:Magic.Wondrous		COST:120000
Eyes of Arcane Sight Improved				TYPE:Magic.Wondrous		COST:98280
Fan of the Courtesan					TYPE:Magic.Wondrous		COST:21000
Fan of Voice Throwing					TYPE:Magic.Wondrous		COST:3600
Figurine of Wondrous Power Adamantine Ants	TYPE:Magic.Wondrous		COST:15000
Figurine of Wondrous Power Bone Leviathan		TYPE:Magic.Wondrous		COST:17000
Figurine of Wondrous Power Brass Monkey		TYPE:Magic.Wondrous		COST:25000
Figurine of Wondrous Power Emerald Hedgehog	TYPE:Magic.Wondrous		COST:5000
Figurine of Wondrous Power Jade Scorpion		TYPE:Magic.Wondrous		COST:16500
Figurine of Wondrous Power Mithral Spider		TYPE:Magic.Wondrous		COST:36000
Figurine of Wondrous Power Obsidian Monkey	TYPE:Magic.Wondrous		COST:25000
Figurine of Wondrous Power Sapphire Serpent	TYPE:Magic.Wondrous		COST:16500
Figurine of Wondrous Power Slate Monkey		TYPE:Magic.Wondrous		COST:20000
Fins of Yarris						TYPE:Magic.Wondrous		COST:65000
Fire Beads							TYPE:Magic.Wondrous		COST:2000
Fire Gloves							TYPE:Magic.Wondrous		COST:5400
Fire Gloves Greater					TYPE:Magic.Wondrous		COST:51000
Fire Gloves Improved					TYPE:Magic.Wondrous		COST:16800
Flagon of Conviviality					TYPE:Magic.Wondrous		COST:45000
Flask of Verdant Glory					TYPE:Magic.Wondrous		COST:7500
Flask of Verdant Glory Greater			TYPE:Magic.Wondrous		COST:15000

###Block: G -------------------------------------------------------------------------------------------------
# Equipment Name					Type					Cost
Garment of the Hidden Gift			TYPE:Magic.Wondrous		COST:15000
Gauntlet of Immaculate Defense		TYPE:Magic.Wondrous.Glove	COST:16500
Gauntlet of Yh'gi					TYPE:Magic.Wondrous.Glove	COST:7200
Gauntlets of Force				TYPE:Magic.Wondrous.Glove	COST:23760
Gem of Sarish's Oath				TYPE:Magic.Wondrous		COST:10000
Gerrard's Luxurious Pavilion			TYPE:Magic.Wondrous		COST:90000
Girdle of Marok					TYPE:Magic.Wondrous.Belt	COST:138000
Girdle of the Grand Gladiator			TYPE:Magic.Wondrous.Belt	COST:72000
Gloves of Draining				TYPE:Magic.Wondrous.Glove	COST:6480
Gloves of Skillful Manipulation		TYPE:Magic.Wondrous.Glove	COST:10000
Gloves of the Diplomat				TYPE:Magic.Wondrous.Glove	COST:7500
Gloves of the Scoundrel				TYPE:Magic.Wondrous.Glove	COST:20000
Goggles of the Homeland Protector		TYPE:Magic.Wondrous.Eyegear	COST:11340
Grimm's Armband of Ever-Ready Blades	TYPE:Magic.Wondrous.Bracer	COST:55000
Gris-Gris Bag					TYPE:Magic.Wondrous		COST:14000


###Block: H ---------------------------------------------------------------------------------------------
# Equipment Name				Type					Cost
Hairpins of Prehensile Coiffure	TYPE:Magic.Wondrous		COST:18682
Harness of Carrying			TYPE:Magic.Wondrous		COST:8000
Hauberk of the Spirits			TYPE:Magic.Wondrous		COST:51450
Headband of Delusion			TYPE:Magic.Wondrous.Headgear	COST:11000
Headdress of Osalian			TYPE:Magic.Wondrous.Headgear	COST:131000
Headdress of the Phoenix		TYPE:Magic.Wondrous.Headgear	COST:330000
Headdress of the Phoenix Lesser	TYPE:Magic.Wondrous.Headgear	COST:72540
Helm of Disguise Greater		TYPE:Magic.Wondrous.Headgear	COST:4500
Helm of Protection +1			TYPE:Magic.Wondrous.Headgear	COST:2100
Helm of Protection +2			TYPE:Magic.Wondrous.Headgear	COST:8400
Helm of Protection +3			TYPE:Magic.Wondrous.Headgear	COST:18900
Helm of Protection +4			TYPE:Magic.Wondrous.Headgear	COST:33600
Helm of Protection +5			TYPE:Magic.Wondrous.Headgear	COST:52500
Holiday Hat					TYPE:Magic.Wondrous.Headgear	COST:12600
Holy Symbol of Rage's Fury		TYPE:Magic.Wondrous		COST:14000
Hood of the Cat's Meow			TYPE:Magic.Wondrous.Headgear	COST:2000
Horn of Saluwe's Plenty			TYPE:Magic.Wondrous		COST:5400
Horn of Saluwe's Plenty Greater	TYPE:Magic.Wondrous		COST:24000
Horn of Sohbuk				TYPE:Magic.Wondrous		COST:684000
Horn of Terror				TYPE:Magic.Wondrous		COST:47520
Horn of War					TYPE:Magic.Wondrous		COST:35000
Horn of Winter				TYPE:Magic.Wondrous		COST:18000

###Block: I, J, L, M ----------------------------------------------------------------------------
# Equipment Name					Type					Cost
Icon of Spirit Storing				TYPE:Magic.Wondrous		COST:152000
Incense of Infernal Summoning			TYPE:Magic.Wondrous		COST:9000
Jar of Preservation				TYPE:Magic.Wondrous		COST:560000
Kirtle of Keepsakes				TYPE:Magic.Wondrous		COST:6000
Lantern of Restless Warding			TYPE:Magic.Wondrous		COST:55500
Larissa's Coin					TYPE:Magic.Wondrous		COST:20000
Librium of Martial Prowess +1			TYPE:Magic.Wondrous		COST:27500
Librium of Martial Prowess +2			TYPE:Magic.Wondrous		COST:55000
Librium of Martial Prowess +3			TYPE:Magic.Wondrous		COST:82500
Librium of Martial Prowess +4			TYPE:Magic.Wondrous		COST:110000
Librium of Martial Prowess +5			TYPE:Magic.Wondrous		COST:137500
Locker of the Lost Mariner			TYPE:Magic.Wondrous		COST:323100
Maliar's Magnificent Laboratory		TYPE:Magic.Wondrous		COST:45000
Manacles of Ymandragore				TYPE:Magic.Wondrous		COST:180000
Mask of Ancient Yhassremore			TYPE:Magic.Wondrous.Eyegear	COST:71680
Mask of Death					TYPE:Magic.Wondrous.Eyegear	COST:51840
Mask of Larissa's Blessing			TYPE:Magic.Wondrous.Eyegear	COST:26500
Mask of Steely Countenance			TYPE:Magic.Wondrous.Eyegear	COST:42267
Mask of the Voei Witchdoctor			TYPE:Magic.Wondrous.Eyegear	COST:63360
Mirror of Minions					TYPE:Magic.Wondrous		COST:12000
Mockingbird Collar				TYPE:Magic.Wondrous		COST:13300
Monkey Gloves					TYPE:Magic.Wondrous.Glove	COST:24000
Monster Whistle (Azure Lizard)		TYPE:Magic.Wondrous		COST:15000
Monster Whistle (Bird of Omens)		TYPE:Magic.Wondrous		COST:30000
Monster Whistle (Blood Wing)			TYPE:Magic.Wondrous		COST:15000
Monster Whistle (Glistening Crawler)	TYPE:Magic.Wondrous		COST:19000
Monster Whistle (Grim Hound)			TYPE:Magic.Wondrous		COST:19000
Monster Whistle (Iron Eater)			TYPE:Magic.Wondrous		COST:25000
Monster Whistle (Marrow Man)			TYPE:Magic.Wondrous		COST:19000
Monster Whistle (Scaly Dog)			TYPE:Magic.Wondrous		COST:19000
Monster Whistle (Silken Spinner)		TYPE:Magic.Wondrous		COST:19000


###Block: N, O, P --------------------------------------------------------------------------------------------
# Equipment Name				Type					Cost
Necklace of Beroe				TYPE:Magic.Wondrous.Amulet	COST:117000
Necklace of Elements			TYPE:Magic.Wondrous.Amulet	COST:1000
Necromantic Shroud			TYPE:Magic.Wondrous		COST:60500
Needle of Mending				TYPE:Magic.Wondrous		COST:1300
Night Robe					TYPE:Magic.Wondrous		COST:13900
Ocular of Vision				TYPE:Magic.Wondrous		COST:160000
Orb of Lore					TYPE:Magic.Wondrous		COST:10150
Orb of Opalescence			TYPE:Magic.Wondrous		COST:306000
Orb of the Hidden Flame			TYPE:Magic.Wondrous		COST:110400
Orb of Y'rion Sul				TYPE:Magic.Wondrous		COST:112000
Ordainer Circlet				TYPE:Magic.Wondrous		COST:90000
Overlooked Pestle				TYPE:Magic.Wondrous		COST:10000
Pengik Memory Beads			TYPE:Magic.Wondrous		COST:26100
Periapt of Proof Against Perfidy	TYPE:Magic.Wondrous.Amulet	COST:24360
Pipes of the Madcap Minstrel		TYPE:Magic.Wondrous		COST:47500
Pipes of the Underworld			TYPE:Magic.Wondrous		COST:25000
Pistoleer's/Rifleman's Bandoleer	TYPE:Magic.Wondrous		COST:4000
Pomander of Purity			TYPE:Magic.Wondrous		COST:13333


###Block: R, S -------------------------------------------------------------------------------------------------
# Equipment Name				Type				Cost
Raiment of Illiir				TYPE:Magic.Wondrous	COST:14400
Red Howler Mask				TYPE:Magic.Wondrous	COST:42200
Robe of Shadowshaping			TYPE:Magic.Wondrous	COST:44000
Rope of Compelling			TYPE:Magic.Wondrous	COST:30000
Rope of Hiding				TYPE:Magic.Wondrous	COST:3750
Saraph's Spanning Rug			TYPE:Magic.Wondrous	COST:15000
Sarishan Seal				TYPE:Magic.Wondrous	COST:3000
Sash of Keleos				TYPE:Magic.Wondrous	COST:160000
Scabbard of the Blessed			TYPE:Magic.Wondrous	COST:19100
Scarab of the Bronze Catacombs	TYPE:Magic.Wondrous	COST:43200
Sentinel Necklace				TYPE:Magic.Wondrous	COST:15000
Serpent Boots				TYPE:Magic.Wondrous	COST:68080
Shawl of Starry Witchcraft		TYPE:Magic.Wondrous	COST:22000
Shroud of the Initiate			TYPE:Magic.Wondrous	COST:63000
Skeleton Key				TYPE:Magic.Wondrous	COST:10800
Slave Bracelets of Larissa		TYPE:Magic.Wondrous	COST:27500
Sphere of Dark Heritage			TYPE:Magic.Wondrous	COST:60000
Spiderhook					TYPE:Magic.Wondrous	COST:8750
Starfire Pendant of Nol Dappa		TYPE:Magic.Wondrous	COST:50000
Stone of Althares' Foresight		TYPE:Magic.Wondrous	COST:20500
Stone of Glib Discourse			TYPE:Magic.Wondrous	COST:75000
Stone of Gravity				TYPE:Magic.Wondrous	COST:40000
Stone of the Dead				TYPE:Magic.Wondrous	COST:10800
Symbol of the Devoted			TYPE:Magic.Wondrous	COST:16450


###Block: T - Z -----------------------------------------------------------------------------------------------------
# Equipment Name				Product Identity?	Type				Cost
Talisman of Lost Love's Despair				TYPE:Magic.Wondrous	COST:50000
Tapestry of Tomb Guarding					TYPE:Magic.Wondrous	COST:70000
Thurible of Guarding and Warding				TYPE:Magic.Wondrous	COST:12960
Tiara of the White Prophetess					TYPE:Magic.Wondrous	COST:102000
Timepiece of Hazanko Daergral					TYPE:Magic.Wondrous	COST:43050
Titan-Bone Altar							TYPE:Magic.Wondrous	COST:242000
Toga of Office							TYPE:Magic.Wondrous	COST:85400
Torc of the Troglodyte						TYPE:Magic.Wondrous	COST:32400
Urn of Fool's Booty						TYPE:Magic.Wondrous	COST:22500
Valor Guards +1							TYPE:Magic.Wondrous	COST:1000
Valor Guards +2							TYPE:Magic.Wondrous	COST:2000
Valor Guards +3							TYPE:Magic.Wondrous	COST:4000
Valor Guards +4							TYPE:Magic.Wondrous	COST:8000
Valor Guards +5							TYPE:Magic.Wondrous	COST:16000
Veil of the Silt Sea						TYPE:Magic.Wondrous	COST:10000
Vestment of the Defender					TYPE:Magic.Wondrous	COST:26950
Vestment of the Hunter						TYPE:Magic.Wondrous	COST:54500
Voei Wolf Fetish							TYPE:Magic.Wondrous	COST:25000
Ymandrake Coif of Shadow		NAMEISPI:YES	TYPE:Magic.Wondrous	COST:84000
#
##EOF
#
