SOURCELONG:OSRIC - Old School Reference & Index Compilation		SOURCESHORT:OSRIC	SOURCEWEB:http://www.knights-n-knaves.com/osric/
Nine Lives Stealer		TYPE:Magic	SOURCEPAGE:p.324
Trollbane		TYPE:Magic	SOURCEPAGE:p.324
Vampire Blade		TYPE:Magic	SOURCEPAGE:p.324
Vorpal Blade		TYPE:Magic	SOURCEPAGE:p.324
Werebane		TYPE:Magic	SOURCEPAGE:p.324
Wyrmbane		TYPE:Magic	SOURCEPAGE:p.324

###Block: Miscellaneous Weapons ---------------
Arrow of Slaying		TYPE:Magic	SOURCEPAGE:p.326
Axe of Hurling		TYPE:Magic	SOURCEPAGE:p.326
Crossbow of Accuracy		TYPE:Magic	SOURCEPAGE:p.327
Crossbow of Range		TYPE:Magic	SOURCEPAGE:p.327
Crossbow of Speed		TYPE:Magic	SOURCEPAGE:p.327
Dagger of Venom		TYPE:Magic	SOURCEPAGE:p.327
Hammer of the Dwarfs		TYPE:Magic	SOURCEPAGE:p.327
Holy Mace		TYPE:Magic	SOURCEPAGE:p.327
Sling of the Halfling		TYPE:Magic	SOURCEPAGE:p.327
Trident/Fork		TYPE:Magic	SOURCEPAGE:p.327

###Block: Miscellaneous Magic		TYPE:Magic	SOURCEPAGE:p.327
Afreeti Bottle		TYPE:Magic	SOURCEPAGE:p.327
Ahmek’s Copious Coin Purse		TYPE:Magic	SOURCEPAGE:p.327
Alchemy Jug		TYPE:Magic	SOURCEPAGE:p.327
Amulet of Health		TYPE:Magic	SOURCEPAGE:p.327
Amulet of Mighty Fists		TYPE:Magic	SOURCEPAGE:p.327
Amulet of Natural Armour		TYPE:Magic	SOURCEPAGE:p.328
Amulet of Life Protection		TYPE:Magic	SOURCEPAGE:p.328
Amulet of the Planes		TYPE:Magic	SOURCEPAGE:p.328
Amulet of Proof Against
Detection or Location		TYPE:Magic	SOURCEPAGE:p.328
Apparatus of the Lobster		TYPE:Magic	SOURCEPAGE:p.328
Arrow of Direction		TYPE:Magic	SOURCEPAGE:p.328
Bag of Holding		TYPE:Magic	SOURCEPAGE:p.328
Bag of Tricks		TYPE:Magic	SOURCEPAGE:p.328
Bead of Force		TYPE:Magic	SOURCEPAGE:p.328
Belt of Dwarfkind		TYPE:Magic	SOURCEPAGE:p.329
Belt of Giant Strength		TYPE:Magic	SOURCEPAGE:p.329
Blemish Blotter		TYPE:Magic	SOURCEPAGE:p.329
Blessed Book		TYPE:Magic	SOURCEPAGE:p.329
Boat, Folding		TYPE:Magic	SOURCEPAGE:p.329
Boots of Elvenkind		TYPE:Magic	SOURCEPAGE:p.329
Boots of Levitation		TYPE:Magic	SOURCEPAGE:p.329
Boots of Speed		TYPE:Magic	SOURCEPAGE:p.329
Boots of Striding and Springing		TYPE:Magic	SOURCEPAGE:p.329
Boots of Teleportation		TYPE:Magic	SOURCEPAGE:p.329
Boots of the Winterlands		TYPE:Magic	SOURCEPAGE:p.329
Boots, Winged		TYPE:Magic	SOURCEPAGE:p.329
Bottle of Air		TYPE:Magic	SOURCEPAGE:p.329
Bowl Commanding Water Elementals		TYPE:Magic	SOURCEPAGE:p.329
Bracelet of Friends		TYPE:Magic	SOURCEPAGE:p.329
Bracers of Archery, Greater		TYPE:Magic	SOURCEPAGE:p.330
Bracers of Archery, Lesser		TYPE:Magic	SOURCEPAGE:p.330
Bracers of Armour		TYPE:Magic	SOURCEPAGE:p.330
Brazier of Commanding Fire Elementals		TYPE:Magic	SOURCEPAGE:p.330
Brooch of Instigation		TYPE:Magic	SOURCEPAGE:p.330
Brooch of Shielding		TYPE:Magic	SOURCEPAGE:p.330
Broom of Flying		TYPE:Magic	SOURCEPAGE:p.330
Candle of Invocation		TYPE:Magic	SOURCEPAGE:p.330
Candle of Truth		TYPE:Magic	SOURCEPAGE:p.330
Cape of the Mountebank		TYPE:Magic	SOURCEPAGE:p.330
Carpet of Flying		TYPE:Magic	SOURCEPAGE:p.330
Censer of Controlling Air Elementals		TYPE:Magic	SOURCEPAGE:p.330
Chime of Interruption		TYPE:Magic	SOURCEPAGE:p.330
Chime of Opening		TYPE:Magic	SOURCEPAGE:p.330
Circlet of Blasting, Major		TYPE:Magic	SOURCEPAGE:p.331
Circlet of Blasting, Minor		TYPE:Magic	SOURCEPAGE:p.331
Circlet of Persuasion		TYPE:Magic	SOURCEPAGE:p.331
Cloak of Arachnida		TYPE:Magic	SOURCEPAGE:p.331
Cloak of the Bat		TYPE:Magic	SOURCEPAGE:p.331
Cloak of Charisma		TYPE:Magic	SOURCEPAGE:p.331
Cloak of Displacement, Major		TYPE:Magic	SOURCEPAGE:p.331
Cloak of Displacement, Minor		TYPE:Magic	SOURCEPAGE:p.331
Cloak of Elvenkind		TYPE:Magic	SOURCEPAGE:p.331
Cloak of Etherealness		TYPE:Magic	SOURCEPAGE:p.331
Cloak of the Manta Ray		TYPE:Magic	SOURCEPAGE:p.331
Cloak of Resistance		TYPE:Magic	SOURCEPAGE:p.331
Crystal Ball		TYPE:Magic	SOURCEPAGE:p.331
Cube of Force		TYPE:Magic	SOURCEPAGE:p.331
Cube of Frost Resistance		TYPE:Magic	SOURCEPAGE:p.332
Cubic Gate		TYPE:Magic	SOURCEPAGE:p.332
Dark Skull		TYPE:Magic	SOURCEPAGE:p.332
Decanter of Endless Water		TYPE:Magic	SOURCEPAGE:p.332
Deck of Illusions		TYPE:Magic	SOURCEPAGE:p.332
Dimensional Shackles		TYPE:Magic	SOURCEPAGE:p.333
Drums of Panic		TYPE:Magic	SOURCEPAGE:p.333
Dust of Appearance		TYPE:Magic	SOURCEPAGE:p.333
Dust of Disappearance		TYPE:Magic	SOURCEPAGE:p.333
Dust of Dryness		TYPE:Magic	SOURCEPAGE:p.333
Dust of Illusion		TYPE:Magic	SOURCEPAGE:p.333
Dust of Tracelessness		TYPE:Magic	SOURCEPAGE:p.333
Efficient Quiver		TYPE:Magic	SOURCEPAGE:p.333
Elemental Gem		TYPE:Magic	SOURCEPAGE:p.333
Elixir of Fire Breath		TYPE:Magic	SOURCEPAGE:p.333
Elixir of Hiding		TYPE:Magic	SOURCEPAGE:p.334
Elixir of Swimming		TYPE:Magic	SOURCEPAGE:p.334
Elixir of Truth		TYPE:Magic	SOURCEPAGE:p.334
Elixir of Vision		TYPE:Magic	SOURCEPAGE:p.334
Eversmoking Bottle		TYPE:Magic	SOURCEPAGE:p.334
Eyes of Charming		TYPE:Magic	SOURCEPAGE:p.334
Eyes of Doom		TYPE:Magic	SOURCEPAGE:p.334
Eyes of the Eagle		TYPE:Magic	SOURCEPAGE:p.334
Eyes of Petrifaction		TYPE:Magic	SOURCEPAGE:p.334
Feather Token		TYPE:Magic	SOURCEPAGE:p.334
Figurines of Wondrous Power		TYPE:Magic	SOURCEPAGE:p.334
Gauntlets of Ogre Power		TYPE:Magic	SOURCEPAGE:p.335
Gauntlet of Rust		TYPE:Magic	SOURCEPAGE:p.335
Gem of Brightness		TYPE:Magic	SOURCEPAGE:p.335
Gem of Seeing		TYPE:Magic	SOURCEPAGE:p.335
Gloves of Arrow Snaring		TYPE:Magic	SOURCEPAGE:p.335
Gloves of Dexterity		TYPE:Magic	SOURCEPAGE:p.335
Glove of Storing		TYPE:Magic	SOURCEPAGE:p.335
Gloves of Swimming and Climbing		TYPE:Magic	SOURCEPAGE:p.335
Goggles of Minute Seeing		TYPE:Magic	SOURCEPAGE:p.335
Goggles of Night		TYPE:Magic	SOURCEPAGE:p.335
Golem Manual		TYPE:Magic	SOURCEPAGE:p.335
Handy Haversack		TYPE:Magic	SOURCEPAGE:p.336
Harp of Charming		TYPE:Magic	SOURCEPAGE:p.336
Hat of Disguise		TYPE:Magic	SOURCEPAGE:p.336
Headband of Intellect		TYPE:Magic	SOURCEPAGE:p.336
Helm of Brilliance		TYPE:Magic	SOURCEPAGE:p.336
Helm of Comprehend Languages
and Read Magic		TYPE:Magic	SOURCEPAGE:p.336
Helm of Telepathy		TYPE:Magic	SOURCEPAGE:p.336
Helm of Teleportation		TYPE:Magic	SOURCEPAGE:p.336
Helm of Underwater Action		TYPE:Magic	SOURCEPAGE:p.336
Horn of Blasting		TYPE:Magic	SOURCEPAGE:p.336
Horn of Blasting, Greater		TYPE:Magic	SOURCEPAGE:p.336
Horn of Fog		TYPE:Magic	SOURCEPAGE:p.336
Horn of Goodness/Evil		TYPE:Magic	SOURCEPAGE:p.336
Horn of the Tritons		TYPE:Magic	SOURCEPAGE:p.336
Horn of Valhalla		TYPE:Magic	SOURCEPAGE:p.337
Horseshoes of Speed		TYPE:Magic	SOURCEPAGE:p.337
Horseshoes of the Zephyr		TYPE:Magic	SOURCEPAGE:p.337
Incense of Meditation		TYPE:Magic	SOURCEPAGE:p.337
Instant Fortress		TYPE:Magic	SOURCEPAGE:p.337
Ioun Stones		TYPE:Magic	SOURCEPAGE:p.337
Iron Bands of Binding		TYPE:Magic	SOURCEPAGE:p.337
Iron Flask		TYPE:Magic	SOURCEPAGE:p.337
Javelin of the Raptor		TYPE:Magic	SOURCEPAGE:p.338
Lantern of Revealing		TYPE:Magic	SOURCEPAGE:p.338
Lyre of Building		TYPE:Magic	SOURCEPAGE:p.338
Mantle of Faith		TYPE:Magic	SOURCEPAGE:p.338
Mantle of Magic Resistance		TYPE:Magic	SOURCEPAGE:p.338
Manual of Bodily Health		TYPE:Magic	SOURCEPAGE:p.338
Manual of Gainful Exercise		TYPE:Magic	SOURCEPAGE:p.338
Manual of Quickness of Action		TYPE:Magic	SOURCEPAGE:p.338
Marvellous Pigments		TYPE:Magic	SOURCEPAGE:p.338
Mask of the Skull		TYPE:Magic	SOURCEPAGE:p.338
Mattock of the Titans		TYPE:Magic	SOURCEPAGE:p.338
Maul of the Titans		TYPE:Magic	SOURCEPAGE:p.338
Medallion of Thoughts		TYPE:Magic	SOURCEPAGE:p.338
Mirror of Life Trapping		TYPE:Magic	SOURCEPAGE:p.338
Mirror of Mental Prowess		TYPE:Magic	SOURCEPAGE:p.339
Mirror of Opposition		TYPE:Magic	SOURCEPAGE:p.339
Necklace of Adaptation		TYPE:Magic	SOURCEPAGE:p.339
Necklace of Fireballs		TYPE:Magic	SOURCEPAGE:p.339
Oil of Famishing		TYPE:Magic	SOURCEPAGE:p.339
Orb of Storms		TYPE:Magic	SOURCEPAGE:p.339
Pearl of Power		TYPE:Magic	SOURCEPAGE:p.339
Pearl of the Sirines		TYPE:Magic	SOURCEPAGE:p.339
Periapt of Health		TYPE:Magic	SOURCEPAGE:p.340
Periapt of Proof Against Poison		TYPE:Magic	SOURCEPAGE:p.340
Periapt of Wisdom		TYPE:Magic	SOURCEPAGE:p.340
Periapt of Wound Closure		TYPE:Magic	SOURCEPAGE:p.340
Phylactery of Faithfulness		TYPE:Magic	SOURCEPAGE:p.340
Phylactery of Undead Turning		TYPE:Magic	SOURCEPAGE:p.340
Pipes of Haunting		TYPE:Magic	SOURCEPAGE:p.340
Pipes of Pain		TYPE:Magic	SOURCEPAGE:p.340
Pipes of the Sewers		TYPE:Magic	SOURCEPAGE:p.340
Pipes of Sounding		TYPE:Magic	SOURCEPAGE:p.340
Plentiful Vessel		TYPE:Magic	SOURCEPAGE:p.340
Portable Hole		TYPE:Magic	SOURCEPAGE:p.340
Restorative Ointment		TYPE:Magic	SOURCEPAGE:p.340
Ring Gates		TYPE:Magic	SOURCEPAGE:p.340
Robe of the Archmagi		TYPE:Magic	SOURCEPAGE:p.340
Robe of Blending		TYPE:Magic	SOURCEPAGE:p.340
Robe of Bones		TYPE:Magic	SOURCEPAGE:p.340
Robe of Eyes		TYPE:Magic	SOURCEPAGE:p.341
Robe of Scintillating Colours		TYPE:Magic	SOURCEPAGE:p.341
Robe of Stars		TYPE:Magic	SOURCEPAGE:p.341
Robe of Useful Items		TYPE:Magic	SOURCEPAGE:p.341
Rope of Climbing		TYPE:Magic	SOURCEPAGE:p.341
Rope of Entanglement		TYPE:Magic	SOURCEPAGE:p.341
Sagacious Volume		TYPE:Magic	SOURCEPAGE:p.341
Scabbard of Keen Edges		TYPE:Magic	SOURCEPAGE:p.341
Scarab of Protection		TYPE:Magic	SOURCEPAGE:p.342
Scarab of Golem Bane		TYPE:Magic	SOURCEPAGE:p.342
Shrouds of Disintegration		TYPE:Magic	SOURCEPAGE:p.342
Silversheen		TYPE:Magic	SOURCEPAGE:p.342
Slippers of Spider Climbing		TYPE:Magic	SOURCEPAGE:p.342
Sovereign Glue		TYPE:Magic	SOURCEPAGE:p.342
Stone of Alarm		TYPE:Magic	SOURCEPAGE:p.342
Stone of Controlling Earth Elementals		TYPE:Magic	SOURCEPAGE:p.342
Stone of Good Luck		TYPE:Magic	SOURCEPAGE:p.342
Stone Horse		TYPE:Magic	SOURCEPAGE:p.342
Stone Salve		TYPE:Magic	SOURCEPAGE:p.342
Strand of Prayer Beads		TYPE:Magic	SOURCEPAGE:p.342
Sustaining Spoon		TYPE:Magic	SOURCEPAGE:p.343
Thunder Spear		TYPE:Magic	SOURCEPAGE:p.343
Tome of Clear Thought		TYPE:Magic	SOURCEPAGE:p.343
Tome of Leadership and Influence		TYPE:Magic	SOURCEPAGE:p.343
Tome of Understanding		TYPE:Magic	SOURCEPAGE:p.343
Unguent of Timelessness		TYPE:Magic	SOURCEPAGE:p.343
Universal Solvent		TYPE:Magic	SOURCEPAGE:p.343
Vest of Escape		TYPE:Magic	SOURCEPAGE:p.343
Vestment, Druid’s		TYPE:Magic	SOURCEPAGE:p.343
Well of Many Worlds		TYPE:Magic	SOURCEPAGE:p.343
Wind Fan		TYPE:Magic	SOURCEPAGE:p.343
Wings of Flying		TYPE:Magic	SOURCEPAGE:p.343
Rings		TYPE:Magic	SOURCEPAGE:p.343
Ring of Charisma		TYPE:Magic	SOURCEPAGE:p.343
Ring of Feather Falling		TYPE:Magic	SOURCEPAGE:p.343
Ring of Fire Resistance		TYPE:Magic	SOURCEPAGE:p.343
Ring of Free Action		TYPE:Magic	SOURCEPAGE:p.344
Ring of Genie Summoning		TYPE:Magic	SOURCEPAGE:p.344
Ring of Invisibility		TYPE:Magic	SOURCEPAGE:p.344
Ring of Protection		TYPE:Magic	SOURCEPAGE:p.344
Ring of Regeneration		TYPE:Magic	SOURCEPAGE:p.344
Ring of Spell Storing		TYPE:Magic	SOURCEPAGE:p.344
Ring of Spell Turning		TYPE:Magic	SOURCEPAGE:p.344
Ring of Swimming		TYPE:Magic	SOURCEPAGE:p.345
Ring of Telekinesis		TYPE:Magic	SOURCEPAGE:p.345
Ring of Three Wishes		TYPE:Magic	SOURCEPAGE:p.345
Ring of Warmth		TYPE:Magic	SOURCEPAGE:p.345
Ring of Water Walking		TYPE:Magic	SOURCEPAGE:p.345
Ring of Wizardry		TYPE:Magic	SOURCEPAGE:p.345

###Block: Cursed Items ----------------
Amulet of Inescapable Location		TYPE:Magic	SOURCEPAGE:p.347
Armour of Arrow Attraction		TYPE:Magic	SOURCEPAGE:p.347
Armour of Rage		TYPE:Magic	SOURCEPAGE:p.347
Bag of Devouring		TYPE:Magic	SOURCEPAGE:p.347
Boots of Dancing		TYPE:Magic	SOURCEPAGE:p.348
Bracers of Defencelessness		TYPE:Magic	SOURCEPAGE:p.348
Broom of Animated Attack		TYPE:Magic	SOURCEPAGE:p.348
Cloak of Poisonousness		TYPE:Magic	SOURCEPAGE:p.348
Crystal Hypnosis Ball		TYPE:Magic	SOURCEPAGE:p.348
Dust of Sneezing and Choking		TYPE:Magic	SOURCEPAGE:p.348
Flask of Curses		TYPE:Magic	SOURCEPAGE:p.348
Gauntlets of Fumbling		TYPE:Magic	SOURCEPAGE:p.348
Helm of Opposite Alignment		TYPE:Magic	SOURCEPAGE:p.348
Incense of Obsession		TYPE:Magic	SOURCEPAGE:p.349
Mace of Blood		TYPE:Magic	SOURCEPAGE:p.349
Medallion of Thought Projection		TYPE:Magic	SOURCEPAGE:p.349
Necklace of Strangulation		TYPE:Magic	SOURCEPAGE:p.349
Net of Snaring		TYPE:Magic	SOURCEPAGE:p.349
Periapt of Foul Rotting		TYPE:Magic	SOURCEPAGE:p.349
Plate Mail of Vulnerability		TYPE:Magic	SOURCEPAGE:p.349
Ring of Clumsiness		TYPE:Magic	SOURCEPAGE:p.349
Ring of Contrariness		TYPE:Magic	SOURCEPAGE:p.349
Ring of Weakness		TYPE:Magic	SOURCEPAGE:p.350
Robe of Powerlessness		TYPE:Magic	SOURCEPAGE:p.350
Robe of Vermin		TYPE:Magic	SOURCEPAGE:p.350
Scarab of Death		TYPE:Magic	SOURCEPAGE:p.350
Shield -1, Missile Attractor		TYPE:Magic	SOURCEPAGE:p.350
Spear, Cursed Backbiter		TYPE:Magic	SOURCEPAGE:p.350
Stone of Weight, or, Loadstone		TYPE:Magic	SOURCEPAGE:p.350
Sword +1, Cursed		TYPE:Magic	SOURCEPAGE:p.350
Sword -2, Cursed		TYPE:Magic	SOURCEPAGE:p.350
Sword of the Berserker +2		TYPE:Magic	SOURCEPAGE:p.350
Vacuous Grimoire		TYPE:Magic	SOURCEPAGE:p.351
Artifacts		TYPE:Magic	SOURCEPAGE:p.351
Book of Infinite Spells		TYPE:Magic	SOURCEPAGE:p.351
Deck of Many Things		TYPE:Magic	SOURCEPAGE:p.351
Hammer of Thunderbolts		TYPE:Magic	SOURCEPAGE:p.353
Philosopher’s Stone		TYPE:Magic	SOURCEPAGE:p.353
Sphere of Annihilation		TYPE:Magic	SOURCEPAGE:p.353
Talisman of Pure Good		TYPE:Magic	SOURCEPAGE:p.354
Talisman of the Sphere		TYPE:Magic	SOURCEPAGE:p.354
Talisman of Reluctant Wishes		TYPE:Magic	SOURCEPAGE:p.354
Talisman of Pure EvilDust of Dryness		TYPE:Magic	SOURCEPAGE:p.333
Dust of Illusion		TYPE:Magic	SOURCEPAGE:p.333
Dust of Tracelessness		TYPE:Magic	SOURCEPAGE:p.333
Efficient Quiver		TYPE:Magic	SOURCEPAGE:p.333
Elemental Gem		TYPE:Magic	SOURCEPAGE:p.333
Elixir of Fire Breath		TYPE:Magic	SOURCEPAGE:p.333
Elixir of Hiding		TYPE:Magic	SOURCEPAGE:p.334
Elixir of Swimming		TYPE:Magic	SOURCEPAGE:p.334
Elixir of Truth		TYPE:Magic	SOURCEPAGE:p.334
Elixir of Vision		TYPE:Magic	SOURCEPAGE:p.334
Eversmoking Bottle		TYPE:Magic	SOURCEPAGE:p.334
Eyes of Charming		TYPE:Magic	SOURCEPAGE:p.334
Eyes of Doom		TYPE:Magic	SOURCEPAGE:p.334
Eyes of the Eagle		TYPE:Magic	SOURCEPAGE:p.334
Eyes of Petrifaction		TYPE:Magic	SOURCEPAGE:p.334
Feather Token		TYPE:Magic	SOURCEPAGE:p.334
Figurines of Wondrous Power		TYPE:Magic	SOURCEPAGE:p.334
Gauntlets of Ogre Power		TYPE:Magic	SOURCEPAGE:p.335
Gauntlet of Rust		TYPE:Magic	SOURCEPAGE:p.335
Gem of Brightness		TYPE:Magic	SOURCEPAGE:p.335
Gem of Seeing		TYPE:Magic	SOURCEPAGE:p.335
Gloves of Arrow Snaring		TYPE:Magic	SOURCEPAGE:p.335
Gloves of Dexterity		TYPE:Magic	SOURCEPAGE:p.335
Glove of Storing		TYPE:Magic	SOURCEPAGE:p.335
Gloves of Swimming and Climbing		TYPE:Magic	SOURCEPAGE:p.335
Goggles of Minute Seeing		TYPE:Magic	SOURCEPAGE:p.335
Goggles of Night		TYPE:Magic	SOURCEPAGE:p.335
Golem Manual		TYPE:Magic	SOURCEPAGE:p.335
Handy Haversack		TYPE:Magic	SOURCEPAGE:p.336
Harp of Charming		TYPE:Magic	SOURCEPAGE:p.336
Hat of Disguise		TYPE:Magic	SOURCEPAGE:p.336
Headband of Intellect		TYPE:Magic	SOURCEPAGE:p.336
Helm of Brilliance		TYPE:Magic	SOURCEPAGE:p.336
Helm of Comprehend Languages
and Read Magic		TYPE:Magic	SOURCEPAGE:p.336
Helm of Telepathy		TYPE:Magic	SOURCEPAGE:p.336
Helm of Teleportation		TYPE:Magic	SOURCEPAGE:p.336
Helm of Underwater Action		TYPE:Magic	SOURCEPAGE:p.336
Horn of Blasting		TYPE:Magic	SOURCEPAGE:p.336
Horn of Blasting, Greater		TYPE:Magic	SOURCEPAGE:p.336
Horn of Fog		TYPE:Magic	SOURCEPAGE:p.336
Horn of Goodness/Evil		TYPE:Magic	SOURCEPAGE:p.336
Horn of the Tritons		TYPE:Magic	SOURCEPAGE:p.336
Horn of Valhalla		TYPE:Magic	SOURCEPAGE:p.337
Horseshoes of Speed		TYPE:Magic	SOURCEPAGE:p.337
Horseshoes of the Zephyr		TYPE:Magic	SOURCEPAGE:p.337
Incense of Meditation		TYPE:Magic	SOURCEPAGE:p.337
Instant Fortress		TYPE:Magic	SOURCEPAGE:p.337
Ioun Stones		TYPE:Magic	SOURCEPAGE:p.337
Iron Bands of Binding		TYPE:Magic	SOURCEPAGE:p.337
Iron Flask		TYPE:Magic	SOURCEPAGE:p.337
Javelin of the Raptor		TYPE:Magic	SOURCEPAGE:p.338
Lantern of Revealing		TYPE:Magic	SOURCEPAGE:p.338
Lyre of Building		TYPE:Magic	SOURCEPAGE:p.338
Mantle of Faith		TYPE:Magic	SOURCEPAGE:p.338
Mantle of Magic Resistance		TYPE:Magic	SOURCEPAGE:p.338
Manual of Bodily Health		TYPE:Magic	SOURCEPAGE:p.338
Manual of Gainful Exercise		TYPE:Magic	SOURCEPAGE:p.338
Manual of Quickness of Action		TYPE:Magic	SOURCEPAGE:p.338
Marvellous Pigments		TYPE:Magic	SOURCEPAGE:p.338
Mask of the Skull		TYPE:Magic	SOURCEPAGE:p.338
Mattock of the Titans		TYPE:Magic	SOURCEPAGE:p.338
Maul of the Titans		TYPE:Magic	SOURCEPAGE:p.338
Medallion of Thoughts		TYPE:Magic	SOURCEPAGE:p.338
Mirror of Life Trapping		TYPE:Magic	SOURCEPAGE:p.338
Mirror of Mental Prowess		TYPE:Magic	SOURCEPAGE:p.339
Mirror of Opposition		TYPE:Magic	SOURCEPAGE:p.339
Necklace of Adaptation		TYPE:Magic	SOURCEPAGE:p.339
Necklace of Fireballs		TYPE:Magic	SOURCEPAGE:p.339
Oil of Famishing		TYPE:Magic	SOURCEPAGE:p.339
Orb of Storms		TYPE:Magic	SOURCEPAGE:p.339
Pearl of Power		TYPE:Magic	SOURCEPAGE:p.339
