#SOURCELONG:Adventurer's Handbook: Genius Guide Volume 1	SOURCESHORT:SGGAH	SOURCEDATE:2010-04
# Original Entry by: Paul Shipley (elro the onk)

# Archon
# Ability Category				Visible		Editable or Static?	Change Pool?	Fractional values?	Category of Object		Type of Object			Display Location
ABILITYCATEGORY:Magister Bonus Feat (Metamagic Pool)		VISIBLE:QUALIFY	EDITABLE:NO	EDITPOOL:YES	FRACTIONALPOOL:NO	CATEGORY:FEAT			TYPE:Magister.Metamagic			DISPLAYLOCATION:Feats

# Shadow Assassin
# Ability Category		Visible		Editable?	Edit Pool?		Fractional?		Category of Object		Type of Object	Display Location
ABILITYCATEGORY:Shadow Style	VISIBLE:QUALIFY	EDITABLE:NO	EDITPOOL:YES	FRACTIONALPOOL:NO	CATEGORY:Special Ability	TYPE:ShadowStyle	DISPLAYLOCATION:Class Abilities
ABILITYCATEGORY:Shadow Talent	VISIBLE:QUALIFY	EDITABLE:NO	EDITPOOL:YES	FRACTIONALPOOL:NO	CATEGORY:Special Ability	TYPE:ShadowTalent	DISPLAYLOCATION:Class Abilities

#
# End
#
