#  Sun Aug  5 21:24:58 2018 -- reformated by PCGen PrettyLST v6.06.00

# Deity Name	Domains							Description of Deity/Title																																FACT																																																Deity Weapon		Align		GROUP
Abadar				ABILITY:Internal|AUTOMATIC|Abadar								DESC:The Master of the First Vault holds sway over cities, the law, merchants, and wealth.																					FACT:Edicts|bring civilization to the frontiers, earn wealth through hard work and trade, follow the rule of law	FACT:Anathema|engage in banditry or piracy, steal, undermine a law-abiding court																DEITYWEAP:crossbow	ALIGN:LN	SPELLLEVEL:CLASS|Divine=1|lock|Divine=4|creation|Divine=7|magnificent mansion		DOMAINS:Cities,earth,travel,wealth
Nethys				ABILITY:Internal|AUTOMATIC|Nethys								DESC:The All-Seeing Eye, god of magic, has a dualistic nature of destruction and preservation, as his ability to witness all things shattered his mind.											FACT:Edicts|seek out magical power and use it	FACT:Anathema|pursue mundane paths over magical ones																																DEITYWEAP:staff		ALIGN:TN	SPELLLEVEL:CLASS|Divine=0|mage hand|Divine=1|magic missile|Divine=2|magic mouth|Divine=3|levitate|Divine=4|blink|Divine=5|prying eye|Divine=6|teleport|Divine=7|Spell turning|Divine=8|maze|Divine=9|disjunction		DOMAINS:Destruction,knowledge,magic,protection
Norgorber				ABILITY:Internal|AUTOMATIC|Norgorber							DESC:The god of greed, murder, poison, and secrets has four aspects: the ally of poisoners and alchemists Blackfingers, the murderous Father Skinsaw, the thieving Gray Master, and the secretive Reaper of Reputation.	FACT:Edicts|keep your true identity secret, sacrifice anyone if necessary, take every advantage in a fight, work from the shadows	FACT:Anathema|allow your true identity to be connected to your dark dealings, share a secret freely, show mercy								DEITYWEAP:shortsword	ALIGN:NE	SPELLLEVEL:CLASS|Divine=1|illusory disguise|Divine=3|invisibility|Divine=4|phantasmal killer		DOMAINS:Death,secrecy,trickery,wealth
Pharasma				ABILITY:Internal|AUTOMATIC|Pharasma								DESC:Ancient and powerful beyond even most other gods, the Lady of Graves presides over birth, death, fate, and prophecy.																FACT:Edicts|strive to understand ancient prophecies, destroy undead, lay bodies to rest	FACT:Anathema|create undead, desecrate a corpse, rob a tomb																								DEITYWEAP:dagger		ALIGN:TN	SPELLLEVEL:CLASS|Divine=1|mindlink|Divine=3|ghostly weapon|Divine=9|power word kill		DOMAINS:Death,fate,healing,knowledge
Rovagug				ABILITY:Internal|AUTOMATIC|Rovagug								DESC:The Rough Beast is god of destruction, disaster, and wrath. He is imprisoned within Golarion's core and seeks to one day break free and wreak havoc.											FACT:Edicts|destroy all things, free Rovagug from his prison	FACT:Anathema|create something new, let material ties restrain you, torture a victim or otherwise delay its destruction																		DEITYWEAP:greataxe	ALIGN:CE	SPELLLEVEL:CLASS|Divine=1|burning hands|Divine=2|enlarge|Divine=6|disintegrate		DOMAINS:Air,destruction,earth,zeal
Sarenrae				ABILITY:Internal|AUTOMATIC|Sarenrae								DESC:The Dawnflower is goddess of healing, honesty, redemption, and the sun. She seeks to redeem evil where possible, or else destroy it swiftly.												FACT:Edicts|destroy the spawn of Rovagug, protect allies, provide aid to the sick and wounded, seek and allow redemption	FACT:Anathema|create undead, fail to strike down evil, lie, succumb to darkness														DEITYWEAP:scimitar	ALIGN:NG	SPELLLEVEL:CLASS|Divine=1|burning hands|Divine=3|fireball|Divine=4|wall of fire		DOMAINS:Fire,healing,light,truth
Shelyn				ABILITY:Internal|AUTOMATIC|Shelyn								DESC:The Eternal Rose is the goddess of art, beauty, love, and music. She seeks to one day redeem her corrupted brother Zon-Kuthon.															FACT:Edicts|be peaceful, choose and perfect an art, lead by example, see the beauty in all things	FACT:Anathema|destroy works of art or allow one to be destroyed except to save a life or in pursuit of greater art, refuse to accept surrender								DEITYWEAP:glaive		ALIGN:NG	SPELLLEVEL:CLASS|Divine=1|color spray|Divine=3|enthrall|Divine=4|creation		DOMAINS:Creation,family,passion,protection
Torag					ABILITY:Internal|AUTOMATIC|Torag								DESC:The dwarven deity called the Father of Creation is god of the forge, protection, and strategy.																				FACT:Edicts|be honorable and forthright, keep your word, respect the forge, serve your people	FACT:Anathema|show mercy to the enemies of your people, tell lies or cheat someone, intentionally create inferior craftwork												DEITYWEAP:warhammer	ALIGN:LG	SPELLLEVEL:CLASS|Divine=1|alarm|Divine=3|earthbind|Divine=4|creation		DOMAINS:Creation,earth,family,protection
Urgathoa				ABILITY:Internal|AUTOMATIC|Urgathoa								DESC:The amoral Pallid Princess oversees disease, gluttony, and undeath.																								FACT:Edicts|become undead upon death, create or protect the undead, sate your appetites	FACT:Anathema|deny your appetites, destroy undead, sacrifice your life																						DEITYWEAP:scythe		ALIGN:NE	SPELLLEVEL:CLASS|Divine=1|goblin pox|Divine=2|ghoulish cravings|Divine=7|mask of terror		DOMAINS:Indulgence,magic,might,undeath
Zon-Kuthon				ABILITY:Internal|AUTOMATIC|Zon-Kuthon							DESC:The Midnight Lord is god of darkness, envy, loss, and pain.																										FACT:Edicts|bring pain to the world, mutilate your body	FACT:Anathema|create permanent or long-lasting sources of light, provide comfort to those who suffer																						DEITYWEAP:spiked chain	ALIGN:LE	SPELLLEVEL:CLASS|Divine=1|phantom pain|Divine=3|wall of thorns|Divine=5|shadow walk		DOMAINS:Ambition,darkness,destruction,pain

None				DESC:None																																			FACT:Symbol|None																																																				GROUP:UNSELECTED	DOMAINS:ANY|PREALIGN:LG,LN,LE,NG,TN,NE,CG,CN,CE

