# Sun Oct 20 14:45:41 2019 -- reformatted by PCGen TidyLst v1.04.00


# Class Name	Type		Ability					Define			Bonus to HP					Modify VAR					Description
CLASS:Alchemist	TYPE:Class	ABILITY:CLASS|AUTOMATIC|Alchemist	DEFINE:AlchemistCL|0	BONUS:HP|CURRENTMAX|8*AlchemistCL	BONUS:VAR|AlchemistCL|classlevel()	DESC:The alchemist throws alchemical bombs and drinks concoctions of his own making during combat. Intelligence, 2nd Constitution, Dexterity

# Class Name	Multiple Requirements
CLASS:Alchemist	PREMULT:1,[PRECLASS:1,Alchemist=1],[!PRECLASS:1,TYPE=Class]	SOURCEPAGE:p.71

#CLASS:Alchemist	TEMPLATE:Alchemy
CLASS:Monk		PREMULT:1,[PRECLASS:1,Monk=1],[!PRECLASS:1,TYPE=Class]
1:REPEATLEVEL:1	DONOTADD:SKILLPOINTS
###Block: Class Progression
1	ABILITY:Monk Class Feature|AUTOMATIC|Monk Class Feature ~ Initial Proficiencies		
1	ABILITY:Monk Class Feature|AUTOMATIC|Monk Class Feature ~ Flurry of Blows			
1	ABILITY:Monk Class Feature|AUTOMATIC|Monk Class Feature ~ Monk Feats				
1	ABILITY:Monk Class Feature|AUTOMATIC|Monk Class Feature ~ Powerful Fist			
3	ABILITY:Monk Class Feature|AUTOMATIC|Monk Class Feature ~ Incredible Movement		
3	ABILITY:Monk Class Feature|AUTOMATIC|Monk Class Feature ~ Mystic Strikes			
5	ABILITY:Monk Class Feature|AUTOMATIC|Monk Class Feature ~ Alertness				
5	ABILITY:Monk Class Feature|AUTOMATIC|Monk Class Feature ~ Expert Strikes			
7	ABILITY:Monk Class Feature|AUTOMATIC|Monk Class Feature ~ Path to Perfection		
7	ABILITY:Monk Class Feature|AUTOMATIC|Monk Class Feature ~ Weapon Specialization		
9	ABILITY:Monk Class Feature|AUTOMATIC|Monk Class Feature ~ Metal Strikes			
9	ABILITY:Monk Class Feature|AUTOMATIC|Monk Class Feature ~ Monk Expertise			
11	ABILITY:Monk Class Feature|AUTOMATIC|Monk Class Feature ~ Second Path to Perfection	
13	ABILITY:Monk Class Feature|AUTOMATIC|Monk Class Feature ~ Graceful Mastery			
13	ABILITY:Monk Class Feature|AUTOMATIC|Monk Class Feature ~ Master Strikes			
15	ABILITY:Monk Class Feature|AUTOMATIC|Monk Class Feature ~ Greater Weapon Specialization
15	ABILITY:Monk Class Feature|AUTOMATIC|Monk Class Feature ~ Third Path to Perfection	
17	ABILITY:Monk Class Feature|AUTOMATIC|Monk Class Feature ~ Adamantine Strikes		
17	ABILITY:Monk Class Feature|AUTOMATIC|Monk Class Feature ~ Graceful Legend			
19	ABILITY:Monk Class Feature|AUTOMATIC|Monk Class Feature ~ Perfected Form			


# Class Name	Type		Ability					Define		Bonus to HP					Modify VAR					Description
CLASS:Ranger	TYPE:Class	ABILITY:CLASS|AUTOMATIC|Ranger	DEFINE:RangerCL|0	BONUS:HP|CURRENTMAX|10*RangerCL	BONUS:VAR|RangerCL|classlevel()	DESC:The ranger is a master of using his surroundings, including traps and animal allies, to harry enemies. Dexterity or Strength, 2nd Constitution, Wisdom

# Class Name	Multiple Requirements
CLASS:Ranger	PREMULT:1,[PRECLASS:1,Ranger=1],[!PRECLASS:1,TYPE=Class]
1:REPEATLEVEL:1	DONOTADD:SKILLPOINTS
###Block: Class Progression
1	ABILITY:Ranger Class Feature|AUTOMATIC|Ranger Class Feature ~ Initial Proficiencies			
1	ABILITY:Ranger Class Feature|AUTOMATIC|Ranger Class Feature ~ Hunt Prey					
1	ABILITY:Ranger Class Feature|AUTOMATIC|Ranger Class Feature ~ Hunter's Edge					
1	ABILITY:Ranger Class Feature|AUTOMATIC|Ranger Class Feature ~ Ranger Feats					
3	ABILITY:Ranger Class Feature|AUTOMATIC|Ranger Class Feature ~ Iron Will					
5	ABILITY:Ranger Class Feature|AUTOMATIC|Ranger Class Feature ~ Trackless Step					
5	ABILITY:Ranger Class Feature|AUTOMATIC|Ranger Class Feature ~ Weapon Expertise				
7	ABILITY:Ranger Class Feature|AUTOMATIC|Ranger Class Feature ~ Evasion						
7	ABILITY:Ranger Class Feature|AUTOMATIC|Ranger Class Feature ~ Vigilant Senses				
7	ABILITY:Ranger Class Feature|AUTOMATIC|Ranger Class Feature ~ Weapon Specialization			
9	ABILITY:Ranger Class Feature|AUTOMATIC|Ranger Class Feature ~ Nature's Edge					
9	ABILITY:Ranger Class Feature|AUTOMATIC|Ranger Class Feature ~ Ranger Expertise				
11	ABILITY:Ranger Class Feature|AUTOMATIC|Ranger Class Feature ~ Juggernaut					
11	ABILITY:Ranger Class Feature|AUTOMATIC|Ranger Class Feature ~ Medium Armor Expertise			
11	ABILITY:Ranger Class Feature|AUTOMATIC|Ranger Class Feature ~ Wild Stride					
13	ABILITY:Ranger Class Feature|AUTOMATIC|Ranger Class Feature ~ Weapon Mastery					
15	ABILITY:Ranger Class Feature|AUTOMATIC|Ranger Class Feature ~ Greater Weapon Specialization		
15	ABILITY:Ranger Class Feature|AUTOMATIC|Ranger Class Feature ~ Improved Evasion				
15	ABILITY:Ranger Class Feature|AUTOMATIC|Ranger Class Feature ~ Incredible Senses				
17	ABILITY:Ranger Class Feature|AUTOMATIC|Ranger Class Feature ~ Masterful Hunter				
19	ABILITY:Ranger Class Feature|AUTOMATIC|Ranger Class Feature ~ Second Skin					
19	ABILITY:Ranger Class Feature|AUTOMATIC|Ranger Class Feature ~ Swift Prey					






# Class Name	Spell Type			Visible	Caster level
CLASS:Arcane	FACT:SpellType|Arcane	VISIBLE:NO	BONUS:CASTERLEVEL|Arcane|classlevel()

# Class Name	Spell Type			Visible	Caster level
CLASS:Divine	FACT:SpellType|Divine	VISIBLE:NO	BONUS:CASTERLEVEL|Divine|classlevel()

# Class Name	Spell Type			Visible	Caster level
CLASS:Primal	FACT:SpellType|Primal	VISIBLE:NO	BONUS:CASTERLEVEL|Primal|classlevel()

# Class Name	Spell Type			Visible	Caster level
CLASS:Occult	FACT:SpellType|Occult	VISIBLE:NO	BONUS:CASTERLEVEL|Occult|classlevel()

# Class Name	Spell Type			Visible	Caster level
CLASS:Alchemy	FACT:SpellType|Alchemy	VISIBLE:NO	BONUS:CASTERLEVEL|Alchemy|classlevel()
1:REPEATLEVEL:1	CAST:0,AlchemyInfusedReagents*2
